"Time","in:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9","out:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9","sum:r600w4p2_f1_d40_100b200l1td80_200ts10_4tl300_tb200_worker4_worker8_worker7_worker9"
2026-01-07 01:01:00,48.5 MB,34.4 MB,82.8 MB
2026-01-07 01:02:00,80.5 MB,65.0 MB,145 MB
2026-01-07 01:03:00,109 MB,92.8 MB,202 MB
2026-01-07 01:04:00,154 MB,137 MB,291 MB
2026-01-07 01:05:00,200 MB,181 MB,381 MB
2026-01-07 01:06:00,246 MB,228 MB,473 MB
2026-01-07 01:07:00,299 MB,280 MB,579 MB
2026-01-07 01:08:00,306 MB,288 MB,594 MB
2026-01-07 01:09:00,201 MB,183 MB,384 MB
2026-01-07 01:10:00,234 MB,216 MB,450 MB
2026-01-07 01:11:00,185 MB,173 MB,358 MB
2026-01-07 01:12:00,188 MB,174 MB,362 MB
2026-01-07 01:13:00,191 MB,173 MB,364 MB
2026-01-07 01:14:00,234 MB,214 MB,447 MB
2026-01-07 01:15:00,271 MB,250 MB,521 MB
2026-01-07 01:16:00,179 MB,160 MB,340 MB
2026-01-07 01:17:00,116 MB,102 MB,217 MB
2026-01-07 01:18:00,94.4 MB,87.7 MB,182 MB
2026-01-07 01:19:00,98.8 MB,89.2 MB,188 MB
2026-01-07 01:20:00,79.5 MB,74.3 MB,154 MB
2026-01-07 01:21:00,82.6 MB,75.3 MB,158 MB
2026-01-07 01:22:00,111 MB,95.6 MB,206 MB
2026-01-07 01:23:00,150 MB,132 MB,282 MB
2026-01-07 01:24:00,176 MB,158 MB,333 MB
2026-01-07 01:25:00,171 MB,154 MB,325 MB
2026-01-07 01:26:00,179 MB,163 MB,342 MB
2026-01-07 01:27:00,102 MB,89.6 MB,191 MB
2026-01-07 01:28:00,104 MB,91.6 MB,196 MB
2026-01-07 01:29:00,134 MB,117 MB,251 MB
2026-01-07 01:30:00,143 MB,126 MB,270 MB
2026-01-07 01:31:00,144 MB,127 MB,271 MB
2026-01-07 01:32:00,144 MB,127 MB,271 MB
