"Time","avg"
2026-01-07 01:01:00,62.8 ms
2026-01-07 01:02:00,61.2 ms
2026-01-07 01:03:00,43.4 ms
2026-01-07 01:04:00,203 ms
2026-01-07 01:05:00,53.2 ms
2026-01-07 01:06:00,178 ms
2026-01-07 01:07:00,74.7 ms
2026-01-07 01:08:00,166 ms
2026-01-07 01:09:00,123 ms
2026-01-07 01:10:00,85.3 ms
2026-01-07 01:11:00,151 ms
2026-01-07 01:12:00,82.5 ms
2026-01-07 01:13:00,45.6 ms
2026-01-07 01:14:00,53.2 ms
2026-01-07 01:15:00,139 ms
2026-01-07 01:16:00,58.7 ms
2026-01-07 01:17:00,48.5 ms
2026-01-07 01:18:00,74.2 ms
2026-01-07 01:19:00,73.5 ms
2026-01-07 01:20:00,92.5 ms
2026-01-07 01:21:00,64.9 ms
2026-01-07 01:22:00,62.4 ms
2026-01-07 01:23:00,66.3 ms
2026-01-07 01:24:00,38.8 ms
2026-01-07 01:25:00,74.4 ms
2026-01-07 01:26:00,53.7 ms
2026-01-07 01:27:00,83.8 ms
2026-01-07 01:28:00,53.7 ms
2026-01-07 01:29:00,73.1 ms
2026-01-07 01:30:00,58.7 ms
2026-01-07 01:31:00,54.3 ms
2026-01-07 01:32:00,67.8 ms
