"Time","data_points"
2026-01-07 13:20:00,1724
2026-01-07 13:21:00,1769
2026-01-07 13:22:00,1270
2026-01-07 13:23:00,1270
2026-01-07 13:24:00,1270
2026-01-07 13:25:00,1996
2026-01-07 13:26:00,1815
2026-01-07 13:27:00,1815
2026-01-07 13:28:00,2178
2026-01-07 13:29:00,1769
2026-01-07 13:30:00,1452
2026-01-07 13:31:00,1815
2026-01-07 13:32:00,1678
2026-01-07 13:33:00,1361
2026-01-07 13:34:00,1815
2026-01-07 13:35:00,1678
2026-01-07 13:36:00,1678
2026-01-07 13:37:00,1678
2026-01-07 13:38:00,1678
