"Time","debug","error","info","warn"
2026-01-07 13:20:00,14.7 K,,1.43 K,
2026-01-07 13:20:30,13.5 K,,1.46 K,
2026-01-07 13:21:00,14.1 K,,1.50 K,
2026-01-07 13:21:30,13.9 K,,1.50 K,
2026-01-07 13:22:00,13.7 K,,1.48 K,
2026-01-07 13:22:30,13.6 K,,1.47 K,
2026-01-07 13:23:00,14.5 K,,1.52 K,
2026-01-07 13:23:30,13.9 K,,1.49 K,
2026-01-07 13:24:00,18.8 K,,1.49 K,
2026-01-07 13:24:30,13.7 K,,1.44 K,
2026-01-07 13:25:00,13.7 K,,1.37 K,
2026-01-07 13:25:30,11.7 K,1,1.71 K,1
2026-01-07 13:26:00,13.3 K,,1.76 K,
2026-01-07 13:26:30,11.9 K,,1.75 K,
2026-01-07 13:27:00,8.24 K,9,748,5
2026-01-07 13:27:30,4.77 K,,178,
2026-01-07 13:28:00,8.12 K,,656,2
2026-01-07 13:28:30,14.1 K,,1.51 K,
2026-01-07 13:29:00,18.3 K,,1.45 K,
2026-01-07 13:29:30,13.5 K,,1.41 K,
2026-01-07 13:30:00,14.5 K,,1.50 K,
2026-01-07 13:30:30,14.9 K,,1.42 K,
2026-01-07 13:31:00,14.0 K,,1.41 K,
2026-01-07 13:31:30,13.8 K,,1.48 K,
2026-01-07 13:32:00,13.4 K,,1.39 K,
2026-01-07 13:32:30,13.9 K,,1.46 K,
2026-01-07 13:33:00,13.7 K,,1.46 K,
2026-01-07 13:33:30,13.9 K,,1.45 K,
2026-01-07 13:34:00,18.0 K,,1.41 K,
2026-01-07 13:34:30,13.1 K,,1.43 K,
2026-01-07 13:35:00,14.3 K,7,1.38 K,3
2026-01-07 13:35:30,4.98 K,16,477,1
2026-01-07 13:36:00,2.18 K,9,240,
2026-01-07 13:36:30,1.63 K,9,240,1
2026-01-07 13:37:00,1.61 K,6,240,
2026-01-07 13:37:30,1.58 K,6,240,
2026-01-07 13:38:00,1.80 K,4,85,
2026-01-07 13:38:30,1.57 K,,,
