"Time","Weighted Average","Average"
2026-01-07 13:20:00,1.43,1.94
2026-01-07 13:21:00,0.855,1.19
2026-01-07 13:22:00,0.851,0.849
2026-01-07 13:23:00,0.695,0.679
2026-01-07 13:24:00,0.454,0.471
2026-01-07 13:25:00,0.349,0.545
2026-01-07 13:26:00,0.372,0.543
2026-01-07 13:27:00,0.372,0.543
2026-01-07 13:28:00,0.368,0.456
2026-01-07 13:29:00,0.484,0.890
2026-01-07 13:30:00,0.556,0.847
2026-01-07 13:31:00,0.369,0.713
2026-01-07 13:32:00,0.363,0.606
2026-01-07 13:33:00,0.379,0.480
2026-01-07 13:34:00,0.249,0.418
2026-01-07 13:35:00,0.231,0.349
2026-01-07 13:36:00,0.231,0.349
2026-01-07 13:37:00,0.231,0.349
2026-01-07 13:38:00,0.231,0.349
