"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric"
2026-01-07 13:20:00,1.94,1.94,1.93,1.94
2026-01-07 13:21:00,1.22,1.17,1.25,1.14
2026-01-07 13:22:00,0.852,0.867,0.839,0.839
2026-01-07 13:23:00,0.670,0.863,0.624,0.559
2026-01-07 13:24:00,0.429,0.419,0.571,0.466
2026-01-07 13:25:00,0.559,0.485,0.475,0.662
2026-01-07 13:26:00,0.472,0.544,0.562,0.595
2026-01-07 13:27:00,0.472,0.544,0.562,0.595
2026-01-07 13:28:00,0.425,0.391,0.562,0.446
2026-01-07 13:29:00,0.391,0.401,2.40,0.365
2026-01-07 13:30:00,0.374,0.329,2.34,0.351
2026-01-07 13:31:00,0.251,0.313,1.99,0.301
2026-01-07 13:32:00,0.355,0.257,1.52,0.292
2026-01-07 13:33:00,0.282,0.381,1.01,0.243
2026-01-07 13:34:00,0.253,0.283,0.832,0.303
2026-01-07 13:35:00,0.240,0.228,0.617,0.310
2026-01-07 13:36:00,0.240,0.228,0.617,0.310
2026-01-07 13:37:00,0.240,0.228,0.617,0.310
2026-01-07 13:38:00,0.240,0.228,0.617,0.310
