"Time","sum:","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/gateway","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker1","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker10","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker2","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker3","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker4","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker5","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker6","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker7","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker8","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2/worker9"
2026-01-07 13:20:00,778 kB,772 kB,31.1 MB,533 kB,506 kB,657 kB,590 kB,687 kB,10.8 MB,11.2 MB,12.4 MB,13.0 MB
2026-01-07 13:21:00,1.29 MB,790 kB,76.7 MB,549 kB,554 kB,418 kB,610 kB,705 kB,22.4 MB,22.8 MB,24.3 MB,24.8 MB
2026-01-07 13:22:00,1.81 MB,798 kB,123 MB,557 kB,594 kB,429 kB,620 kB,711 kB,34.1 MB,35.0 MB,36.2 MB,36.8 MB
2026-01-07 13:23:00,2.32 MB,807 kB,168 MB,565 kB,633 kB,439 kB,630 kB,718 kB,45.7 MB,46.7 MB,47.7 MB,48.4 MB
2026-01-07 13:24:00,2.84 MB,815 kB,216 MB,576 kB,675 kB,446 kB,639 kB,728 kB,57.8 MB,59.0 MB,59.7 MB,60.5 MB
2026-01-07 13:25:00,3.58 MB,1.16 MB,262 MB,835 kB,942 kB,592 kB,927 kB,1.07 MB,69.5 MB,70.8 MB,71.6 MB,72.6 MB
2026-01-07 13:26:00,4.11 MB,1.18 MB,278 MB,860 kB,999 kB,806 kB,950 kB,1.09 MB,73.5 MB,75.1 MB,76.7 MB,76.7 MB
2026-01-07 13:27:00,4.65 MB,1.21 MB,278 MB,879 kB,1.05 MB,828 kB,971 kB,1.11 MB,190 kB,75.2 MB,76.9 MB,76.9 MB
2026-01-07 13:28:00,4.85 MB,1.21 MB,280 MB,893 kB,1.10 MB,841 kB,984 kB,1.12 MB,1.15 MB,75.7 MB,77.3 MB,77.3 MB
2026-01-07 13:29:00,5.29 MB,1.22 MB,316 MB,904 kB,1.14 MB,849 kB,994 kB,1.13 MB,12.0 MB,85.0 MB,86.4 MB,87.1 MB
2026-01-07 13:30:00,6.01 MB,1.56 MB,359 MB,1.17 MB,1.40 MB,988 kB,1.27 MB,1.47 MB,23.0 MB,96.0 MB,97.5 MB,98.1 MB
2026-01-07 13:31:00,6.54 MB,1.61 MB,403 MB,1.17 MB,1.47 MB,1.22 MB,1.32 MB,1.51 MB,34.8 MB,108 MB,109 MB,110 MB
2026-01-07 13:32:00,7.06 MB,1.62 MB,448 MB,253 kB,1.52 MB,1.24 MB,1.34 MB,1.52 MB,46.2 MB,119 MB,121 MB,121 MB
2026-01-07 13:33:00,7.56 MB,1.63 MB,493 MB,260 kB,1.56 MB,1.24 MB,1.34 MB,1.53 MB,57.4 MB,130 MB,132 MB,132 MB
2026-01-07 13:34:00,8.06 MB,1.64 MB,537 MB,268 kB,1.60 MB,1.25 MB,1.35 MB,1.54 MB,68.2 MB,142 MB,143 MB,143 MB
2026-01-07 13:35:00,8.75 MB,1.99 MB,581 MB,404 kB,325 kB,1.39 MB,1.64 MB,1.88 MB,79.6 MB,153 MB,154 MB,155 MB
2026-01-07 13:36:00,8.75 MB,2.02 MB,602 MB,434 kB,349 kB,1.63 MB,1.70 MB,1.91 MB,85.2 MB,158 MB,160 MB,160 MB
2026-01-07 13:37:00,8.75 MB,2.03 MB,602 MB,553 kB,359 kB,1.64 MB,1.72 MB,1.93 MB,85.3 MB,158 MB,160 MB,160 MB
2026-01-07 13:38:00,8.75 MB,2.04 MB,602 MB,559 kB,368 kB,1.65 MB,1.72 MB,1.93 MB,85.3 MB,158 MB,160 MB,160 MB
