"Time","in:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2","out:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2","sum:r600w4p2_f1_d40_100b300l1td40_100ts20_4tl100_tb200_worker1_worker9_worker5_worker10_worker4_worker2"
2026-01-07 13:20:00,48.4 MB,34.6 MB,83.0 MB
2026-01-07 13:21:00,95.0 MB,81.0 MB,176 MB
2026-01-07 13:22:00,143 MB,127 MB,270 MB
2026-01-07 13:23:00,190 MB,173 MB,363 MB
2026-01-07 13:24:00,238 MB,221 MB,459 MB
2026-01-07 13:25:00,287 MB,269 MB,555 MB
2026-01-07 13:26:00,304 MB,286 MB,590 MB
2026-01-07 13:27:00,267 MB,251 MB,518 MB
2026-01-07 13:28:00,269 MB,253 MB,522 MB
2026-01-07 13:29:00,309 MB,289 MB,598 MB
2026-01-07 13:30:00,353 MB,334 MB,687 MB
2026-01-07 13:31:00,400 MB,379 MB,780 MB
2026-01-07 13:32:00,445 MB,424 MB,869 MB
2026-01-07 13:33:00,490 MB,469 MB,959 MB
2026-01-07 13:34:00,535 MB,513 MB,1.05 GB
2026-01-07 13:35:00,580 MB,558 MB,1.14 GB
2026-01-07 13:36:00,602 MB,580 MB,1.18 GB
2026-01-07 13:37:00,603 MB,581 MB,1.18 GB
2026-01-07 13:38:00,603 MB,581 MB,1.18 GB
