"Time","4e020c04-211f-4f42-97ee-875a7695f8bf"
2026-01-07 13:20:00,758 ms
2026-01-07 13:21:00,753 ms
2026-01-07 13:22:00,475 ms
2026-01-07 13:23:00,388 ms
2026-01-07 13:24:00,431 ms
2026-01-07 13:25:00,647 ms
2026-01-07 13:26:00,665 ms
2026-01-07 13:27:00,665 ms
2026-01-07 13:28:00,22.1 s
2026-01-07 13:29:00,703 ms
2026-01-07 13:30:00,642 ms
2026-01-07 13:31:00,612 ms
2026-01-07 13:32:00,465 ms
2026-01-07 13:33:00,422 ms
2026-01-07 13:34:00,671 ms
2026-01-07 13:35:00,702 ms
2026-01-07 13:36:00,702 ms
2026-01-07 13:37:00,702 ms
2026-01-07 13:38:00,702 ms
