"Time","avg"
2026-01-07 13:20:00,151 ms
2026-01-07 13:21:00,61.1 ms
2026-01-07 13:22:00,45.4 ms
2026-01-07 13:23:00,41.7 ms
2026-01-07 13:24:00,52.5 ms
2026-01-07 13:25:00,58.1 ms
2026-01-07 13:26:00,85.0 ms
2026-01-07 13:27:00,37.8 ms
2026-01-07 13:28:00,75.7 ms
2026-01-07 13:29:00,91.2 ms
2026-01-07 13:30:00,35.1 ms
2026-01-07 13:31:00,39.4 ms
2026-01-07 13:32:00,54.0 ms
2026-01-07 13:33:00,48.0 ms
2026-01-07 13:34:00,46.5 ms
2026-01-07 13:35:00,38.7 ms
2026-01-07 13:36:00,85.1 ms
2026-01-07 13:37:00,61.6 ms
2026-01-07 13:38:00,56.5 ms
