"Time","Weighted Average","Average"
2026-01-06 20:57:00,1.36,1.37
2026-01-06 20:58:00,1.32,1.30
2026-01-06 20:59:00,1.25,0.783
2026-01-06 21:00:00,1.25,0.783
2026-01-06 21:01:00,0.870,0.797
2026-01-06 21:02:00,0.828,0.737
2026-01-06 21:03:00,0.747,0.688
2026-01-06 21:04:00,0.720,0.637
2026-01-06 21:05:00,0.779,0.577
2026-01-06 21:06:00,0.762,0.507
2026-01-06 21:07:00,0.683,0.508
2026-01-06 21:08:00,0.671,0.508
2026-01-06 21:09:00,0.664,0.508
2026-01-06 21:10:00,0.658,0.489
2026-01-06 21:11:00,0.206,0.477
2026-01-06 21:12:00,0.360,0.812
2026-01-06 21:13:00,0.331,0.741
2026-01-06 21:14:00,0.304,0.724
2026-01-06 21:15:00,0.304,0.724
2026-01-06 21:16:00,0.304,0.724
2026-01-06 21:17:00,0.327,0.652
2026-01-06 21:18:00,0.246,0.619
2026-01-06 21:19:00,0.267,0.647
2026-01-06 21:20:00,0.267,0.647
2026-01-06 21:21:00,0.179,0.261
2026-01-06 21:22:00,0.151,0.261
2026-01-06 21:23:00,0.184,0.270
2026-01-06 21:24:00,0.634,0.605
2026-01-06 21:25:00,0.654,0.819
2026-01-06 21:26:00,0.442,0.794
2026-01-06 21:27:00,0.688,0.778
2026-01-06 21:28:00,0.515,0.778
2026-01-06 21:29:00,0.428,0.786
2026-01-06 21:30:00,0.428,0.786
2026-01-06 21:31:00,0.292,0.507
2026-01-06 21:32:00,0.292,0.507
2026-01-06 21:33:00,0.292,0.507
2026-01-06 21:34:00,0.292,0.507
2026-01-06 21:35:00,0.292,0.507
2026-01-06 21:36:00,0.292,0.507
2026-01-06 21:37:00,0.292,0.507
2026-01-06 21:38:00,0.292,0.507
2026-01-06 21:39:00,0.292,0.507
2026-01-06 21:40:00,0.292,0.507
2026-01-06 21:41:00,0.292,0.507
2026-01-06 21:42:00,0.292,0.507
2026-01-06 21:43:00,0.347,0.508
2026-01-06 21:44:00,0.347,0.508
2026-01-06 21:45:00,0.196,0.511
2026-01-06 21:46:00,0.320,0.806
2026-01-06 21:47:00,0.265,0.571
2026-01-06 21:48:00,0.245,0.559
2026-01-06 21:49:00,0.276,0.603
2026-01-06 21:50:00,0.276,0.603
2026-01-06 21:51:00,0.193,0.412
2026-01-06 21:52:00,0.249,0.376
2026-01-06 21:53:00,0.249,0.376
2026-01-06 21:54:00,0.249,0.376
2026-01-06 21:55:00,0.138,0.364
2026-01-06 21:56:00,0.138,0.364
2026-01-06 21:57:00,0.211,0.341
2026-01-06 21:58:00,0.226,0.726
2026-01-06 21:59:00,0.238,0.739
2026-01-06 22:00:00,0.238,0.739
2026-01-06 22:01:00,0.261,0.714
2026-01-06 22:02:00,0.469,1.06
2026-01-06 22:03:00,0.621,1.06
2026-01-06 22:04:00,0.303,1.04
2026-01-06 22:05:00,0.392,1.04
2026-01-06 22:06:00,0.313,0.882
2026-01-06 22:07:00,0.352,0.874
2026-01-06 22:08:00,0.352,0.874
2026-01-06 22:09:00,0.556,1.17
2026-01-06 22:10:00,0.351,1.04
2026-01-06 22:11:00,0.351,1.04
2026-01-06 22:12:00,0.351,1.04
2026-01-06 22:13:00,0.354,1.06
2026-01-06 22:14:00,0.354,1.06
2026-01-06 22:15:00,0.354,1.06
2026-01-06 22:16:00,0.354,1.06
2026-01-06 22:17:00,0.354,1.06
