"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f3_d10_20b200l1td40_100ts10_4tl300_tb100_worker4_worker8_worker7_worker9""}[4m0s])
)  * 8 "
2026-01-06 20:58:00,422 kb/s
2026-01-06 20:59:00,2.30 Mb/s
2026-01-06 21:00:00,2.52 Mb/s
2026-01-06 21:01:00,3.03 Mb/s
2026-01-06 21:02:00,3.82 Mb/s
2026-01-06 21:03:00,6.53 Mb/s
2026-01-06 21:04:00,8.75 Mb/s
2026-01-06 21:05:00,8.57 Mb/s
2026-01-06 21:06:00,8.62 Mb/s
2026-01-06 21:07:00,6.45 Mb/s
2026-01-06 21:08:00,4.31 Mb/s
2026-01-06 21:09:00,990 kb/s
2026-01-06 21:10:00,393 kb/s
2026-01-06 21:11:00,561 kb/s
2026-01-06 21:12:00,2.48 Mb/s
2026-01-06 21:13:00,4.33 Mb/s
2026-01-06 21:14:00,5.48 Mb/s
2026-01-06 21:15:00,3.59 Mb/s
2026-01-06 21:16:00,1.58 Mb/s
2026-01-06 21:17:00,2.79 Mb/s
2026-01-06 21:18:00,6.12 Mb/s
2026-01-06 21:19:00,6.19 Mb/s
2026-01-06 21:20:00,3.73 Mb/s
2026-01-06 21:21:00,692 kb/s
2026-01-06 21:22:00,490 kb/s
2026-01-06 21:23:00,786 kb/s
2026-01-06 21:24:00,595 kb/s
2026-01-06 21:25:00,1.66 Mb/s
2026-01-06 21:26:00,2.99 Mb/s
2026-01-06 21:27:00,3.15 Mb/s
2026-01-06 21:28:00,1.70 Mb/s
2026-01-06 21:29:00,361 kb/s
2026-01-06 21:30:00,285 kb/s
2026-01-06 21:31:00,307 kb/s
2026-01-06 21:32:00,374 kb/s
2026-01-06 21:33:00,362 kb/s
2026-01-06 21:34:00,383 kb/s
2026-01-06 21:35:00,294 kb/s
2026-01-06 21:36:00,279 kb/s
2026-01-06 21:37:00,258 kb/s
2026-01-06 21:38:00,285 kb/s
2026-01-06 21:39:00,320 kb/s
2026-01-06 21:40:00,303 kb/s
2026-01-06 21:41:00,288 kb/s
2026-01-06 21:42:00,307 kb/s
2026-01-06 21:43:00,300 kb/s
2026-01-06 21:44:00,359 kb/s
2026-01-06 21:45:00,361 kb/s
2026-01-06 21:46:00,1.87 Mb/s
2026-01-06 21:47:00,4.14 Mb/s
2026-01-06 21:48:00,5.79 Mb/s
2026-01-06 21:49:00,6.30 Mb/s
2026-01-06 21:50:00,3.88 Mb/s
2026-01-06 21:51:00,3.05 Mb/s
2026-01-06 21:52:00,2.52 Mb/s
2026-01-06 21:53:00,2.58 Mb/s
2026-01-06 21:54:00,1.66 Mb/s
2026-01-06 21:55:00,851 kb/s
2026-01-06 21:56:00,846 kb/s
2026-01-06 21:57:00,885 kb/s
2026-01-06 21:58:00,792 kb/s
2026-01-06 21:59:00,940 kb/s
2026-01-06 22:00:00,931 kb/s
2026-01-06 22:01:00,796 kb/s
2026-01-06 22:02:00,1.17 Mb/s
2026-01-06 22:03:00,1.36 Mb/s
2026-01-06 22:04:00,1.44 Mb/s
2026-01-06 22:05:00,1.73 Mb/s
2026-01-06 22:06:00,2.96 Mb/s
2026-01-06 22:07:00,3.58 Mb/s
2026-01-06 22:08:00,2.73 Mb/s
2026-01-06 22:09:00,1.17 Mb/s
2026-01-06 22:10:00,1.98 Mb/s
2026-01-06 22:11:00,2.67 Mb/s
2026-01-06 22:12:00,2.51 Mb/s
2026-01-06 22:13:00,1.72 Mb/s
2026-01-06 22:14:00,1.80 Mb/s
2026-01-06 22:15:00,1.69 Mb/s
2026-01-06 22:16:00,927 kb/s
2026-01-06 22:17:00,80.8 kb/s
