"Time","6cf21252-9c5a-49f5-8b97-a96edf0a8065"
2026-01-06 20:57:00,766 ms
2026-01-06 20:58:00,581 ms
2026-01-06 20:59:00,781 ms
2026-01-06 21:00:00,781 ms
2026-01-06 21:01:00,868 ms
2026-01-06 21:02:00,935 ms
2026-01-06 21:03:00,974 ms
2026-01-06 21:04:00,1.07 s
2026-01-06 21:05:00,711 ms
2026-01-06 21:06:00,715 ms
2026-01-06 21:07:00,775 ms
2026-01-06 21:08:00,13.7 s
2026-01-06 21:09:00,21.8 s
2026-01-06 21:10:00,23.7 s
2026-01-06 21:11:00,5.62 s
2026-01-06 21:12:00,904 ms
2026-01-06 21:13:00,1.04 s
2026-01-06 21:14:00,938 ms
2026-01-06 21:15:00,938 ms
2026-01-06 21:16:00,938 ms
2026-01-06 21:17:00,640 ms
2026-01-06 21:18:00,653 ms
2026-01-06 21:19:00,14.3 s
2026-01-06 21:20:00,14.3 s
2026-01-06 21:21:00,5.28 s
2026-01-06 21:22:00,16.5 s
2026-01-06 21:23:00,11.9 s
2026-01-06 21:24:00,16.4 s
2026-01-06 21:25:00,7.38 s
2026-01-06 21:26:00,7.42 s
2026-01-06 21:27:00,31.9 s
2026-01-06 21:28:00,40.6 s
2026-01-06 21:29:00,38.3 s
2026-01-06 21:30:00,38.3 s
2026-01-06 21:31:00,1.69 mins
2026-01-06 21:32:00,1.69 mins
2026-01-06 21:33:00,1.69 mins
2026-01-06 21:34:00,1.69 mins
2026-01-06 21:35:00,1.69 mins
2026-01-06 21:36:00,1.69 mins
2026-01-06 21:37:00,1.69 mins
2026-01-06 21:38:00,1.69 mins
2026-01-06 21:39:00,1.69 mins
2026-01-06 21:40:00,1.69 mins
2026-01-06 21:41:00,1.69 mins
2026-01-06 21:42:00,1.69 mins
2026-01-06 21:43:00,3.35 mins
2026-01-06 21:44:00,3.35 mins
2026-01-06 21:45:00,2.36 mins
2026-01-06 21:46:00,40.0 s
2026-01-06 21:47:00,40.3 s
2026-01-06 21:48:00,40.0 s
2026-01-06 21:49:00,40.0 s
2026-01-06 21:50:00,40.0 s
2026-01-06 21:51:00,41.8 s
2026-01-06 21:52:00,39.9 s
2026-01-06 21:53:00,39.9 s
2026-01-06 21:54:00,39.9 s
2026-01-06 21:55:00,41.6 s
2026-01-06 21:56:00,41.6 s
2026-01-06 21:57:00,48.8 s
2026-01-06 21:58:00,34.3 s
2026-01-06 21:59:00,34.6 s
2026-01-06 22:00:00,34.6 s
2026-01-06 22:01:00,46.7 s
2026-01-06 22:02:00,37.5 s
2026-01-06 22:03:00,53.0 s
2026-01-06 22:04:00,13.6 s
2026-01-06 22:05:00,13.6 s
2026-01-06 22:06:00,14.5 s
2026-01-06 22:07:00,16.0 s
2026-01-06 22:08:00,16.0 s
2026-01-06 22:09:00,16.5 s
2026-01-06 22:10:00,16.9 s
2026-01-06 22:11:00,16.9 s
2026-01-06 22:12:00,16.9 s
2026-01-06 22:13:00,15.8 s
2026-01-06 22:14:00,15.8 s
2026-01-06 22:15:00,15.8 s
2026-01-06 22:16:00,15.8 s
2026-01-06 22:17:00,15.8 s
