"Time","debug","error","info","warn"
2026-01-06 20:56:00,18.5 K,12,123,6
2026-01-06 20:56:30,9.30 K,,957,
2026-01-06 20:57:00,12.1 K,,1.38 K,
2026-01-06 20:57:30,11.4 K,,1.34 K,3
2026-01-06 20:58:00,8.56 K,8,1.16 K,6
2026-01-06 20:58:30,9.96 K,1,1.07 K,
2026-01-06 20:59:00,6.25 K,,576,1
2026-01-06 20:59:30,7.56 K,22,169,22
2026-01-06 21:00:00,7.10 K,28,180,28
2026-01-06 21:00:30,6.71 K,224,147,112
2026-01-06 21:01:00,15.4 K,103,860,54
2026-01-06 21:01:30,14.3 K,,1.65 K,
2026-01-06 21:02:00,12.9 K,,1.70 K,
2026-01-06 21:02:30,13.8 K,,1.54 K,
2026-01-06 21:03:00,12.5 K,,1.48 K,
2026-01-06 21:03:30,12.5 K,,1.39 K,
2026-01-06 21:04:00,12.1 K,,1.71 K,
2026-01-06 21:04:30,12.4 K,,1.57 K,
2026-01-06 21:05:00,13.3 K,,1.25 K,
2026-01-06 21:05:30,12.9 K,,1.37 K,
2026-01-06 21:06:00,16.4 K,,1.39 K,
2026-01-06 21:06:30,4.77 K,,178,1
2026-01-06 21:07:00,6.33 K,124,159,62
2026-01-06 21:07:30,8.10 K,105,147,53
2026-01-06 21:08:00,9.10 K,10,1.15 K,7
2026-01-06 21:08:30,7.73 K,,171,2
2026-01-06 21:09:00,6.22 K,,102,1
2026-01-06 21:09:30,3.80 K,,93,
2026-01-06 21:10:00,5.16 K,19,130,11
2026-01-06 21:10:30,5.66 K,3,264,1
2026-01-06 21:11:00,8.32 K,,216,
2026-01-06 21:11:30,9.31 K,,868,2
2026-01-06 21:12:00,13.0 K,,1.36 K,
2026-01-06 21:12:30,14.6 K,,1.85 K,
2026-01-06 21:13:00,13.6 K,,1.94 K,
2026-01-06 21:13:30,15.0 K,,1.85 K,
2026-01-06 21:14:00,15.4 K,,2.36 K,
2026-01-06 21:14:30,14.1 K,,2.12 K,2
2026-01-06 21:15:00,15.2 K,,1.73 K,
2026-01-06 21:15:30,9.98 K,,1.51 K,1
2026-01-06 21:16:00,11.3 K,12,1.14 K,10
2026-01-06 21:16:30,11.3 K,128,950,63
2026-01-06 21:17:00,13.6 K,,1.46 K,
2026-01-06 21:17:30,16.1 K,,1.38 K,
2026-01-06 21:18:00,13.4 K,37,480,36
2026-01-06 21:18:30,11.5 K,45,203,43
2026-01-06 21:19:00,4.71 K,,177,
2026-01-06 21:19:30,5.67 K,,185,1
2026-01-06 21:20:00,4.74 K,2,139,3
2026-01-06 21:20:30,9.47 K,14,288,6
2026-01-06 21:21:00,6.44 K,,158,1
2026-01-06 21:21:30,7.28 K,1,145,4
2026-01-06 21:22:00,12.2 K,11,828,6
2026-01-06 21:22:30,8.45 K,33,243,16
2026-01-06 21:23:00,4.55 K,,149,
2026-01-06 21:23:30,5.94 K,,154,3
2026-01-06 21:24:00,7.18 K,2,149,2
2026-01-06 21:24:30,12.4 K,21,613,10
2026-01-06 21:25:00,14.3 K,,1.44 K,
2026-01-06 21:25:30,8.70 K,38,248,26
2026-01-06 21:26:00,13.8 K,62,124,62
2026-01-06 21:26:30,8.96 K,37,176,34
2026-01-06 21:27:00,6.82 K,2,177,1
2026-01-06 21:27:30,9.09 K,,1.13 K,
2026-01-06 21:28:00,10.6 K,,1.14 K,
2026-01-06 21:28:30,6.48 K,7,228,4
2026-01-06 21:29:00,5.86 K,,152,
2026-01-06 21:29:30,7.32 K,36,163,14
2026-01-06 21:30:00,6.25 K,175,155,83
2026-01-06 21:30:30,7.52 K,191,177,95
