"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-07 16:22:00,2.11,2.15,2.11,,2.13,
2026-01-07 16:23:00,2.04,2.04,2.11,,2.20,
2026-01-07 16:24:00,1.78,1.80,1.77,,2.20,1.78
2026-01-07 16:25:00,1.73,1.69,1.75,,2.20,1.68
2026-01-07 16:26:00,1.73,1.31,1.29,,1.21,1.27
2026-01-07 16:27:00,1.73,1.31,1.29,,1.21,1.27
2026-01-07 16:28:00,1.73,1.29,1.29,,1.24,1.25
2026-01-07 16:29:00,1.73,1.29,1.29,,1.24,1.25
2026-01-07 16:30:00,1.73,1.29,2.31,,1.13,1.04
2026-01-07 16:31:00,1.73,1.29,1.89,1.92,1.10,1.09
2026-01-07 16:32:00,1.73,1.29,0.686,0.964,0.861,0.934
2026-01-07 16:33:00,1.73,1.29,0.686,0.964,0.861,0.934
2026-01-07 16:34:00,1.73,1.29,0.708,0.904,0.925,0.742
2026-01-07 16:35:00,1.73,1.29,0.708,0.904,0.925,0.742
2026-01-07 16:36:00,1.73,1.29,0.811,0.836,0.884,0.870
2026-01-07 16:37:00,1.73,1.29,0.737,0.811,0.984,0.820
2026-01-07 16:38:00,1.73,1.29,0.776,0.747,0.744,0.674
2026-01-07 16:39:00,1.73,1.29,0.776,0.747,0.744,0.674
2026-01-07 16:40:00,1.73,1.28,0.706,1.45,0.883,0.674
2026-01-07 16:41:00,1.73,0.862,0.575,0.862,0.670,0.674
2026-01-07 16:42:00,1.73,0.600,0.575,0.708,0.589,0.579
2026-01-07 16:43:00,1.73,0.600,0.575,0.708,0.589,0.579
2026-01-07 16:44:00,1.73,0.455,0.575,0.542,0.566,0.501
2026-01-07 16:45:00,1.73,0.526,0.575,0.725,0.442,0.422
2026-01-07 16:46:00,1.73,0.495,0.575,0.725,0.442,0.583
2026-01-07 16:47:00,1.73,0.495,0.575,0.725,0.442,0.583
2026-01-07 16:48:00,1.73,0.421,0.575,2.34,0.442,0.363
2026-01-07 16:49:00,1.73,0.391,0.575,2.33,2.32,0.330
2026-01-07 16:50:00,1.73,0.573,0.575,2.32,2.32,0.388
2026-01-07 16:51:00,1.73,0.573,0.575,2.32,2.32,0.388
2026-01-07 16:52:00,1.73,0.573,0.575,2.32,2.32,0.388
2026-01-07 16:53:00,1.73,2.33,0.575,2.33,2.32,0.388
2026-01-07 16:54:00,2.00,2.04,2.01,2.29,2.32,0.388
2026-01-07 16:55:00,0.950,0.889,0.876,0.898,2.32,0.388
2026-01-07 16:56:00,1.14,1.16,1.05,0.898,1.06,0.388
2026-01-07 16:57:00,1.14,1.16,1.05,0.898,1.06,0.388
2026-01-07 16:58:00,0.888,0.857,1.05,0.898,0.710,0.388
2026-01-07 16:59:00,0.837,0.978,1.05,2.36,0.920,0.388
2026-01-07 17:00:00,0.902,0.955,1.05,2.37,0.757,0.388
2026-01-07 17:01:00,0.902,0.955,1.05,2.37,0.757,0.388
2026-01-07 17:02:00,0.910,0.955,1.05,2.35,0.757,0.388
2026-01-07 17:03:00,0.910,0.955,1.05,2.35,0.757,0.388
2026-01-07 17:04:00,0.835,0.955,0.726,2.35,0.757,0.388
2026-01-07 17:05:00,0.674,2.34,0.742,2.35,0.757,0.388
2026-01-07 17:06:00,0.573,2.38,0.432,2.35,0.757,2.40
2026-01-07 17:07:00,0.469,2.45,0.456,2.35,0.757,2.55
2026-01-07 17:08:00,0.479,2.41,0.467,2.35,0.757,2.37
2026-01-07 17:09:00,0.530,2.31,0.622,2.35,0.757,2.30
2026-01-07 17:10:00,0.528,2.28,0.634,2.35,0.757,2.28
2026-01-07 17:11:00,0.543,2.28,0.554,2.35,0.757,2.28
2026-01-07 17:12:00,0.467,2.20,0.554,2.25,0.757,2.19
2026-01-07 17:13:00,0.467,2.20,0.554,2.25,0.757,2.19
2026-01-07 17:14:00,0.467,1.76,1.74,1.73,0.757,1.79
2026-01-07 17:15:00,0.467,0.815,0.685,0.789,0.757,0.791
2026-01-07 17:16:00,0.467,0.815,0.685,0.733,0.757,0.791
2026-01-07 17:17:00,0.467,0.815,0.685,0.733,0.757,0.791
2026-01-07 17:18:00,0.467,0.815,0.564,0.544,0.757,0.601
2026-01-07 17:19:00,0.467,0.815,0.564,0.544,0.757,0.601
2026-01-07 17:20:00,0.597,2.34,0.564,0.592,0.757,0.869
2026-01-07 17:21:00,0.504,2.31,0.564,0.533,0.551,0.755
2026-01-07 17:22:00,0.630,2.31,0.564,0.665,0.882,0.734
2026-01-07 17:23:00,0.630,2.31,0.564,0.665,0.882,0.734
2026-01-07 17:24:00,0.630,2.30,0.564,0.606,0.882,0.670
2026-01-07 17:25:00,0.630,2.30,0.564,0.606,0.882,0.495
2026-01-07 17:26:00,0.346,2.31,0.618,2.34,0.882,0.247
2026-01-07 17:27:00,0.346,2.31,0.618,2.34,0.882,0.247
2026-01-07 17:28:00,0.346,2.31,0.618,2.34,0.882,0.247
