"Time","sum by (service_name) (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""r600w4p2_f3_d10_20b300l1td40_100ts10_4tl100_tb200_worker9""}[4m0s])
)  * 8 ","gateway","worker1","worker10","worker2","worker3","worker4","worker5","worker6","worker7","worker8","worker9"
2026-01-07 16:22:00,,,,,,,,,,92.4 kb/s,,
2026-01-07 16:23:00,31.8 kb/s,2.50 kb/s,2.33 kb/s,2.31 kb/s,4.24 kb/s,2.38 kb/s,404 kb/s,2.29 kb/s,112 kb/s,109 kb/s,112 kb/s,112 kb/s
2026-01-07 16:24:00,35.2 kb/s,2.25 kb/s,2.41 kb/s,2.43 kb/s,5.48 kb/s,2.55 kb/s,543 kb/s,97.2 kb/s,142 kb/s,107 kb/s,170 kb/s,148 kb/s
2026-01-07 16:25:00,45.1 kb/s,3.32 kb/s,3.26 kb/s,3.08 kb/s,7.77 kb/s,3.44 kb/s,1.17 Mb/s,210 kb/s,275 kb/s,102 kb/s,349 kb/s,306 kb/s
2026-01-07 16:26:00,37.4 kb/s,4.17 kb/s,4.87 kb/s,13.1 kb/s,514 kb/s,4.82 kb/s,874 kb/s,327 kb/s,345 kb/s,204 kb/s,415 kb/s,225 kb/s
2026-01-07 16:27:00,40.5 kb/s,17.1 kb/s,15.3 kb/s,17.9 kb/s,557 kb/s,17.6 kb/s,624 kb/s,302 kb/s,395 kb/s,264 kb/s,372 kb/s,157 kb/s
2026-01-07 16:28:00,40.2 kb/s,19.2 kb/s,16.6 kb/s,18.3 kb/s,626 kb/s,21.9 kb/s,59.5 kb/s,185 kb/s,238 kb/s,294 kb/s,243 kb/s,17.8 kb/s
2026-01-07 16:29:00,43.2 kb/s,18.7 kb/s,16.8 kb/s,9.59 kb/s,95.7 kb/s,24.5 kb/s,76.2 kb/s,53.8 kb/s,89.1 kb/s,135 kb/s,98.0 kb/s,10.2 kb/s
2026-01-07 16:30:00,42.3 kb/s,9.55 kb/s,10.0 kb/s,81.6 kb/s,7.49 kb/s,17.2 kb/s,126 kb/s,53.4 kb/s,90.8 kb/s,75.4 kb/s,76.5 kb/s,11.2 kb/s
2026-01-07 16:31:00,47.3 kb/s,7.65 kb/s,9.11 kb/s,269 kb/s,10.3 kb/s,12.9 kb/s,397 kb/s,204 kb/s,221 kb/s,136 kb/s,27.6 kb/s,7.34 kb/s
2026-01-07 16:32:00,55.8 kb/s,17.6 kb/s,11.0 kb/s,575 kb/s,12.6 kb/s,12.1 kb/s,1.32 Mb/s,458 kb/s,512 kb/s,404 kb/s,7.77 kb/s,8.86 kb/s
2026-01-07 16:33:00,71.2 kb/s,17.7 kb/s,10.5 kb/s,582 kb/s,15.3 kb/s,7.92 kb/s,1.48 Mb/s,446 kb/s,549 kb/s,432 kb/s,7.58 kb/s,12.6 kb/s
2026-01-07 16:34:00,69.3 kb/s,16.7 kb/s,9.94 kb/s,473 kb/s,16.2 kb/s,7.61 kb/s,1.33 Mb/s,345 kb/s,510 kb/s,419 kb/s,22.3 kb/s,12.3 kb/s
2026-01-07 16:35:00,62.3 kb/s,8.56 kb/s,8.43 kb/s,95.7 kb/s,14.8 kb/s,16.9 kb/s,478 kb/s,110 kb/s,178 kb/s,141 kb/s,21.0 kb/s,13.4 kb/s
