"Time","12D3KooWCJ7nntLmkWTjqRtAff3id5jfguqBzK9hKFGP23FRqutr","12D3KooWCrsm9LonCnLLWQwoM2eMWMqneuwMXTUtcmyxPLmYhp6Y","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","12D3KooWHW7wgTu87J3MA6ntu6h5rSgUDsa35Jmo12DTXpwQ6Ric","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-07 10:12:00,1.98,,,1.91,1.98,1.92
2026-01-07 10:13:00,1.09,,,1.15,1.01,1.05
2026-01-07 10:14:00,1.09,1.42,,1.43,1.13,1.15
2026-01-07 10:15:00,1.09,0.657,,0.671,0.546,0.618
2026-01-07 10:16:00,1.09,0.640,,0.603,0.554,0.550
2026-01-07 10:17:00,1.09,0.634,,0.560,0.698,0.483
2026-01-07 10:18:00,1.09,0.341,,0.384,0.291,0.319
2026-01-07 10:19:00,1.09,0.413,,0.347,0.289,0.328
2026-01-07 10:20:00,1.09,0.369,,0.347,0.289,0.328
2026-01-07 10:21:00,1.09,0.369,,2.34,0.289,0.328
2026-01-07 10:22:00,1.09,2.16,,2.17,2.16,2.11
2026-01-07 10:23:00,1.09,2.16,,2.17,2.16,2.11
2026-01-07 10:24:00,0.956,2.16,,0.994,1.03,1.22
2026-01-07 10:25:00,0.705,2.16,,0.765,0.883,0.640
2026-01-07 10:26:00,0.726,2.16,,0.803,0.828,0.710
2026-01-07 10:27:00,0.706,2.16,,0.735,0.668,0.668
2026-01-07 10:28:00,0.706,2.16,,0.644,0.602,0.734
2026-01-07 10:29:00,2.40,2.16,,0.518,0.411,0.474
2026-01-07 10:30:00,2.37,2.09,,0.535,0.456,0.611
2026-01-07 10:31:00,2.37,2.09,,0.535,0.456,0.611
2026-01-07 10:32:00,2.30,2.03,0.444,0.535,0.409,0.342
2026-01-07 10:33:00,0.984,2.00,0.492,0.535,0.454,0.429
2026-01-07 10:34:00,0.814,1.89,0.632,0.358,0.725,0.429
2026-01-07 10:35:00,0.634,1.87,0.465,0.395,0.786,0.429
2026-01-07 10:36:00,0.730,1.80,0.484,0.557,0.903,0.429
2026-01-07 10:37:00,0.730,1.80,0.484,0.557,0.903,0.429
2026-01-07 10:38:00,0.730,1.80,0.484,0.557,0.903,0.429
2026-01-07 10:39:00,0.730,1.80,0.484,0.557,0.903,0.429
