"Time","debug","error","info","warn"
2026-01-05 23:20:00,57.6 K,78,3.27 K,14
2026-01-05 23:40:00,104 K,,9.16 K,
2026-01-06 00:00:00,104 K,4.39 K,7.73 K,2.28 K
2026-01-06 00:20:00,71.3 K,1.95 K,3.04 K,989
2026-01-06 00:40:00,81.0 K,1,3.07 K,3
2026-01-06 01:00:00,85.0 K,,4.26 K,2
2026-01-06 01:20:00,81.3 K,,3.15 K,
2026-01-06 01:40:00,84.1 K,,4.08 K,
2026-01-06 02:00:00,84.6 K,,4.28 K,
2026-01-06 02:20:00,85.6 K,,4.48 K,
2026-01-06 02:40:00,84.6 K,,3.86 K,
2026-01-06 03:00:00,84.1 K,,4.09 K,
2026-01-06 03:20:00,93.6 K,,6.14 K,
2026-01-06 03:40:00,84.6 K,,3.73 K,
2026-01-06 04:00:00,84.0 K,,3.63 K,
2026-01-06 04:20:00,85.6 K,,4.12 K,2
2026-01-06 04:40:00,84.1 K,,3.77 K,
2026-01-06 05:00:00,87.8 K,,4.50 K,
2026-01-06 05:20:00,88.7 K,,4.42 K,
2026-01-06 05:40:00,86.4 K,,4.61 K,
2026-01-06 06:00:00,95.6 K,,6.84 K,
2026-01-06 06:20:00,83.4 K,,3.45 K,
2026-01-06 06:40:00,88.0 K,,4.68 K,
2026-01-06 07:00:00,87.1 K,,4.45 K,
2026-01-06 07:20:00,83.4 K,,3.51 K,
2026-01-06 07:40:00,85.2 K,,3.89 K,
2026-01-06 08:00:00,87.2 K,,4.53 K,
2026-01-06 08:20:00,87.6 K,,4.83 K,
2026-01-06 08:40:00,88.1 K,,5.19 K,
2026-01-06 09:00:00,91.7 K,,6.03 K,
2026-01-06 09:20:00,89.2 K,,5.17 K,
2026-01-06 09:40:00,88.8 K,,4.83 K,
2026-01-06 10:00:00,82.9 K,,3.17 K,
2026-01-06 10:20:00,86.3 K,,4.30 K,
2026-01-06 10:40:00,84.6 K,,3.90 K,2
2026-01-06 11:00:00,87.3 K,,4.60 K,
2026-01-06 11:20:00,88.1 K,,4.78 K,
2026-01-06 11:40:00,86.0 K,,4.10 K,
2026-01-06 12:00:00,84.5 K,,4.18 K,
2026-01-06 12:20:00,87.5 K,,4.74 K,
2026-01-06 12:40:00,88.7 K,,5.13 K,
2026-01-06 13:00:00,86.9 K,,4.69 K,
2026-01-06 13:20:00,87.5 K,,4.80 K,
2026-01-06 13:40:00,83.2 K,,3.52 K,
2026-01-06 14:00:00,82.2 K,,3.27 K,
2026-01-06 14:20:00,89.0 K,4,5.38 K,
2026-01-06 14:40:00,80.8 K,,3.01 K,
2026-01-06 15:00:00,89.3 K,,5.03 K,
2026-01-06 15:20:00,83.8 K,,3.63 K,
