"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr"
2026-01-05 23:20:00,,,,,10.2,8.98,11.2,,,
2026-01-05 23:40:00,,,,,10.1,9.24,9.46,,,
2026-01-06 00:00:00,,,,8.01,,,,,,
2026-01-06 00:20:00,9.07,8.12,10.1,,,,,,,
2026-01-06 00:40:00,,,,,,,,8.68,8.91,8.08
2026-01-06 01:00:00,,,,,,,,7.76,7.91,7.76
2026-01-06 01:20:00,,,,,,,,7.48,7.44,7.50
2026-01-06 01:40:00,,,,,,,,7.46,7.35,7.48
2026-01-06 02:00:00,,,,,,,,7.33,7.27,7.33
2026-01-06 02:20:00,,,,,,,,7.25,7.18,7.20
2026-01-06 02:40:00,,,,,,,,7.08,7.12,7.09
2026-01-06 03:00:00,,,,,,,,7.12,7.05,7.10
2026-01-06 03:20:00,,,,,,,,6.99,6.99,6.95
2026-01-06 03:40:00,,,,,,,,7.03,7.06,7.00
2026-01-06 04:00:00,,,,,,,,6.91,7.14,7.01
2026-01-06 04:20:00,,,,,,,,6.88,6.93,6.92
2026-01-06 04:40:00,,,,,,,,7.04,7.17,6.99
2026-01-06 05:00:00,,,,,,,,6.94,6.82,6.95
2026-01-06 05:20:00,,,,,,,,6.96,7.12,6.94
2026-01-06 05:40:00,,,,,,,,6.75,6.82,6.85
2026-01-06 06:00:00,,,,,,,,6.87,6.85,6.92
2026-01-06 06:20:00,,,,,,,,6.75,6.96,6.82
2026-01-06 06:40:00,,,,,,,,6.91,6.65,6.81
2026-01-06 07:00:00,,,,,,,,6.81,6.86,6.86
2026-01-06 07:20:00,,,,,,,,6.69,6.76,6.76
2026-01-06 07:40:00,,,,,,,,6.79,6.93,6.87
2026-01-06 08:00:00,,,,,,,,6.78,6.73,6.73
2026-01-06 08:20:00,,,,,,,,6.75,6.68,6.80
2026-01-06 08:40:00,,,,,,,,6.77,6.64,6.72
2026-01-06 09:00:00,,,,,,,,6.72,6.91,6.77
2026-01-06 09:20:00,,,,,,,,6.72,6.75,6.73
2026-01-06 09:40:00,,,,,,,,6.61,6.95,6.69
2026-01-06 10:00:00,,,,,,,,6.71,6.93,6.72
2026-01-06 10:20:00,,,,,,,,6.60,6.92,6.68
2026-01-06 10:40:00,,,,,,,,6.59,6.71,6.71
2026-01-06 11:00:00,,,,,,,,6.67,6.81,6.73
2026-01-06 11:20:00,,,,,,,,6.70,6.64,6.65
2026-01-06 11:40:00,,,,,,,,6.55,6.69,6.68
2026-01-06 12:00:00,,,,,,,,6.62,6.73,6.63
2026-01-06 12:20:00,,,,,,,,6.77,6.48,6.68
2026-01-06 12:40:00,,,,,,,,6.56,6.61,6.62
2026-01-06 13:00:00,,,,,,,,6.54,6.60,6.66
2026-01-06 13:20:00,,,,,,,,6.71,6.58,6.62
2026-01-06 13:40:00,,,,,,,,6.67,6.61,6.65
2026-01-06 14:00:00,,,,,,,,6.55,6.79,6.63
2026-01-06 14:20:00,,,,,,,,6.52,6.60,6.71
2026-01-06 14:40:00,,,,,,,,6.61,6.64,6.57
2026-01-06 15:00:00,,,,,,,,6.63,6.64,6.61
2026-01-06 15:20:00,,,,,,,,6.82,6.66,6.55
2026-01-06 15:40:00,,,,,,,,6.81,6.52,6.62
2026-01-06 16:00:00,,,,,,,,6.72,6.58,6.64
2026-01-06 16:20:00,,,,,,,,6.54,6.83,6.64
2026-01-06 16:40:00,,,,,,,,6.62,6.77,6.63
2026-01-06 17:00:00,,,,,,,,6.70,6.62,6.63
2026-01-06 17:20:00,,,,,,,,6.50,6.80,6.61
2026-01-06 17:40:00,,,,,,,,6.57,6.54,6.51
2026-01-06 18:00:00,,,,,,,,6.74,6.54,6.52
2026-01-06 18:20:00,,,,,,,,6.51,6.49,6.59
2026-01-06 18:40:00,,,,,,,,6.47,6.74,6.52
2026-01-06 19:00:00,,,,,,,,6.47,6.56,6.66
2026-01-06 19:20:00,,,,,,,,6.47,6.48,6.66
2026-01-06 19:40:00,,,,,,,,6.57,6.72,6.51
2026-01-06 20:00:00,,,,,,,,6.77,6.49,6.49
2026-01-06 20:20:00,,,,,,,,6.57,6.50,6.61
2026-01-06 20:40:00,,,,,,,,6.55,6.55,6.62
2026-01-06 21:00:00,,,,,,,,6.52,6.78,6.60
2026-01-06 21:20:00,,,,,,,,6.48,6.68,6.45
2026-01-06 21:40:00,,,,,,,,6.57,6.46,6.57
2026-01-06 22:00:00,,,,,,,,6.46,6.50,6.53
2026-01-06 22:20:00,,,,,,,,6.52,6.56,6.52
2026-01-06 22:40:00,,,,,,,,6.54,6.80,6.52
2026-01-06 23:00:00,,,,,,,,6.54,6.50,6.49
2026-01-06 23:20:00,,,,,,,,6.49,6.47,6.48
2026-01-06 23:40:00,,,,,,,,6.55,6.46,6.52
2026-01-07 00:00:00,,,,,,,,6.73,6.40,6.55
2026-01-07 00:20:00,,,,,,,,6.65,6.50,6.58
2026-01-07 00:40:00,,,,,,,,6.65,6.50,6.58
2026-01-07 01:00:00,,,,,,,,6.65,6.50,6.58
2026-01-07 01:20:00,,,,,,,,6.65,6.50,6.58
2026-01-07 01:40:00,,,,,,,,6.65,6.50,6.58
2026-01-07 02:00:00,,,,,,,,6.65,6.50,6.58
2026-01-07 02:20:00,,,,,,,,6.65,6.50,6.58
2026-01-07 02:40:00,,,,,,,,6.65,6.50,6.58
2026-01-07 03:00:00,,,,,,,,6.65,6.50,6.58
2026-01-07 03:20:00,,,,,,,,6.65,6.50,6.58
2026-01-07 03:40:00,,,,,,,,6.65,6.50,6.58
2026-01-07 04:00:00,,,,,,,,6.65,6.50,6.58
2026-01-07 04:20:00,,,,,,,,6.65,6.50,6.58
2026-01-07 04:40:00,,,,,,,,6.65,6.50,6.58
2026-01-07 05:00:00,,,,,,,,6.65,6.50,6.58
2026-01-07 05:20:00,,,,,,,,6.65,6.50,6.58
2026-01-07 05:40:00,,,,,,,,6.65,6.50,6.58
2026-01-07 06:00:00,,,,,,,,6.65,6.50,6.58
2026-01-07 06:20:00,,,,,,,,6.65,6.50,6.58
2026-01-07 06:40:00,,,,,,,,6.65,6.50,6.58
2026-01-07 07:00:00,,,,,,,,6.65,6.50,6.58
2026-01-07 07:20:00,,,,,,,,6.65,6.50,6.58
2026-01-07 07:40:00,,,,,,,,6.65,6.64,6.58
2026-01-07 08:00:00,,,,,,,,6.76,6.52,6.55
2026-01-07 08:20:00,,,,,,,,6.58,6.53,6.56
2026-01-07 08:40:00,,,,,,,,6.56,6.49,6.43
2026-01-07 09:00:00,,,,,,,,6.45,6.54,6.45
2026-01-07 09:20:00,,,,,,,,6.36,6.47,6.53
2026-01-07 09:40:00,,,,,,,,6.37,6.60,6.44
2026-01-07 10:00:00,,,,,,,,6.36,6.50,6.46
2026-01-07 10:20:00,,,,,,,,6.35,6.49,6.49
2026-01-07 10:40:00,,,,,,,,6.33,6.39,6.37
2026-01-07 11:00:00,,,,,,,,6.52,6.44,6.37
2026-01-07 11:20:00,,,,,,,,6.46,6.42,6.42
2026-01-07 11:40:00,,,,,,,,6.30,6.62,6.36
2026-01-07 12:00:00,,,,,,,,6.48,6.43,6.41
2026-01-07 12:20:00,,,,,,,,6.38,6.32,6.60
2026-01-07 12:40:00,,,,,,,,6.38,6.58,6.37
2026-01-07 13:00:00,,,,,,,,6.99,6.51,6.40
2026-01-07 13:20:00,,,,,,,,7.09,6.50,6.39
2026-01-07 13:40:00,,,,,,,,6.33,6.44,6.45
2026-01-07 14:00:00,,,,,,,,6.46,6.37,6.38
2026-01-07 14:20:00,,,,,,,,6.37,6.36,6.33
2026-01-07 14:40:00,,,,,,,,6.28,6.30,6.35
2026-01-07 15:00:00,,,,,,,,6.32,6.36,6.38
2026-01-07 15:20:00,,,,,,,,6.38,6.28,6.37
2026-01-07 15:40:00,,,,,,,,6.38,6.33,6.33
2026-01-07 16:00:00,,,,,,,,6.54,6.25,6.35
2026-01-07 16:20:00,,,,,,,,6.36,6.32,6.31
2026-01-07 16:40:00,,,,,,,,6.37,6.45,6.38
2026-01-07 17:00:00,,,,,,,,6.34,6.25,6.41
2026-01-07 17:20:00,,,,,,,,6.31,6.28,6.29
2026-01-07 17:40:00,,,,,,,,6.40,6.29,6.35
2026-01-07 18:00:00,,,,,,,,6.36,6.26,6.41
2026-01-07 18:20:00,,,,,,,,6.33,6.33,6.27
2026-01-07 18:40:00,,,,,,,,6.33,6.26,6.27
2026-01-07 19:00:00,,,,,,,,6.25,6.25,6.33
2026-01-07 19:20:00,,,,,,,,6.42,6.26,6.28
2026-01-07 19:40:00,,,,,,,,6.32,6.53,6.27
2026-01-07 20:00:00,,,,,,,,6.33,6.37,6.22
2026-01-07 20:20:00,,,,,,,,6.33,6.27,6.29
2026-01-07 20:40:00,,,,,,,,6.23,6.26,6.34
2026-01-07 21:00:00,,,,,,,,6.34,6.26,6.32
2026-01-07 21:20:00,,,,,,,,6.20,6.40,6.32
2026-01-07 21:40:00,,,,,,,,6.37,6.27,6.42
2026-01-07 22:00:00,,,,,,,,6.37,6.25,6.35
2026-01-07 22:20:00,,,,,,,,6.33,6.35,6.35
2026-01-07 22:40:00,,,,,,,,6.35,6.47,6.35
2026-01-07 23:00:00,,,,,,,,6.29,6.33,6.25
2026-01-07 23:20:00,,,,,,,,6.30,6.44,6.30
2026-01-07 23:40:00,,,,,,,,6.19,6.28,6.26
2026-01-08 00:00:00,,,,,,,,6.37,6.34,6.21
2026-01-08 00:20:00,,,,,,,,6.19,6.38,6.34
2026-01-08 00:40:00,,,,,,,,6.28,6.23,6.33
2026-01-08 01:00:00,,,,,,,,6.20,6.20,6.30
2026-01-08 01:20:00,,,,,,,,6.19,6.17,6.30
2026-01-08 01:40:00,,,,,,,,6.18,6.20,6.31
2026-01-08 02:00:00,,,,,,,,6.18,6.24,6.23
2026-01-08 02:20:00,,,,,,,,6.21,6.44,6.24
2026-01-08 02:40:00,,,,,,,,6.28,6.19,6.30
2026-01-08 03:00:00,,,,,,,,6.17,6.16,6.22
2026-01-08 03:20:00,,,,,,,,6.28,6.40,6.28
2026-01-08 03:40:00,,,,,,,,6.27,6.43,6.25
2026-01-08 04:00:00,,,,,,,,6.36,6.15,6.25
2026-01-08 04:20:00,,,,,,,,6.21,6.35,6.25
2026-01-08 04:40:00,,,,,,,,6.31,6.40,6.21
2026-01-08 05:00:00,,,,,,,,6.30,6.23,6.26
2026-01-08 05:20:00,,,,,,,,6.20,6.44,6.27
2026-01-08 05:40:00,,,,,,,,6.19,6.38,6.26
2026-01-08 06:00:00,,,,,,,,6.25,6.31,6.20
2026-01-08 06:20:00,,,,,,,,6.26,6.41,6.24
2026-01-08 06:40:00,,,,,,,,6.25,6.36,6.25
2026-01-08 07:00:00,,,,,,,,6.15,6.27,6.24
2026-01-08 07:20:00,,,,,,,,6.26,6.23,6.36
2026-01-08 07:40:00,,,,,,,,6.16,6.24,6.16
2026-01-08 08:00:00,,,,,,,,6.24,6.17,6.22
2026-01-08 08:20:00,,,,,,,,6.15,6.22,6.19
2026-01-08 08:40:00,,,,,,,,6.15,6.32,6.23
2026-01-08 09:00:00,,,,,,,,6.31,6.07,6.23
2026-01-08 09:20:00,,,,,,,,6.23,6.36,6.25
2026-01-08 09:40:00,,,,,,,,6.29,6.15,6.12
2026-01-08 10:00:00,,,,,,,,6.36,6.16,6.28
2026-01-08 10:20:00,,,,,,,,6.22,6.10,6.18
2026-01-08 10:40:00,,,,,,,,6.35,6.17,6.23
2026-01-08 11:00:00,,,,,,,,6.22,6.11,6.24
2026-01-08 11:20:00,,,,,,,,6.33,6.14,6.24
2026-01-08 11:40:00,,,,,,,,6.22,6.30,6.20
2026-01-08 12:00:00,,,,,,,,6.23,6.16,6.23
2026-01-08 12:20:00,,,,,,,,6.14,6.22,6.25
2026-01-08 12:40:00,,,,,,,,6.24,6.36,6.21
2026-01-08 13:00:00,,,,,,,,6.19,6.08,6.24
2026-01-08 13:20:00,,,,,,,,6.23,6.39,6.24
2026-01-08 13:40:00,,,,,,,,6.22,6.15,6.15
2026-01-08 14:00:00,,,,,,,,6.22,6.29,6.13
2026-01-08 14:20:00,,,,,,,,6.32,6.20,6.18
2026-01-08 14:40:00,,,,,,,,6.31,6.16,6.17
2026-01-08 15:00:00,,,,,,,,6.09,6.31,6.18
2026-01-08 15:20:00,,,,,,,,6.21,6.22,6.19
2026-01-08 15:40:00,,,,,,,,6.20,6.36,6.20
2026-01-08 16:00:00,,,,,,,,6.31,6.19,6.21
2026-01-08 16:20:00,,,,,,,,6.11,6.34,6.22
2026-01-08 16:40:00,,,,,,,,6.22,6.22,6.20
2026-01-08 17:00:00,,,,,,,,6.28,6.38,6.23
2026-01-08 17:20:00,,,,,,,,6.22,6.20,6.18
2026-01-08 17:40:00,,,,,,,,6.23,6.20,6.20
2026-01-08 18:00:00,,,,,,,,6.20,6.17,6.13
2026-01-08 18:20:00,,,,,,,,6.11,6.13,6.15
2026-01-08 18:40:00,,,,,,,,6.13,6.12,6.17
2026-01-08 19:00:00,,,,,,,,6.31,6.07,6.15
2026-01-08 19:20:00,,,,,,,,6.19,6.10,6.11
2026-01-08 19:40:00,,,,,,,,6.20,6.08,6.16
2026-01-08 20:00:00,,,,,,,,6.27,6.08,6.11
2026-01-08 20:20:00,,,,,,,,6.16,6.20,6.19
2026-01-08 20:40:00,,,,,,,,6.13,6.34,6.15
2026-01-08 21:00:00,,,,,,,,6.28,6.38,6.18
2026-01-08 21:20:00,,,,,,,,6.21,6.23,6.11
2026-01-08 21:40:00,,,,,,,,6.19,6.22,6.20
2026-01-08 22:00:00,,,,,,,,6.29,6.34,6.22
2026-01-08 22:20:00,,,,,,,,6.10,6.17,6.19
2026-01-08 22:40:00,,,,,,,,6.21,6.22,6.17
2026-01-08 23:00:00,,,,,,,,6.29,6.13,6.14
2026-01-08 23:20:00,,,,,,,,6.20,6.28,6.12
2026-01-08 23:40:00,,,,,,,,6.12,6.23,6.17
2026-01-09 00:00:00,,,,,,,,6.11,6.16,6.17
2026-01-09 00:20:00,,,,,,,,6.17,6.13,6.08
2026-01-09 00:40:00,,,,,,,,6.16,6.10,6.16
2026-01-09 01:00:00,,,,,,,,6.12,6.34,6.16
2026-01-09 01:20:00,,,,,,,,6.10,6.18,6.22
2026-01-09 01:40:00,,,,,,,,6.21,6.31,6.14
2026-01-09 02:00:00,,,,,,,,6.26,6.17,6.15
2026-01-09 02:20:00,,,,,,,,6.19,6.28,6.13
2026-01-09 02:40:00,,,,,,,,6.08,6.05,6.13
2026-01-09 03:00:00,,,,,,,,6.19,6.13,6.10
2026-01-09 03:20:00,,,,,,,,6.29,6.08,6.13
2026-01-09 03:40:00,,,,,,,,6.09,6.07,6.16
2026-01-09 04:00:00,,,,,,,,6.17,6.15,6.19
2026-01-09 04:20:00,,,,,,,,6.28,6.37,6.21
2026-01-09 04:40:00,,,,,,,,6.25,6.16,6.19
2026-01-09 05:00:00,,,,,,,,6.15,6.05,6.16
2026-01-09 05:20:00,,,,,,,,6.19,6.17,6.10
2026-01-09 05:40:00,,,,,,,,6.18,6.04,6.12
2026-01-09 06:00:00,,,,,,,,6.35,6.10,6.19
2026-01-09 06:20:00,,,,,,,,6.27,6.18,6.17
2026-01-09 06:40:00,,,,,,,,6.15,6.18,6.17
2026-01-09 07:00:00,,,,,,,,6.16,6.31,6.14
2026-01-09 07:20:00,,,,,,,,6.09,6.02,6.17
2026-01-09 07:40:00,,,,,,,,6.17,6.04,6.19
2026-01-09 08:00:00,,,,,,,,6.08,6.11,6.08
2026-01-09 08:20:00,,,,,,,,6.09,6.08,6.09
2026-01-09 08:40:00,,,,,,,,6.18,6.11,6.08
2026-01-09 09:00:00,,,,,,,,6.16,6.08,6.19
2026-01-09 09:20:00,,,,,,,,6.19,6.06,6.21
2026-01-09 09:40:00,,,,,,,,6.18,6.05,6.18
2026-01-09 10:00:00,,,,,,,,6.21,6.18,6.19
2026-01-09 10:20:00,,,,,,,,6.14,6.29,6.11
2026-01-09 10:40:00,,,,,,,,6.24,6.08,6.07
2026-01-09 11:00:00,,,,,,,,6.19,6.04,6.20
2026-01-09 11:20:00,,,,,,,,6.08,6.08,6.06
2026-01-09 11:40:00,,,,,,,,6.07,6.27,6.15
2026-01-09 12:00:00,,,,,,,,6.24,6.25,6.15
2026-01-09 12:20:00,,,,,,,,6.16,6.01,6.12
2026-01-09 12:40:00,,,,,,,,6.16,6.07,6.11
2026-01-09 13:00:00,,,,,,,,6.08,6.08,6.14
2026-01-09 13:20:00,,,,,,,,6.36,6.07,6.12
2026-01-09 13:40:00,,,,,,,,6.23,6.07,6.11
