"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""gptneo_03e4b61""}[16m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""gptneo_03e4b61""}[16m0s])
)  * 8 "
2026-01-05 23:30:00,648 Mb/s
2026-01-05 23:45:00,624 Mb/s
2026-01-06 00:00:00,402 Mb/s
2026-01-06 00:15:00,166 Mb/s
2026-01-06 00:30:00,237 Mb/s
2026-01-06 00:45:00,302 Mb/s
2026-01-06 01:00:00,305 Mb/s
2026-01-06 01:15:00,297 Mb/s
2026-01-06 01:30:00,162 Mb/s
2026-01-06 01:45:00,154 Mb/s
2026-01-06 02:00:00,305 Mb/s
2026-01-06 02:15:00,305 Mb/s
2026-01-06 02:30:00,305 Mb/s
2026-01-06 02:45:00,305 Mb/s
2026-01-06 03:00:00,285 Mb/s
2026-01-06 03:15:00,141 Mb/s
2026-01-06 03:30:00,187 Mb/s
2026-01-06 03:45:00,305 Mb/s
2026-01-06 04:00:00,305 Mb/s
2026-01-06 04:15:00,305 Mb/s
2026-01-06 04:30:00,303 Mb/s
2026-01-06 04:45:00,158 Mb/s
2026-01-06 05:00:00,156 Mb/s
2026-01-06 05:15:00,302 Mb/s
2026-01-06 05:30:00,305 Mb/s
2026-01-06 05:45:00,305 Mb/s
2026-01-06 06:00:00,305 Mb/s
2026-01-06 06:15:00,266 Mb/s
2026-01-06 06:30:00,156 Mb/s
2026-01-06 06:45:00,192 Mb/s
2026-01-06 07:00:00,305 Mb/s
2026-01-06 07:15:00,305 Mb/s
2026-01-06 07:30:00,305 Mb/s
2026-01-06 07:45:00,293 Mb/s
2026-01-06 08:00:00,146 Mb/s
2026-01-06 08:15:00,174 Mb/s
2026-01-06 08:30:00,304 Mb/s
2026-01-06 08:45:00,305 Mb/s
2026-01-06 09:00:00,305 Mb/s
2026-01-06 09:15:00,215 Mb/s
2026-01-06 09:30:00,92.3 Mb/s
2026-01-06 09:45:00,305 Mb/s
2026-01-06 10:00:00,305 Mb/s
2026-01-06 10:15:00,305 Mb/s
2026-01-06 10:30:00,289 Mb/s
2026-01-06 10:45:00,148 Mb/s
2026-01-06 11:00:00,176 Mb/s
2026-01-06 11:15:00,305 Mb/s
2026-01-06 11:30:00,305 Mb/s
2026-01-06 11:45:00,305 Mb/s
2026-01-06 12:00:00,248 Mb/s
2026-01-06 12:15:00,109 Mb/s
2026-01-06 12:30:00,256 Mb/s
2026-01-06 12:45:00,305 Mb/s
2026-01-06 13:00:00,305 Mb/s
2026-01-06 13:15:00,192 Mb/s
2026-01-06 13:30:00,148 Mb/s
2026-01-06 13:45:00,274 Mb/s
2026-01-06 14:00:00,305 Mb/s
2026-01-06 14:15:00,305 Mb/s
2026-01-06 14:30:00,287 Mb/s
2026-01-06 14:45:00,158 Mb/s
2026-01-06 15:00:00,168 Mb/s
2026-01-06 15:15:00,305 Mb/s
2026-01-06 15:30:00,305 Mb/s
2026-01-06 15:45:00,298 Mb/s
2026-01-06 16:00:00,139 Mb/s
2026-01-06 16:15:00,180 Mb/s
2026-01-06 16:30:00,300 Mb/s
2026-01-06 16:45:00,305 Mb/s
2026-01-06 17:00:00,305 Mb/s
2026-01-06 17:15:00,179 Mb/s
2026-01-06 17:30:00,130 Mb/s
2026-01-06 17:45:00,304 Mb/s
2026-01-06 18:00:00,305 Mb/s
2026-01-06 18:15:00,305 Mb/s
2026-01-06 18:30:00,296 Mb/s
2026-01-06 18:45:00,134 Mb/s
2026-01-06 19:00:00,184 Mb/s
2026-01-06 19:15:00,255 Mb/s
2026-01-06 19:30:00,304 Mb/s
2026-01-06 19:45:00,302 Mb/s
2026-01-06 20:00:00,138 Mb/s
2026-01-06 20:15:00,173 Mb/s
2026-01-06 20:30:00,305 Mb/s
2026-01-06 20:45:00,304 Mb/s
2026-01-06 21:00:00,301 Mb/s
2026-01-06 21:15:00,149 Mb/s
2026-01-06 21:30:00,163 Mb/s
2026-01-06 21:45:00,304 Mb/s
2026-01-06 22:00:00,299 Mb/s
2026-01-06 22:15:00,156 Mb/s
2026-01-06 22:30:00,157 Mb/s
2026-01-06 22:45:00,304 Mb/s
2026-01-06 23:00:00,305 Mb/s
2026-01-06 23:15:00,304 Mb/s
2026-01-06 23:30:00,165 Mb/s
2026-01-06 23:45:00,143 Mb/s
2026-01-07 00:00:00,304 Mb/s
2026-01-07 00:15:00,303 Mb/s
2026-01-07 00:30:00,106 kb/s
2026-01-07 00:45:00,106 kb/s
2026-01-07 01:00:00,105 kb/s
2026-01-07 01:15:00,106 kb/s
2026-01-07 01:30:00,105 kb/s
2026-01-07 01:45:00,105 kb/s
2026-01-07 02:00:00,105 kb/s
2026-01-07 02:15:00,105 kb/s
2026-01-07 02:30:00,105 kb/s
2026-01-07 02:45:00,105 kb/s
2026-01-07 03:00:00,105 kb/s
2026-01-07 03:15:00,105 kb/s
2026-01-07 03:30:00,105 kb/s
2026-01-07 03:45:00,105 kb/s
2026-01-07 04:00:00,105 kb/s
2026-01-07 04:15:00,105 kb/s
2026-01-07 04:30:00,105 kb/s
2026-01-07 04:45:00,105 kb/s
2026-01-07 05:00:00,105 kb/s
2026-01-07 05:15:00,105 kb/s
2026-01-07 05:30:00,105 kb/s
2026-01-07 05:45:00,105 kb/s
2026-01-07 06:00:00,105 kb/s
2026-01-07 06:15:00,105 kb/s
2026-01-07 06:30:00,105 kb/s
2026-01-07 06:45:00,105 kb/s
2026-01-07 07:00:00,105 kb/s
2026-01-07 07:15:00,1.87 Mb/s
2026-01-07 07:30:00,249 Mb/s
2026-01-07 07:45:00,283 Mb/s
2026-01-07 08:00:00,117 Mb/s
2026-01-07 08:15:00,212 Mb/s
2026-01-07 08:30:00,304 Mb/s
2026-01-07 08:45:00,305 Mb/s
2026-01-07 09:00:00,305 Mb/s
2026-01-07 09:15:00,266 Mb/s
2026-01-07 09:30:00,137 Mb/s
2026-01-07 09:45:00,210 Mb/s
2026-01-07 10:00:00,305 Mb/s
2026-01-07 10:15:00,305 Mb/s
2026-01-07 10:30:00,305 Mb/s
2026-01-07 10:45:00,278 Mb/s
2026-01-07 11:00:00,138 Mb/s
2026-01-07 11:15:00,197 Mb/s
2026-01-07 11:30:00,305 Mb/s
2026-01-07 11:45:00,305 Mb/s
2026-01-07 12:00:00,287 Mb/s
2026-01-07 12:15:00,137 Mb/s
2026-01-07 12:30:00,201 Mb/s
2026-01-07 12:45:00,243 Mb/s
2026-01-07 13:00:00,305 Mb/s
2026-01-07 13:15:00,301 Mb/s
2026-01-07 13:30:00,243 Mb/s
2026-01-07 13:45:00,180 Mb/s
2026-01-07 14:00:00,190 Mb/s
2026-01-07 14:15:00,305 Mb/s
2026-01-07 14:30:00,305 Mb/s
2026-01-07 14:45:00,289 Mb/s
2026-01-07 15:00:00,138 Mb/s
2026-01-07 15:15:00,186 Mb/s
2026-01-07 15:30:00,305 Mb/s
2026-01-07 15:45:00,305 Mb/s
2026-01-07 16:00:00,301 Mb/s
2026-01-07 16:15:00,144 Mb/s
2026-01-07 16:30:00,208 Mb/s
2026-01-07 16:45:00,304 Mb/s
2026-01-07 17:00:00,255 Mb/s
2026-01-07 17:15:00,250 Mb/s
2026-01-07 17:30:00,150 Mb/s
2026-01-07 17:45:00,177 Mb/s
2026-01-07 18:00:00,291 Mb/s
2026-01-07 18:15:00,255 Mb/s
2026-01-07 18:30:00,305 Mb/s
2026-01-07 18:45:00,302 Mb/s
2026-01-07 19:00:00,143 Mb/s
2026-01-07 19:15:00,168 Mb/s
2026-01-07 19:30:00,305 Mb/s
2026-01-07 19:45:00,304 Mb/s
2026-01-07 20:00:00,258 Mb/s
2026-01-07 20:15:00,65.5 Mb/s
2026-01-07 20:30:00,289 Mb/s
2026-01-07 20:45:00,304 Mb/s
2026-01-07 21:00:00,305 Mb/s
2026-01-07 21:15:00,285 Mb/s
2026-01-07 21:30:00,138 Mb/s
2026-01-07 21:45:00,190 Mb/s
2026-01-07 22:00:00,305 Mb/s
2026-01-07 22:15:00,305 Mb/s
2026-01-07 22:30:00,303 Mb/s
2026-01-07 22:45:00,172 Mb/s
2026-01-07 23:00:00,138 Mb/s
2026-01-07 23:15:00,305 Mb/s
2026-01-07 23:30:00,305 Mb/s
2026-01-07 23:45:00,305 Mb/s
2026-01-08 00:00:00,264 Mb/s
2026-01-08 00:15:00,184 Mb/s
2026-01-08 00:30:00,166 Mb/s
2026-01-08 00:45:00,305 Mb/s
2026-01-08 01:00:00,305 Mb/s
2026-01-08 01:15:00,305 Mb/s
2026-01-08 01:30:00,284 Mb/s
2026-01-08 01:45:00,147 Mb/s
2026-01-08 02:00:00,182 Mb/s
2026-01-08 02:15:00,255 Mb/s
2026-01-08 02:30:00,305 Mb/s
2026-01-08 02:45:00,305 Mb/s
2026-01-08 03:00:00,305 Mb/s
2026-01-08 03:15:00,291 Mb/s
2026-01-08 03:30:00,152 Mb/s
2026-01-08 03:45:00,171 Mb/s
2026-01-08 04:00:00,305 Mb/s
2026-01-08 04:15:00,305 Mb/s
2026-01-08 04:30:00,305 Mb/s
2026-01-08 04:45:00,289 Mb/s
2026-01-08 05:00:00,164 Mb/s
2026-01-08 05:15:00,161 Mb/s
2026-01-08 05:30:00,305 Mb/s
2026-01-08 05:45:00,305 Mb/s
2026-01-08 06:00:00,304 Mb/s
2026-01-08 06:15:00,286 Mb/s
2026-01-08 06:30:00,132 Mb/s
2026-01-08 06:45:00,195 Mb/s
2026-01-08 07:00:00,305 Mb/s
2026-01-08 07:15:00,305 Mb/s
2026-01-08 07:30:00,305 Mb/s
2026-01-08 07:45:00,277 Mb/s
2026-01-08 08:00:00,129 Mb/s
2026-01-08 08:15:00,207 Mb/s
2026-01-08 08:30:00,304 Mb/s
2026-01-08 08:45:00,305 Mb/s
2026-01-08 09:00:00,282 Mb/s
2026-01-08 09:15:00,149 Mb/s
2026-01-08 09:30:00,182 Mb/s
2026-01-08 09:45:00,305 Mb/s
2026-01-08 10:00:00,305 Mb/s
2026-01-08 10:15:00,296 Mb/s
2026-01-08 10:30:00,151 Mb/s
2026-01-08 10:45:00,166 Mb/s
2026-01-08 11:00:00,305 Mb/s
2026-01-08 11:15:00,305 Mb/s
2026-01-08 11:30:00,305 Mb/s
2026-01-08 11:45:00,297 Mb/s
2026-01-08 12:00:00,157 Mb/s
2026-01-08 12:15:00,159 Mb/s
2026-01-08 12:30:00,305 Mb/s
2026-01-08 12:45:00,305 Mb/s
2026-01-08 13:00:00,305 Mb/s
2026-01-08 13:15:00,234 Mb/s
2026-01-08 13:30:00,203 Mb/s
2026-01-08 13:45:00,207 Mb/s
2026-01-08 14:00:00,305 Mb/s
2026-01-08 14:15:00,305 Mb/s
2026-01-08 14:30:00,305 Mb/s
2026-01-08 14:45:00,222 Mb/s
2026-01-08 15:00:00,194 Mb/s
2026-01-08 15:15:00,198 Mb/s
2026-01-08 15:30:00,305 Mb/s
2026-01-08 15:45:00,305 Mb/s
2026-01-08 16:00:00,305 Mb/s
2026-01-08 16:15:00,261 Mb/s
2026-01-08 16:30:00,87.1 Mb/s
2026-01-08 16:45:00,215 Mb/s
2026-01-08 17:00:00,305 Mb/s
2026-01-08 17:15:00,305 Mb/s
2026-01-08 17:30:00,305 Mb/s
2026-01-08 17:45:00,251 Mb/s
2026-01-08 18:00:00,99.6 Mb/s
2026-01-08 18:15:00,263 Mb/s
2026-01-08 18:30:00,305 Mb/s
2026-01-08 18:45:00,305 Mb/s
2026-01-08 19:00:00,305 Mb/s
2026-01-08 19:15:00,183 Mb/s
2026-01-08 19:30:00,125 Mb/s
2026-01-08 19:45:00,305 Mb/s
2026-01-08 20:00:00,305 Mb/s
2026-01-08 20:15:00,305 Mb/s
2026-01-08 20:30:00,280 Mb/s
2026-01-08 20:45:00,143 Mb/s
2026-01-08 21:00:00,190 Mb/s
2026-01-08 21:15:00,305 Mb/s
2026-01-08 21:30:00,304 Mb/s
2026-01-08 21:45:00,305 Mb/s
2026-01-08 22:00:00,272 Mb/s
2026-01-08 22:15:00,79.4 Mb/s
2026-01-08 22:30:00,262 Mb/s
2026-01-08 22:45:00,305 Mb/s
2026-01-08 23:00:00,305 Mb/s
2026-01-08 23:15:00,305 Mb/s
2026-01-08 23:30:00,284 Mb/s
2026-01-08 23:45:00,146 Mb/s
2026-01-09 00:00:00,183 Mb/s
2026-01-09 00:15:00,305 Mb/s
2026-01-09 00:30:00,305 Mb/s
2026-01-09 00:45:00,254 Mb/s
2026-01-09 01:00:00,285 Mb/s
2026-01-09 01:15:00,134 Mb/s
2026-01-09 01:30:00,194 Mb/s
2026-01-09 01:45:00,305 Mb/s
