"Time","gateway1","scheduler","worker1","worker2","worker3","worker4"
2026-01-05 23:20:00,2.73 kb/s,4.51 kb/s,36.6 Mb/s,36.9 Mb/s,113 Mb/s,34.2 Mb/s
2026-01-05 23:40:00,2.64 kb/s,15.7 kb/s,113 Mb/s,113 Mb/s,334 Mb/s,108 Mb/s
2026-01-06 00:00:00,2.87 kb/s,24.5 kb/s,76.0 Mb/s,58.6 Mb/s,203 Mb/s,83.2 Mb/s
2026-01-06 00:20:00,3.03 kb/s,11.0 kb/s,58.5 Mb/s,39.4 Mb/s,156 Mb/s,48.6 Mb/s
2026-01-06 00:40:00,3.68 kb/s,8.48 kb/s,37.5 Mb/s,38.5 Mb/s,113 Mb/s,37.1 Mb/s
2026-01-06 01:00:00,2.59 kb/s,10.3 kb/s,38.0 Mb/s,39.6 Mb/s,113 Mb/s,39.5 Mb/s
2026-01-06 01:20:00,2.59 kb/s,9.38 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 01:40:00,2.58 kb/s,10.2 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-06 02:00:00,2.59 kb/s,10.3 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 02:20:00,2.58 kb/s,10.5 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 02:40:00,2.59 kb/s,10.1 kb/s,56.9 Mb/s,58.3 Mb/s,152 Mb/s,51.8 Mb/s
2026-01-06 03:00:00,2.60 kb/s,10.0 kb/s,57.1 Mb/s,58.1 Mb/s,182 Mb/s,53.9 Mb/s
2026-01-06 03:20:00,2.58 kb/s,12.0 kb/s,38.0 Mb/s,39.4 Mb/s,119 Mb/s,47.3 Mb/s
2026-01-06 03:40:00,2.59 kb/s,9.87 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.6 Mb/s
2026-01-06 04:00:00,2.58 kb/s,9.71 kb/s,38.2 Mb/s,39.7 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-06 04:20:00,2.59 kb/s,10.2 kb/s,38.0 Mb/s,39.4 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 04:40:00,2.58 kb/s,9.81 kb/s,38.2 Mb/s,39.7 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 05:00:00,2.59 kb/s,10.5 kb/s,38.0 Mb/s,41.8 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-06 05:20:00,2.58 kb/s,10.7 kb/s,56.9 Mb/s,55.9 Mb/s,163 Mb/s,57.3 Mb/s
