"Time","sum:gptneo_03e4b61/gateway1"
2026-01-05 23:20:00,41.8 MB
2026-01-05 23:40:00,42.2 MB
2026-01-06 00:00:00,42.6 MB
2026-01-06 00:20:00,43.0 MB
2026-01-06 00:40:00,43.6 MB
2026-01-06 01:00:00,44.0 MB
2026-01-06 01:20:00,44.4 MB
2026-01-06 01:40:00,44.8 MB
2026-01-06 02:00:00,45.1 MB
2026-01-06 02:20:00,45.5 MB
2026-01-06 02:40:00,45.9 MB
2026-01-06 03:00:00,46.3 MB
2026-01-06 03:20:00,46.7 MB
2026-01-06 03:40:00,47.1 MB
2026-01-06 04:00:00,47.5 MB
2026-01-06 04:20:00,47.9 MB
2026-01-06 04:40:00,48.2 MB
2026-01-06 05:00:00,48.6 MB
2026-01-06 05:20:00,49.0 MB
2026-01-06 05:40:00,49.4 MB
2026-01-06 06:00:00,49.8 MB
2026-01-06 06:20:00,50.2 MB
2026-01-06 06:40:00,50.6 MB
2026-01-06 07:00:00,51.0 MB
2026-01-06 07:20:00,51.4 MB
2026-01-06 07:40:00,51.7 MB
2026-01-06 08:00:00,52.1 MB
2026-01-06 08:20:00,52.5 MB
2026-01-06 08:40:00,52.9 MB
2026-01-06 09:00:00,53.3 MB
2026-01-06 09:20:00,53.7 MB
2026-01-06 09:40:00,54.1 MB
2026-01-06 10:00:00,54.5 MB
2026-01-06 10:20:00,54.9 MB
2026-01-06 10:40:00,55.2 MB
2026-01-06 11:00:00,55.6 MB
2026-01-06 11:20:00,56.0 MB
2026-01-06 11:40:00,56.4 MB
2026-01-06 12:00:00,56.8 MB
2026-01-06 12:20:00,57.2 MB
2026-01-06 12:40:00,57.6 MB
2026-01-06 13:00:00,58.0 MB
2026-01-06 13:20:00,58.3 MB
2026-01-06 13:40:00,58.7 MB
2026-01-06 14:00:00,59.1 MB
2026-01-06 14:20:00,59.5 MB
2026-01-06 14:40:00,59.9 MB
2026-01-06 15:00:00,60.3 MB
2026-01-06 15:20:00,60.7 MB
2026-01-06 15:40:00,61.1 MB
2026-01-06 16:00:00,61.4 MB
2026-01-06 16:20:00,61.8 MB
2026-01-06 16:40:00,62.2 MB
2026-01-06 17:00:00,62.6 MB
2026-01-06 17:20:00,63.0 MB
2026-01-06 17:40:00,63.4 MB
2026-01-06 18:00:00,63.8 MB
2026-01-06 18:20:00,64.2 MB
2026-01-06 18:40:00,64.6 MB
2026-01-06 19:00:00,64.9 MB
2026-01-06 19:20:00,65.3 MB
2026-01-06 19:40:00,65.7 MB
2026-01-06 20:00:00,66.1 MB
2026-01-06 20:20:00,66.5 MB
2026-01-06 20:40:00,66.9 MB
2026-01-06 21:00:00,67.3 MB
2026-01-06 21:20:00,67.7 MB
2026-01-06 21:40:00,68.0 MB
2026-01-06 22:00:00,68.4 MB
2026-01-06 22:20:00,68.8 MB
2026-01-06 22:40:00,69.2 MB
2026-01-06 23:00:00,69.6 MB
2026-01-06 23:20:00,70.0 MB
2026-01-06 23:40:00,70.4 MB
2026-01-07 00:00:00,70.8 MB
2026-01-07 00:20:00,71.2 MB
2026-01-07 00:40:00,71.6 MB
2026-01-07 01:00:00,72.0 MB
2026-01-07 01:20:00,72.4 MB
2026-01-07 01:40:00,72.8 MB
2026-01-07 02:00:00,73.1 MB
2026-01-07 02:20:00,73.5 MB
2026-01-07 02:40:00,73.9 MB
2026-01-07 03:00:00,74.3 MB
2026-01-07 03:20:00,74.7 MB
2026-01-07 03:40:00,75.1 MB
2026-01-07 04:00:00,75.5 MB
2026-01-07 04:20:00,75.8 MB
2026-01-07 04:40:00,76.2 MB
2026-01-07 05:00:00,76.6 MB
2026-01-07 05:20:00,77.0 MB
2026-01-07 05:40:00,77.4 MB
2026-01-07 06:00:00,77.8 MB
2026-01-07 06:20:00,78.1 MB
2026-01-07 06:40:00,78.5 MB
2026-01-07 07:00:00,78.9 MB
2026-01-07 07:20:00,79.3 MB
2026-01-07 07:40:00,79.7 MB
2026-01-07 08:00:00,80.1 MB
2026-01-07 08:20:00,80.5 MB
2026-01-07 08:40:00,80.9 MB
2026-01-07 09:00:00,81.2 MB
2026-01-07 09:20:00,81.6 MB
2026-01-07 09:40:00,82.0 MB
2026-01-07 10:00:00,82.4 MB
2026-01-07 10:20:00,82.8 MB
2026-01-07 10:40:00,83.2 MB
2026-01-07 11:00:00,83.6 MB
2026-01-07 11:20:00,84.0 MB
2026-01-07 11:40:00,84.3 MB
2026-01-07 12:00:00,84.7 MB
2026-01-07 12:20:00,85.1 MB
2026-01-07 12:40:00,85.5 MB
2026-01-07 13:00:00,85.9 MB
2026-01-07 13:20:00,86.3 MB
2026-01-07 13:40:00,86.7 MB
2026-01-07 14:00:00,87.1 MB
2026-01-07 14:20:00,87.5 MB
2026-01-07 14:40:00,87.8 MB
2026-01-07 15:00:00,88.2 MB
2026-01-07 15:20:00,88.6 MB
2026-01-07 15:40:00,89.0 MB
2026-01-07 16:00:00,89.4 MB
2026-01-07 16:20:00,89.8 MB
2026-01-07 16:40:00,90.2 MB
2026-01-07 17:00:00,90.6 MB
2026-01-07 17:20:00,91.0 MB
2026-01-07 17:40:00,91.3 MB
2026-01-07 18:00:00,91.7 MB
2026-01-07 18:20:00,92.1 MB
2026-01-07 18:40:00,92.5 MB
2026-01-07 19:00:00,92.9 MB
2026-01-07 19:20:00,93.3 MB
2026-01-07 19:40:00,93.7 MB
2026-01-07 20:00:00,94.1 MB
2026-01-07 20:20:00,94.4 MB
2026-01-07 20:40:00,94.8 MB
2026-01-07 21:00:00,95.2 MB
2026-01-07 21:20:00,95.6 MB
2026-01-07 21:40:00,96.0 MB
2026-01-07 22:00:00,96.4 MB
2026-01-07 22:20:00,96.8 MB
