"Time","sum:gptneo_03e4b61/gateway1","sum:gptneo_03e4b61/scheduler","sum:gptneo_03e4b61/worker1","sum:gptneo_03e4b61/worker2","sum:gptneo_03e4b61/worker3","sum:gptneo_03e4b61/worker4"
2026-01-05 23:20:00,41.8 MB,1.25 MB,5.70 GB,5.70 GB,6.89 TB,5.22 GB
2026-01-05 23:40:00,42.2 MB,3.60 MB,22.7 GB,22.7 GB,6.94 TB,21.4 GB
2026-01-06 00:00:00,42.6 MB,825 kB,34.1 GB,25.6 MB,6.98 TB,33.8 GB
2026-01-06 00:20:00,43.0 MB,902 kB,18.9 kB,5.70 GB,7.00 TB,41.2 GB
2026-01-06 00:40:00,43.6 MB,1.99 MB,5.73 GB,5.93 GB,7.02 TB,5.61 GB
2026-01-06 01:00:00,44.0 MB,3.53 MB,11.4 GB,11.9 GB,7.03 TB,11.5 GB
2026-01-06 01:20:00,44.4 MB,4.94 MB,17.2 GB,17.8 GB,7.05 TB,17.3 GB
2026-01-06 01:40:00,44.8 MB,6.46 MB,22.9 GB,23.7 GB,7.07 TB,23.1 GB
2026-01-06 02:00:00,45.1 MB,8.00 MB,28.6 GB,29.7 GB,7.08 TB,28.8 GB
2026-01-06 02:20:00,45.5 MB,9.59 MB,34.3 GB,35.6 GB,7.10 TB,34.6 GB
2026-01-06 02:40:00,45.9 MB,11.1 MB,42.8 GB,44.3 GB,7.12 TB,42.4 GB
2026-01-06 03:00:00,46.3 MB,12.6 MB,51.4 GB,53.1 GB,7.15 TB,50.5 GB
2026-01-06 03:20:00,46.7 MB,14.4 MB,57.1 GB,59.0 GB,7.17 TB,57.6 GB
2026-01-06 03:40:00,47.1 MB,15.9 MB,62.8 GB,64.9 GB,7.19 TB,63.3 GB
2026-01-06 04:00:00,47.5 MB,17.3 MB,68.5 GB,70.8 GB,7.20 TB,69.1 GB
2026-01-06 04:20:00,47.9 MB,18.9 MB,74.2 GB,76.8 GB,7.22 TB,74.9 GB
2026-01-06 04:40:00,48.2 MB,20.3 MB,79.9 GB,82.7 GB,7.24 TB,80.6 GB
2026-01-06 05:00:00,48.6 MB,21.9 MB,85.6 GB,89.0 GB,7.25 TB,86.4 GB
2026-01-06 05:20:00,49.0 MB,23.5 MB,94.2 GB,97.4 GB,7.28 TB,95.0 GB
2026-01-06 05:40:00,49.4 MB,25.1 MB,103 GB,106 GB,7.30 TB,103 GB
2026-01-06 06:00:00,49.8 MB,27.0 MB,108 GB,112 GB,7.32 TB,109 GB
2026-01-06 06:20:00,50.2 MB,28.4 MB,114 GB,118 GB,7.34 TB,115 GB
2026-01-06 06:40:00,50.6 MB,30.0 MB,120 GB,124 GB,7.36 TB,121 GB
2026-01-06 07:00:00,51.0 MB,31.6 MB,126 GB,130 GB,7.37 TB,127 GB
2026-01-06 07:20:00,51.4 MB,33.1 MB,131 GB,136 GB,7.39 TB,132 GB
2026-01-06 07:40:00,51.7 MB,34.6 MB,140 GB,143 GB,7.41 TB,140 GB
2026-01-06 08:00:00,52.1 MB,36.2 MB,146 GB,150 GB,7.43 TB,146 GB
2026-01-06 08:20:00,52.5 MB,37.8 MB,151 GB,157 GB,7.45 TB,153 GB
2026-01-06 08:40:00,52.9 MB,39.4 MB,160 GB,165 GB,7.47 TB,160 GB
2026-01-06 09:00:00,53.3 MB,41.2 MB,165 GB,171 GB,7.49 TB,167 GB
2026-01-06 09:20:00,53.7 MB,42.9 MB,171 GB,177 GB,7.51 TB,173 GB
2026-01-06 09:40:00,54.1 MB,44.5 MB,177 GB,183 GB,7.53 TB,178 GB
2026-01-06 10:00:00,54.5 MB,45.9 MB,183 GB,189 GB,7.54 TB,184 GB
2026-01-06 10:20:00,54.9 MB,47.4 MB,188 GB,195 GB,7.56 TB,190 GB
2026-01-06 10:40:00,55.2 MB,49.0 MB,194 GB,200 GB,7.58 TB,196 GB
2026-01-06 11:00:00,55.6 MB,50.6 MB,200 GB,206 GB,7.59 TB,202 GB
2026-01-06 11:20:00,56.0 MB,52.2 MB,205 GB,212 GB,7.61 TB,207 GB
2026-01-06 11:40:00,56.4 MB,53.7 MB,214 GB,221 GB,7.64 TB,216 GB
2026-01-06 12:00:00,56.8 MB,55.3 MB,222 GB,230 GB,7.66 TB,222 GB
2026-01-06 12:20:00,57.2 MB,56.9 MB,228 GB,236 GB,7.68 TB,229 GB
2026-01-06 12:40:00,57.6 MB,58.5 MB,234 GB,242 GB,7.70 TB,235 GB
2026-01-06 13:00:00,58.0 MB,60.1 MB,240 GB,247 GB,7.71 TB,242 GB
2026-01-06 13:20:00,58.3 MB,61.8 MB,245 GB,253 GB,7.73 TB,248 GB
2026-01-06 13:40:00,58.7 MB,63.2 MB,251 GB,259 GB,7.75 TB,253 GB
2026-01-06 14:00:00,59.1 MB,64.6 MB,257 GB,265 GB,7.76 TB,259 GB
2026-01-06 14:20:00,59.5 MB,66.3 MB,263 GB,271 GB,7.78 TB,265 GB
2026-01-06 14:40:00,59.9 MB,67.7 MB,268 GB,277 GB,7.80 TB,271 GB
2026-01-06 15:00:00,60.3 MB,69.4 MB,274 GB,283 GB,7.82 TB,276 GB
2026-01-06 15:20:00,60.7 MB,70.8 MB,282 GB,290 GB,7.83 TB,283 GB
2026-01-06 15:40:00,61.1 MB,72.6 MB,288 GB,298 GB,7.85 TB,289 GB
2026-01-06 16:00:00,61.4 MB,74.1 MB,294 GB,303 GB,7.87 TB,296 GB
2026-01-06 16:20:00,61.8 MB,75.7 MB,302 GB,312 GB,7.90 TB,304 GB
2026-01-06 16:40:00,62.2 MB,77.3 MB,308 GB,318 GB,7.92 TB,310 GB
2026-01-06 17:00:00,62.6 MB,79.0 MB,314 GB,324 GB,7.93 TB,317 GB
2026-01-06 17:20:00,63.0 MB,80.5 MB,320 GB,330 GB,7.95 TB,322 GB
2026-01-06 17:40:00,63.4 MB,82.1 MB,325 GB,336 GB,7.97 TB,328 GB
