"Time","avg"
2026-01-05 23:20:00,35.4 ms
2026-01-05 23:40:00,35.6 ms
2026-01-06 00:00:00,36.0 ms
2026-01-06 00:20:00,36.1 ms
2026-01-06 00:40:00,35.5 ms
2026-01-06 01:00:00,35.5 ms
2026-01-06 01:20:00,35.6 ms
2026-01-06 01:40:00,35.5 ms
2026-01-06 02:00:00,35.6 ms
2026-01-06 02:20:00,35.5 ms
2026-01-06 02:40:00,35.7 ms
2026-01-06 03:00:00,35.7 ms
2026-01-06 03:20:00,35.5 ms
2026-01-06 03:40:00,35.5 ms
2026-01-06 04:00:00,35.5 ms
2026-01-06 04:20:00,35.6 ms
2026-01-06 04:40:00,35.6 ms
2026-01-06 05:00:00,35.7 ms
2026-01-06 05:20:00,110 ms
2026-01-06 05:40:00,35.9 ms
2026-01-06 06:00:00,35.6 ms
2026-01-06 06:20:00,35.6 ms
2026-01-06 06:40:00,35.6 ms
2026-01-06 07:00:00,35.6 ms
2026-01-06 07:20:00,35.6 ms
2026-01-06 07:40:00,35.6 ms
2026-01-06 08:00:00,84.1 ms
2026-01-06 08:20:00,35.6 ms
2026-01-06 08:40:00,35.6 ms
2026-01-06 09:00:00,35.6 ms
2026-01-06 09:20:00,35.5 ms
2026-01-06 09:40:00,35.6 ms
2026-01-06 10:00:00,35.6 ms
2026-01-06 10:20:00,35.5 ms
2026-01-06 10:40:00,35.5 ms
2026-01-06 11:00:00,35.6 ms
2026-01-06 11:20:00,35.6 ms
2026-01-06 11:40:00,48.3 ms
2026-01-06 12:00:00,37.8 ms
2026-01-06 12:20:00,35.5 ms
2026-01-06 12:40:00,35.6 ms
2026-01-06 13:00:00,35.6 ms
2026-01-06 13:20:00,35.6 ms
2026-01-06 13:40:00,35.6 ms
2026-01-06 14:00:00,35.6 ms
2026-01-06 14:20:00,35.6 ms
2026-01-06 14:40:00,35.6 ms
2026-01-06 15:00:00,35.6 ms
2026-01-06 15:20:00,44.4 ms
2026-01-06 15:40:00,35.8 ms
2026-01-06 16:00:00,224 ms
2026-01-06 16:20:00,35.5 ms
2026-01-06 16:40:00,35.6 ms
2026-01-06 17:00:00,35.6 ms
2026-01-06 17:20:00,35.6 ms
2026-01-06 17:40:00,35.6 ms
2026-01-06 18:00:00,35.6 ms
2026-01-06 18:20:00,35.3 ms
2026-01-06 18:40:00,35.4 ms
2026-01-06 19:00:00,35.6 ms
2026-01-06 19:20:00,243 ms
2026-01-06 19:40:00,35.5 ms
2026-01-06 20:00:00,38.2 ms
2026-01-06 20:20:00,35.6 ms
2026-01-06 20:40:00,35.3 ms
2026-01-06 21:00:00,35.6 ms
2026-01-06 21:20:00,35.4 ms
2026-01-06 21:40:00,35.4 ms
2026-01-06 22:00:00,35.4 ms
2026-01-06 22:20:00,35.6 ms
2026-01-06 22:40:00,35.6 ms
2026-01-06 23:00:00,44.9 ms
2026-01-06 23:20:00,46.5 ms
2026-01-06 23:40:00,39.5 ms
2026-01-07 00:00:00,40.2 ms
2026-01-07 00:20:00,39.8 ms
2026-01-07 00:40:00,39.1 ms
2026-01-07 01:00:00,35.5 ms
2026-01-07 01:20:00,35.3 ms
2026-01-07 01:40:00,35.3 ms
2026-01-07 02:00:00,35.6 ms
2026-01-07 02:20:00,35.3 ms
2026-01-07 02:40:00,35.6 ms
2026-01-07 03:00:00,35.6 ms
2026-01-07 03:20:00,35.3 ms
2026-01-07 03:40:00,35.3 ms
2026-01-07 04:00:00,35.4 ms
2026-01-07 04:20:00,35.5 ms
2026-01-07 04:40:00,35.6 ms
2026-01-07 05:00:00,35.3 ms
2026-01-07 05:20:00,35.3 ms
2026-01-07 05:40:00,35.4 ms
2026-01-07 06:00:00,35.3 ms
2026-01-07 06:20:00,35.6 ms
2026-01-07 06:40:00,35.3 ms
2026-01-07 07:00:00,35.6 ms
2026-01-07 07:20:00,35.3 ms
2026-01-07 07:40:00,35.5 ms
2026-01-07 08:00:00,35.3 ms
2026-01-07 08:20:00,35.3 ms
2026-01-07 08:40:00,35.5 ms
2026-01-07 09:00:00,35.6 ms
2026-01-07 09:20:00,35.6 ms
2026-01-07 09:40:00,35.6 ms
2026-01-07 10:00:00,35.6 ms
2026-01-07 10:20:00,35.7 ms
2026-01-07 10:40:00,35.6 ms
2026-01-07 11:00:00,35.6 ms
2026-01-07 11:20:00,35.5 ms
2026-01-07 11:40:00,35.6 ms
2026-01-07 12:00:00,35.2 ms
2026-01-07 12:20:00,35.4 ms
2026-01-07 12:40:00,35.3 ms
2026-01-07 13:00:00,35.4 ms
2026-01-07 13:20:00,35.3 ms
2026-01-07 13:40:00,35.3 ms
2026-01-07 14:00:00,35.3 ms
2026-01-07 14:20:00,35.6 ms
2026-01-07 14:40:00,35.6 ms
2026-01-07 15:00:00,35.3 ms
