"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-08 16:54:00,953,719,1062,1743,1757,1737
2026-01-08 16:55:00,1371,1318,1288,,,
2026-01-08 16:56:00,698,1479,1576,,,
2026-01-08 16:57:00,1581,1634,1612,,,
2026-01-08 16:58:00,1696,1717,1678,,,
2026-01-08 16:59:00,1764,1777,1740,,,
2026-01-08 17:00:00,1786,1801,1763,,,
2026-01-08 17:01:00,1802,1804,1812,,,
2026-01-08 17:02:00,1852,1865,1876,,,
2026-01-08 17:03:00,1881,1833,1877,,,
2026-01-08 17:04:00,1823,1807,1838,,,
2026-01-08 17:05:00,1863,1828,1904,,,
2026-01-08 17:06:00,1867,1896,1876,,,
2026-01-08 17:07:00,1879,1878,1916,,,
2026-01-08 17:08:00,1833,1848,1855,,,
2026-01-08 17:09:00,1856,1864,892,,,
2026-01-08 17:10:00,1902,1902,1896,,,
2026-01-08 17:11:00,1851,1844,1906,,,
2026-01-08 17:12:00,1881,1904,1883,,,
2026-01-08 17:13:00,1881,1904,1883,,,
2026-01-08 17:14:00,1881,1904,1883,,,
2026-01-08 17:15:00,1881,1904,1883,,,
2026-01-08 17:16:00,1881,1904,1883,,,
