"Time","Weighted Average (34a572c8-da58-490b-a22f-1e40d4f70295)","Weighted Average (40948f99-d5be-4543-a1ee-8212ffbe66ad)","Average  (34a572c8-da58-490b-a22f-1e40d4f70295)","Average  (40948f99-d5be-4543-a1ee-8212ffbe66ad)"
2026-01-08 16:54:00,-0.0189,0.00539,-0.0189,0.00539
2026-01-08 16:55:00,-0.0152,,-0.0152,
2026-01-08 16:56:00,-0.00815,,-0.00815,
2026-01-08 16:57:00,-0.00518,,-0.00518,
2026-01-08 16:58:00,-0.00528,,-0.00528,
2026-01-08 16:59:00,-0.00331,,-0.00331,
2026-01-08 17:00:00,-0.00272,,-0.00272,
2026-01-08 17:01:00,-0.000719,,-0.000719,
2026-01-08 17:02:00,0.000609,,0.000609,
2026-01-08 17:03:00,-0.000497,,-0.000497,
2026-01-08 17:04:00,0.00177,,0.00177,
2026-01-08 17:05:00,0.00594,,0.00594,
2026-01-08 17:06:00,0.00666,,0.00666,
2026-01-08 17:07:00,0.00580,,0.00580,
2026-01-08 17:08:00,0.00733,,0.00733,
2026-01-08 17:09:00,0.00667,,0.00667,
2026-01-08 17:10:00,0.00991,,0.00991,
2026-01-08 17:11:00,0.0142,,0.0142,
2026-01-08 17:12:00,0.0234,,0.0234,
2026-01-08 17:13:00,0.0234,,0.0234,
2026-01-08 17:14:00,0.0234,,0.0234,
2026-01-08 17:15:00,0.0234,,0.0234,
2026-01-08 17:16:00,0.0234,,0.0234,
