"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-08 16:54:00,-0.0211,-0.0173,-0.0183,0.00523,0.00537,0.00557
2026-01-08 16:55:00,-0.0143,-0.0173,-0.0139,,,
2026-01-08 16:56:00,-0.00839,-0.0102,-0.00589,,,
2026-01-08 16:57:00,-0.00422,-0.00618,-0.00513,,,
2026-01-08 16:58:00,-0.00648,-0.00281,-0.00653,,,
2026-01-08 16:59:00,-0.00105,-0.00515,-0.00374,,,
2026-01-08 17:00:00,-0.00360,-0.00149,-0.00308,,,
2026-01-08 17:01:00,-0.000673,-0.00152,0.0000338,,,
2026-01-08 17:02:00,0.000642,0.00129,-0.000102,,,
2026-01-08 17:03:00,-0.00117,0.00116,-0.00149,,,
2026-01-08 17:04:00,0.00207,0.00153,0.00171,,,
2026-01-08 17:05:00,0.000779,0.00850,0.00854,,,
2026-01-08 17:06:00,0.00944,0.00567,0.00486,,,
2026-01-08 17:07:00,0.00486,0.00511,0.00742,,,
2026-01-08 17:08:00,0.00816,0.00517,0.00867,,,
2026-01-08 17:09:00,0.00605,0.00676,0.00719,,,
2026-01-08 17:10:00,0.00902,0.0109,0.00983,,,
2026-01-08 17:11:00,0.0141,0.0156,0.0129,,,
2026-01-08 17:12:00,0.0234,0.0235,0.0233,,,
2026-01-08 17:13:00,0.0234,0.0235,0.0233,,,
2026-01-08 17:14:00,0.0234,0.0235,0.0233,,,
2026-01-08 17:15:00,0.0234,0.0235,0.0233,,,
2026-01-08 17:16:00,0.0234,0.0235,0.0233,,,
