"Time","scheduler","worker2","worker4","worker5","worker6"
2026-01-08 16:54:00,,122 kb/s,70.7 kb/s,41.8 kb/s,33.1 kb/s
2026-01-08 16:55:00,22.1 kb/s,262 kb/s,117 kb/s,92.4 kb/s,85.4 kb/s
2026-01-08 16:56:00,25.1 kb/s,398 kb/s,148 kb/s,139 kb/s,131 kb/s
2026-01-08 16:57:00,30.0 kb/s,417 kb/s,143 kb/s,145 kb/s,146 kb/s
2026-01-08 16:58:00,23.1 kb/s,414 kb/s,143 kb/s,140 kb/s,142 kb/s
2026-01-08 16:59:00,24.1 kb/s,417 kb/s,145 kb/s,143 kb/s,143 kb/s
2026-01-08 17:00:00,24.4 kb/s,420 kb/s,144 kb/s,146 kb/s,145 kb/s
2026-01-08 17:01:00,24.3 kb/s,419 kb/s,143 kb/s,145 kb/s,144 kb/s
2026-01-08 17:02:00,23.6 kb/s,416 kb/s,142 kb/s,143 kb/s,144 kb/s
2026-01-08 17:03:00,23.2 kb/s,411 kb/s,141 kb/s,140 kb/s,141 kb/s
2026-01-08 17:04:00,23.9 kb/s,411 kb/s,142 kb/s,141 kb/s,141 kb/s
2026-01-08 17:05:00,24.0 kb/s,413 kb/s,141 kb/s,141 kb/s,140 kb/s
2026-01-08 17:06:00,23.8 kb/s,410 kb/s,141 kb/s,141 kb/s,141 kb/s
2026-01-08 17:07:00,23.2 kb/s,414 kb/s,141 kb/s,141 kb/s,141 kb/s
2026-01-08 17:08:00,23.0 kb/s,411 kb/s,142 kb/s,141 kb/s,142 kb/s
2026-01-08 17:09:00,23.9 kb/s,414 kb/s,144 kb/s,142 kb/s,141 kb/s
2026-01-08 17:10:00,24.1 kb/s,411 kb/s,142 kb/s,144 kb/s,144 kb/s
2026-01-08 17:11:00,23.8 kb/s,411 kb/s,141 kb/s,141 kb/s,141 kb/s
2026-01-08 17:12:00,23.2 kb/s,411 kb/s,122 kb/s,141 kb/s,141 kb/s
2026-01-08 17:13:00,17.1 kb/s,278 kb/s,77.2 kb/s,98.2 kb/s,105 kb/s
2026-01-08 17:14:00,11.6 kb/s,141 kb/s,31.0 kb/s,53.3 kb/s,59.7 kb/s
2026-01-08 17:15:00,,4.48 kb/s,1.24 kb/s,7.33 kb/s,13.8 kb/s
2026-01-08 17:16:00,,842 b/s,1.17 kb/s,2.11 kb/s,1.40 kb/s
