"Time","worker6 (jan-apple-m4-pro) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker6 (jan-apple-m4-pro) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker6 (jan-apple-m4-pro) -> 12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","worker6 (jan-apple-m4-pro) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker6 (jan-apple-m4-pro) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker4 (leo_m4_pro) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker4 (leo_m4_pro) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker4 (leo_m4_pro) -> 12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","worker4 (leo_m4_pro) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker4 (leo_m4_pro) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker5 (orlando_apple_m3_pro) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker5 (orlando_apple_m3_pro) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker5 (orlando_apple_m3_pro) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker5 (orlando_apple_m3_pro) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker5 (orlando_apple_m3_pro) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","scheduler (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","scheduler (yorizon) -> 12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","scheduler (yorizon) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker2 (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker2 (yorizon) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker2 (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker2 (yorizon) -> 12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","worker2 (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-08 16:54:00,35.3 ms,35.4 ms,26.0 ms,32.0 ms,21.5 ms,22.5 ms,34.5 ms,40.2 ms,47.1 ms,10.2 ms,37.2 ms,35.5 ms,31.2 ms,35.4 ms,25.6 ms,21.8 ms,35.0 ms,37.5 ms,0.122 ms,12.3 ms,57.9 ms,0.115 ms,33.4 ms,35.1 ms,12.5 ms
2026-01-08 16:55:00,34.2 ms,32.5 ms,25.6 ms,34.7 ms,21.9 ms,49.8 ms,38.9 ms,39.7 ms,56.3 ms,9.06 ms,36.7 ms,35.3 ms,28.4 ms,34.4 ms,21.4 ms,56.9 ms,33.3 ms,34.8 ms,0.119 ms,12.7 ms,57.9 ms,0.214 ms,32.4 ms,34.6 ms,12.5 ms
2026-01-08 16:56:00,35.5 ms,33.3 ms,26.2 ms,32.3 ms,22.1 ms,41.7 ms,39.7 ms,36.8 ms,54.1 ms,8.61 ms,36.8 ms,35.4 ms,26.4 ms,37.6 ms,21.6 ms,46.9 ms,34.9 ms,36.1 ms,0.0759 ms,12.3 ms,53.9 ms,0.0698 ms,32.4 ms,34.1 ms,12.5 ms
2026-01-08 16:57:00,36.0 ms,32.7 ms,25.7 ms,33.5 ms,20.6 ms,49.9 ms,34.7 ms,36.2 ms,49.2 ms,8.61 ms,42.3 ms,36.0 ms,29.6 ms,33.4 ms,21.3 ms,31.9 ms,36.2 ms,36.3 ms,0.119 ms,12.3 ms,57.9 ms,0.0941 ms,32.9 ms,33.5 ms,12.4 ms
2026-01-08 16:58:00,36.6 ms,33.4 ms,29.0 ms,31.8 ms,20.8 ms,49.0 ms,35.8 ms,39.1 ms,41.7 ms,8.69 ms,37.7 ms,33.9 ms,26.2 ms,32.7 ms,22.4 ms,54.9 ms,33.7 ms,34.0 ms,0.101 ms,12.3 ms,46.9 ms,0.111 ms,32.7 ms,36.3 ms,12.4 ms
2026-01-08 16:59:00,36.6 ms,33.6 ms,24.7 ms,34.7 ms,22.9 ms,44.9 ms,36.1 ms,37.4 ms,49.9 ms,11.2 ms,37.4 ms,34.3 ms,28.2 ms,32.9 ms,20.6 ms,47.9 ms,34.6 ms,35.3 ms,0.142 ms,12.4 ms,61.9 ms,0.124 ms,32.9 ms,33.8 ms,12.5 ms
2026-01-08 17:00:00,34.7 ms,35.2 ms,26.3 ms,33.6 ms,22.8 ms,52.0 ms,34.3 ms,40.6 ms,58.1 ms,10.7 ms,36.9 ms,34.1 ms,26.6 ms,33.9 ms,21.7 ms,52.9 ms,34.1 ms,35.0 ms,0.110 ms,12.3 ms,56.9 ms,0.120 ms,32.1 ms,35.6 ms,12.4 ms
2026-01-08 17:01:00,36.1 ms,34.2 ms,28.8 ms,32.3 ms,22.5 ms,46.9 ms,34.0 ms,37.4 ms,51.6 ms,9.44 ms,40.9 ms,35.9 ms,28.8 ms,34.1 ms,24.7 ms,49.8 ms,33.9 ms,35.3 ms,0.215 ms,12.3 ms,46.0 ms,0.0629 ms,32.4 ms,33.9 ms,12.5 ms
2026-01-08 17:02:00,36.3 ms,35.7 ms,28.9 ms,31.8 ms,19.9 ms,51.2 ms,33.4 ms,36.2 ms,47.7 ms,10.6 ms,39.6 ms,34.4 ms,27.0 ms,42.4 ms,21.1 ms,50.1 ms,35.4 ms,34.6 ms,0.123 ms,12.3 ms,47.9 ms,0.0885 ms,32.1 ms,35.8 ms,12.4 ms
2026-01-08 17:03:00,33.8 ms,34.6 ms,27.3 ms,32.3 ms,19.4 ms,45.9 ms,35.8 ms,38.4 ms,57.2 ms,10.0 ms,38.2 ms,33.4 ms,25.6 ms,36.1 ms,22.9 ms,53.9 ms,35.9 ms,33.8 ms,0.161 ms,12.4 ms,53.9 ms,0.0631 ms,33.9 ms,35.8 ms,12.5 ms
