"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWMALzU4wuci6PUJ9MGbFWDWUTBHeKLWekFLRMYGhwswi8"
2026-01-08 16:39:00,1762,1786,1798,,,,,,
2026-01-08 16:40:00,1762,1786,1798,,,,899,905,894
2026-01-08 16:41:00,,,,,,,1445,1465,1229
2026-01-08 16:42:00,,,,,,,1688,1635,1646
2026-01-08 16:43:00,,,,,,,1696,1625,1671
2026-01-08 16:44:00,,,,,,,1666,1691,1647
2026-01-08 16:45:00,,,,,,,1650,1700,1672
2026-01-08 16:46:00,,,,,,,1738,1677,1701
2026-01-08 16:47:00,,,,,,,1710,1747,1756
2026-01-08 16:48:00,,,,,,,1714,1724,1715
2026-01-08 16:49:00,,,,,,,1744,1747,1737
2026-01-08 16:50:00,,,,,,,1743,1757,1737
2026-01-08 16:51:00,,,,,,,1743,1757,1737
2026-01-08 16:52:00,,,,,,,1743,1757,1737
2026-01-08 16:53:00,,,,,,,1743,1757,1737
2026-01-08 16:54:00,,,,953,719,1062,1743,1757,1737
