"Time","debug","error","info","warn"
2026-01-08 16:39:30,4.43 K,,517,
2026-01-08 16:40:00,4.41 K,2,517,2
2026-01-08 16:40:30,4.06 K,,503,
2026-01-08 16:41:00,4.17 K,,505,
2026-01-08 16:41:30,4.04 K,,502,
2026-01-08 16:42:00,4.11 K,,500,
2026-01-08 16:42:30,4.12 K,,519,
2026-01-08 16:43:00,4.00 K,,509,
2026-01-08 16:43:30,4.04 K,,506,
2026-01-08 16:44:00,4.26 K,,510,
2026-01-08 16:44:30,4.06 K,,510,
2026-01-08 16:45:00,4.10 K,,508,
2026-01-08 16:45:30,4.02 K,,496,
2026-01-08 16:46:00,4.03 K,,508,
2026-01-08 16:46:30,4.31 K,,505,
2026-01-08 16:47:00,4.11 K,,495,
2026-01-08 16:47:30,4.08 K,,511,
2026-01-08 16:48:00,4.03 K,,516,
2026-01-08 16:48:30,4.16 K,,499,
2026-01-08 16:49:00,4.23 K,,512,
2026-01-08 16:49:30,4.03 K,,518,
2026-01-08 16:50:00,2.44 K,2,373,2
2026-01-08 16:50:30,783,6,240,
2026-01-08 16:51:00,812,8,240,1
2026-01-08 16:51:30,907,3,161,
2026-01-08 16:52:00,788,,,
2026-01-08 16:52:30,1.20 K,,9,
2026-01-08 16:53:00,3.97 K,,363,2
2026-01-08 16:53:30,5.21 K,,569,
2026-01-08 16:54:00,5.32 K,,568,
