"Time","Weighted Average (1e559034-acac-4abe-b963-db4dafb5d587)","Weighted Average (34a572c8-da58-490b-a22f-1e40d4f70295)","Weighted Average (40948f99-d5be-4543-a1ee-8212ffbe66ad)","Average  (1e559034-acac-4abe-b963-db4dafb5d587)","Average  (34a572c8-da58-490b-a22f-1e40d4f70295)","Average  (40948f99-d5be-4543-a1ee-8212ffbe66ad)"
2026-01-08 16:39:00,0.0161,,,0.0159,,
2026-01-08 16:40:00,0.0161,,-0.0187,0.0159,,-0.0188
2026-01-08 16:41:00,,,-0.0108,,,-0.0106
2026-01-08 16:42:00,,,-0.00971,,,-0.00949
2026-01-08 16:43:00,,,-0.00843,,,-0.00923
2026-01-08 16:44:00,,,-0.00623,,,-0.00650
2026-01-08 16:45:00,,,-0.00674,,,-0.00695
2026-01-08 16:46:00,,,-0.00555,,,-0.00562
2026-01-08 16:47:00,,,-0.00318,,,-0.00330
2026-01-08 16:48:00,,,-0.00136,,,-0.00134
2026-01-08 16:49:00,,,0.00229,,,0.00202
2026-01-08 16:50:00,,,0.00539,,,0.00539
2026-01-08 16:51:00,,,0.00539,,,0.00539
2026-01-08 16:52:00,,,0.00539,,,0.00539
2026-01-08 16:53:00,,,0.00539,,,0.00539
2026-01-08 16:54:00,,-0.0189,0.00539,,-0.0189,0.00539
