"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""ppo_d964df25_mac""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""ppo_d964df25_mac""}[4m0s])
)  * 8 "
2026-01-08 16:39:00,76.4 kb/s
2026-01-08 16:40:00,307 kb/s
2026-01-08 16:41:00,554 kb/s
2026-01-08 16:42:00,727 kb/s
2026-01-08 16:43:00,723 kb/s
2026-01-08 16:44:00,720 kb/s
2026-01-08 16:45:00,722 kb/s
2026-01-08 16:46:00,721 kb/s
2026-01-08 16:47:00,719 kb/s
2026-01-08 16:48:00,717 kb/s
2026-01-08 16:49:00,718 kb/s
2026-01-08 16:50:00,717 kb/s
2026-01-08 16:51:00,527 kb/s
2026-01-08 16:52:00,292 kb/s
2026-01-08 16:53:00,69.2 kb/s
2026-01-08 16:54:00,268 kb/s
