"Time","sum:ppo_d964df25_mac/scheduler","sum:ppo_d964df25_mac/worker2","sum:ppo_d964df25_mac/worker4","sum:ppo_d964df25_mac/worker5","sum:ppo_d964df25_mac/worker6"
2026-01-08 16:39:00,2.29 MB,30.1 MB,11.1 MB,10.4 MB,144 kB
2026-01-08 16:40:00,339 kB,32.8 MB,12.1 MB,11.4 MB,1.05 MB
2026-01-08 16:41:00,606 kB,35.3 MB,13.0 MB,12.3 MB,1.93 MB
2026-01-08 16:42:00,765 kB,37.9 MB,13.8 MB,13.2 MB,2.81 MB
2026-01-08 16:43:00,929 kB,40.5 MB,14.8 MB,14.0 MB,3.62 MB
2026-01-08 16:44:00,1.09 MB,43.1 MB,15.7 MB,14.9 MB,4.51 MB
2026-01-08 16:45:00,1.27 MB,45.6 MB,16.5 MB,15.8 MB,5.40 MB
2026-01-08 16:46:00,1.43 MB,48.2 MB,17.4 MB,16.7 MB,6.29 MB
2026-01-08 16:47:00,1.59 MB,50.8 MB,18.3 MB,17.6 MB,7.17 MB
2026-01-08 16:48:00,1.76 MB,53.3 MB,19.2 MB,18.5 MB,8.04 MB
2026-01-08 16:49:00,1.91 MB,55.9 MB,20.1 MB,19.3 MB,8.93 MB
2026-01-08 16:50:00,2.10 MB,58.5 MB,20.8 MB,20.3 MB,9.85 MB
2026-01-08 16:51:00,2.10 MB,59.0 MB,20.8 MB,20.5 MB,10.2 MB
2026-01-08 16:52:00,2.10 MB,59.0 MB,20.8 MB,20.5 MB,10.2 MB
2026-01-08 16:53:00,2.10 MB,59.0 MB,21.2 MB,20.5 MB,10.2 MB
2026-01-08 16:54:00,431 kB,61.8 MB,22.4 MB,21.5 MB,11.0 MB
