"Time","in:ppo_d964df25_mac","out:ppo_d964df25_mac","sum:ppo_d964df25_mac"
2026-01-08 16:39:00,27.1 MB,26.9 MB,54.0 MB
2026-01-08 16:40:00,29.1 MB,28.6 MB,57.6 MB
2026-01-08 16:41:00,31.8 MB,31.4 MB,63.1 MB
2026-01-08 16:42:00,34.5 MB,34.0 MB,68.5 MB
2026-01-08 16:43:00,37.1 MB,36.7 MB,73.8 MB
2026-01-08 16:44:00,39.9 MB,39.4 MB,79.2 MB
2026-01-08 16:45:00,42.5 MB,42.1 MB,84.7 MB
2026-01-08 16:46:00,45.3 MB,44.8 MB,90.0 MB
2026-01-08 16:47:00,47.9 MB,47.5 MB,95.4 MB
2026-01-08 16:48:00,50.6 MB,50.2 MB,101 MB
2026-01-08 16:49:00,53.3 MB,52.9 MB,106 MB
2026-01-08 16:50:00,56.0 MB,55.5 MB,112 MB
2026-01-08 16:51:00,56.6 MB,56.1 MB,113 MB
2026-01-08 16:52:00,56.6 MB,56.1 MB,113 MB
2026-01-08 16:53:00,56.8 MB,56.3 MB,113 MB
2026-01-08 16:54:00,58.9 MB,58.1 MB,117 MB
