"Time","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB"
2026-01-08 14:15:00,179,83.5,96.2
2026-01-08 14:16:00,179,319,312
2026-01-08 14:17:00,179,358,381
2026-01-08 14:18:00,179,581,570
2026-01-08 14:19:00,,749,724
2026-01-08 14:20:00,,868,846
2026-01-08 14:21:00,,895,934
2026-01-08 14:22:00,,974,976
2026-01-08 14:23:00,,1016,993
2026-01-08 14:24:00,,1069,1044
2026-01-08 14:25:00,,1101,1079
2026-01-08 14:26:00,,1136,1114
2026-01-08 14:27:00,,1167,1133
2026-01-08 14:28:00,,1208,1174
2026-01-08 14:29:00,,1221,1180
2026-01-08 14:30:00,,1255,1213
2026-01-08 14:31:00,,1287,1246
2026-01-08 14:32:00,,1318,1257
2026-01-08 14:33:00,,1345,1274
2026-01-08 14:34:00,,1369,1291
2026-01-08 14:35:00,,1391,1306
2026-01-08 14:36:00,,1410,1321
2026-01-08 14:37:00,,1428,1335
2026-01-08 14:38:00,,1444,1350
2026-01-08 14:39:00,,1459,1365
2026-01-08 14:40:00,,1474,1376
2026-01-08 14:41:00,,1488,1363
2026-01-08 14:42:00,,1500,1310
2026-01-08 14:43:00,,1509,1265
2026-01-08 14:44:00,,1520,1218
2026-01-08 14:45:00,,1530,1173
2026-01-08 14:46:00,,1540,1129
2026-01-08 14:47:00,,1549,1092
2026-01-08 14:48:00,,1557,1053
2026-01-08 14:49:00,,1564,1019
2026-01-08 14:50:00,,1574,986
2026-01-08 14:51:00,,1582,954
2026-01-08 14:52:00,,1590,923
2026-01-08 14:53:00,,1597,897
2026-01-08 14:54:00,,1604,869
2026-01-08 14:55:00,,1610,843
2026-01-08 14:56:00,,1617,818
2026-01-08 14:57:00,,1622,794
2026-01-08 14:58:00,,1628,770
2026-01-08 14:59:00,,1634,748
2026-01-08 15:00:00,,1634,748
2026-01-08 15:01:00,,1634,748
2026-01-08 15:02:00,,1634,748
2026-01-08 15:03:00,,1634,748
