"Time","debug","error","info","warn"
2026-01-08 14:15:00,2.36 K,,183,
2026-01-08 14:15:30,2.44 K,,168,
2026-01-08 14:16:00,2.43 K,,194,
2026-01-08 14:16:30,2.19 K,,168,
2026-01-08 14:17:00,2.34 K,,192,
2026-01-08 14:17:30,2.21 K,,169,
2026-01-08 14:18:00,2.36 K,,191,
2026-01-08 14:18:30,2.25 K,,169,
2026-01-08 14:19:00,2.74 K,,193,
2026-01-08 14:19:30,2.15 K,,167,
2026-01-08 14:20:00,2.35 K,,191,
2026-01-08 14:20:30,2.40 K,,166,
2026-01-08 14:21:00,2.35 K,,193,
2026-01-08 14:21:30,2.21 K,,170,
2026-01-08 14:22:00,2.34 K,,191,
2026-01-08 14:22:30,2.20 K,,169,
2026-01-08 14:23:00,2.33 K,,192,
2026-01-08 14:23:30,2.20 K,,167,
2026-01-08 14:24:00,2.73 K,,191,
2026-01-08 14:24:30,2.23 K,,168,
2026-01-08 14:25:00,2.33 K,,194,
2026-01-08 14:25:30,2.42 K,,168,
2026-01-08 14:26:00,2.32 K,,183,
2026-01-08 14:26:30,2.24 K,,177,
2026-01-08 14:27:00,2.33 K,,191,
2026-01-08 14:27:30,2.22 K,,168,
2026-01-08 14:28:00,2.27 K,,177,
2026-01-08 14:28:30,2.33 K,,183,
2026-01-08 14:29:00,2.58 K,,170,
2026-01-08 14:29:30,2.35 K,,193,
2026-01-08 14:30:00,2.21 K,,174,
2026-01-08 14:30:30,2.46 K,,182,1
2026-01-08 14:31:00,2.29 K,,177,
2026-01-08 14:31:30,2.31 K,,184,
2026-01-08 14:32:00,2.24 K,,177,
2026-01-08 14:32:30,2.30 K,,184,
2026-01-08 14:33:00,2.18 K,,169,
2026-01-08 14:33:30,2.40 K,,190,
2026-01-08 14:34:00,2.59 K,,175,
2026-01-08 14:34:30,2.24 K,,184,
2026-01-08 14:35:00,2.19 K,,168,
2026-01-08 14:35:30,2.54 K,,192,
2026-01-08 14:36:00,2.21 K,,172,
2026-01-08 14:36:30,2.27 K,,187,
2026-01-08 14:37:00,2.30 K,,188,
2026-01-08 14:37:30,2.20 K,,171,
2026-01-08 14:38:00,2.32 K,,186,
2026-01-08 14:38:30,2.26 K,,169,1
2026-01-08 14:39:00,2.78 K,,191,
2026-01-08 14:39:30,2.24 K,,176,
2026-01-08 14:40:00,2.32 K,,183,
2026-01-08 14:40:30,2.54 K,,192,
2026-01-08 14:41:00,2.14 K,,167,
2026-01-08 14:41:30,2.32 K,,192,
2026-01-08 14:42:00,2.24 K,,168,
2026-01-08 14:42:30,2.21 K,,175,
2026-01-08 14:43:00,2.32 K,,186,
2026-01-08 14:43:30,2.19 K,,167,
2026-01-08 14:44:00,2.76 K,,193,
2026-01-08 14:44:30,2.23 K,,169,
2026-01-08 14:45:00,2.25 K,,189,
2026-01-08 14:45:30,2.47 K,,181,
2026-01-08 14:46:00,2.25 K,,180,
2026-01-08 14:46:30,2.23 K,,172,
2026-01-08 14:47:00,2.35 K,,188,
2026-01-08 14:47:30,2.17 K,,167,
2026-01-08 14:48:00,2.37 K,,191,
2026-01-08 14:48:30,2.31 K,,172,
2026-01-08 14:49:00,2.69 K,,187,
2026-01-08 14:49:30,2.25 K,,176,
2026-01-08 14:50:00,2.29 K,,185,
2026-01-08 14:50:30,2.51 K,,185,1
2026-01-08 14:51:00,2.19 K,,172,
2026-01-08 14:51:30,2.19 K,,176,
2026-01-08 14:52:00,2.32 K,,183,
2026-01-08 14:52:30,2.22 K,,169,
2026-01-08 14:53:00,2.31 K,,192,
2026-01-08 14:53:30,2.23 K,,168,
2026-01-08 14:54:00,2.75 K,,191,
2026-01-08 14:54:30,2.28 K,,169,
2026-01-08 14:55:00,2.35 K,,193,
2026-01-08 14:55:30,2.39 K,,168,
2026-01-08 14:56:00,2.35 K,,192,
2026-01-08 14:56:30,2.20 K,,169,
2026-01-08 14:57:00,2.28 K,,177,
2026-01-08 14:57:30,2.29 K,,183,
2026-01-08 14:58:00,2.21 K,,169,
2026-01-08 14:58:30,2.42 K,,193,
2026-01-08 14:59:00,2.62 K,,172,
2026-01-08 14:59:30,2.37 K,,193,
2026-01-08 15:00:00,726,2,221,
2026-01-08 15:00:30,733,3,240,
2026-01-08 15:01:00,507,3,194,
2026-01-08 15:01:30,476,,,
2026-01-08 15:02:00,460,,,
2026-01-08 15:02:30,460,,,
2026-01-08 15:03:00,481,,,
