"Time","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB"
2026-01-08 14:15:00,-0.0138,-0.0124,-0.00728
2026-01-08 14:16:00,-0.0138,-0.0205,-0.0192
2026-01-08 14:17:00,-0.0138,-0.0163,-0.0212
2026-01-08 14:18:00,-0.0138,-0.0155,-0.0174
2026-01-08 14:19:00,,-0.0125,-0.0142
2026-01-08 14:20:00,,-0.0101,-0.0127
2026-01-08 14:21:00,,-0.0127,-0.0115
2026-01-08 14:22:00,,-0.00975,-0.00944
2026-01-08 14:23:00,,-0.00625,-0.0102
2026-01-08 14:24:00,,-0.00697,-0.00503
2026-01-08 14:25:00,,-0.0120,-0.00856
2026-01-08 14:26:00,,-0.00592,-0.00550
2026-01-08 14:27:00,,-0.0133,-0.00719
2026-01-08 14:28:00,,-0.00763,-0.00539
2026-01-08 14:29:00,,-0.00472,-0.00431
2026-01-08 14:30:00,,-0.00118,-0.00167
2026-01-08 14:31:00,,-0.00180,-0.000505
2026-01-08 14:32:00,,0.00913,0.00127
2026-01-08 14:33:00,,-0.000456,0.00860
2026-01-08 14:34:00,,0.00694,0.00354
2026-01-08 14:35:00,,0.00395,0.00510
2026-01-08 14:36:00,,0.00847,0.00352
2026-01-08 14:37:00,,-0.00179,0.00424
2026-01-08 14:38:00,,0.00447,0.00215
2026-01-08 14:39:00,,0.00252,0.000136
2026-01-08 14:40:00,,-0.00248,0.00230
2026-01-08 14:41:00,,0.00427,0.00169
2026-01-08 14:42:00,,-0.000175,0.00263
2026-01-08 14:43:00,,0.00474,0.00362
2026-01-08 14:44:00,,0.00557,0.00233
2026-01-08 14:45:00,,0.00578,0.00383
2026-01-08 14:46:00,,0.000404,0.00508
2026-01-08 14:47:00,,0.00609,0.00379
2026-01-08 14:48:00,,0.00614,0.00577
2026-01-08 14:49:00,,0.0113,0.00616
2026-01-08 14:50:00,,0.00438,0.00580
2026-01-08 14:51:00,,0.00898,0.0120
2026-01-08 14:52:00,,0.00941,0.00933
2026-01-08 14:53:00,,0.0104,0.0102
2026-01-08 14:54:00,,0.0103,0.00935
2026-01-08 14:55:00,,0.0139,0.0110
2026-01-08 14:56:00,,0.0117,0.0138
2026-01-08 14:57:00,,0.0145,0.0164
2026-01-08 14:58:00,,0.0175,0.0172
2026-01-08 14:59:00,,0.0226,0.0221
2026-01-08 15:00:00,,0.0226,0.0221
2026-01-08 15:01:00,,0.0226,0.0221
2026-01-08 15:02:00,,0.0226,0.0221
2026-01-08 15:03:00,,0.0226,0.0221
