"Time","gateway1","scheduler","worker1","worker2","worker3"
2026-01-08 14:15:00,2.98 kb/s,8.64 kb/s,38.7 kb/s,51.8 kb/s,15.4 kb/s
2026-01-08 14:16:00,3.78 kb/s,9.10 kb/s,50.4 kb/s,83.8 kb/s,38.2 kb/s
2026-01-08 14:17:00,4.12 kb/s,9.58 kb/s,57.2 kb/s,111 kb/s,53.8 kb/s
2026-01-08 14:18:00,1.53 kb/s,11.2 kb/s,72.2 kb/s,140 kb/s,70.7 kb/s
2026-01-08 14:19:00,732 b/s,10.9 kb/s,73.0 kb/s,145 kb/s,73.2 kb/s
2026-01-08 14:20:00,1.10 kb/s,11.8 kb/s,73.7 kb/s,148 kb/s,73.8 kb/s
2026-01-08 14:21:00,1.05 kb/s,11.8 kb/s,74.8 kb/s,150 kb/s,73.7 kb/s
2026-01-08 14:22:00,1.05 kb/s,11.8 kb/s,73.7 kb/s,146 kb/s,73.7 kb/s
2026-01-08 14:23:00,273 b/s,10.9 kb/s,71.8 kb/s,144 kb/s,73.1 kb/s
2026-01-08 14:24:00,273 b/s,10.9 kb/s,72.8 kb/s,145 kb/s,72.9 kb/s
2026-01-08 14:25:00,1.05 kb/s,11.8 kb/s,73.6 kb/s,147 kb/s,73.6 kb/s
2026-01-08 14:26:00,1.05 kb/s,11.8 kb/s,73.6 kb/s,147 kb/s,73.7 kb/s
2026-01-08 14:27:00,1.05 kb/s,11.8 kb/s,72.5 kb/s,145 kb/s,73.8 kb/s
2026-01-08 14:28:00,320 b/s,10.8 kb/s,71.6 kb/s,145 kb/s,73.1 kb/s
2026-01-08 14:29:00,320 b/s,10.8 kb/s,71.7 kb/s,146 kb/s,73.1 kb/s
2026-01-08 14:30:00,1.10 kb/s,11.7 kb/s,72.5 kb/s,147 kb/s,72.7 kb/s
2026-01-08 14:31:00,1.05 kb/s,11.7 kb/s,73.5 kb/s,147 kb/s,73.6 kb/s
2026-01-08 14:32:00,1.10 kb/s,11.7 kb/s,74.6 kb/s,147 kb/s,73.7 kb/s
2026-01-08 14:33:00,320 b/s,10.8 kb/s,72.7 kb/s,146 kb/s,73.0 kb/s
2026-01-08 14:34:00,320 b/s,10.8 kb/s,71.7 kb/s,146 kb/s,73.1 kb/s
2026-01-08 14:35:00,1.05 kb/s,11.8 kb/s,72.5 kb/s,147 kb/s,72.6 kb/s
2026-01-08 14:36:00,1.05 kb/s,11.8 kb/s,73.6 kb/s,147 kb/s,73.6 kb/s
2026-01-08 14:37:00,1.05 kb/s,11.9 kb/s,75.8 kb/s,147 kb/s,73.6 kb/s
2026-01-08 14:38:00,273 b/s,11.0 kb/s,74.9 kb/s,151 kb/s,73.9 kb/s
2026-01-08 14:39:00,273 b/s,11.0 kb/s,75.0 kb/s,148 kb/s,73.9 kb/s
2026-01-08 14:40:00,1.15 kb/s,12.0 kb/s,73.7 kb/s,151 kb/s,73.7 kb/s
2026-01-08 14:41:00,1.15 kb/s,12.0 kb/s,73.8 kb/s,147 kb/s,73.8 kb/s
2026-01-08 14:42:00,1.19 kb/s,12.0 kb/s,73.7 kb/s,149 kb/s,73.7 kb/s
2026-01-08 14:43:00,320 b/s,10.8 kb/s,72.8 kb/s,146 kb/s,73.0 kb/s
2026-01-08 14:44:00,320 b/s,10.7 kb/s,72.8 kb/s,146 kb/s,73.0 kb/s
2026-01-08 14:45:00,1.05 kb/s,11.7 kb/s,73.7 kb/s,145 kb/s,73.8 kb/s
2026-01-08 14:46:00,1.05 kb/s,11.8 kb/s,73.6 kb/s,147 kb/s,73.7 kb/s
2026-01-08 14:47:00,1.05 kb/s,11.8 kb/s,73.7 kb/s,147 kb/s,73.6 kb/s
2026-01-08 14:48:00,320 b/s,11.0 kb/s,72.8 kb/s,148 kb/s,72.9 kb/s
2026-01-08 14:49:00,320 b/s,11.0 kb/s,72.9 kb/s,146 kb/s,73.0 kb/s
2026-01-08 14:50:00,1.10 kb/s,12.0 kb/s,73.6 kb/s,147 kb/s,73.8 kb/s
2026-01-08 14:51:00,1.10 kb/s,11.8 kb/s,73.6 kb/s,147 kb/s,73.7 kb/s
2026-01-08 14:52:00,1.10 kb/s,11.8 kb/s,73.5 kb/s,147 kb/s,73.6 kb/s
2026-01-08 14:53:00,367 b/s,10.7 kb/s,72.7 kb/s,145 kb/s,72.9 kb/s
2026-01-08 14:54:00,320 b/s,10.7 kb/s,72.7 kb/s,144 kb/s,72.9 kb/s
2026-01-08 14:55:00,1.10 kb/s,11.8 kb/s,73.8 kb/s,145 kb/s,73.9 kb/s
2026-01-08 14:56:00,1.05 kb/s,11.9 kb/s,73.7 kb/s,144 kb/s,73.7 kb/s
2026-01-08 14:57:00,1.05 kb/s,11.9 kb/s,72.7 kb/s,145 kb/s,73.8 kb/s
2026-01-08 14:58:00,273 b/s,10.9 kb/s,70.7 kb/s,144 kb/s,73.0 kb/s
2026-01-08 14:59:00,273 b/s,11.0 kb/s,70.8 kb/s,146 kb/s,72.0 kb/s
2026-01-08 15:00:00,1.13 kb/s,9.17 kb/s,70.5 kb/s,147 kb/s,71.6 kb/s
2026-01-08 15:01:00,1.13 kb/s,6.47 kb/s,47.4 kb/s,98.6 kb/s,47.3 kb/s
2026-01-08 15:02:00,1.13 kb/s,,23.1 kb/s,50.0 kb/s,24.2 kb/s
2026-01-08 15:03:00,245 b/s,,256 b/s,487 b/s,345 b/s
