"Time","4ac10afa-ccf6-4443-8357-83be3878d92b","81ced93a-3e4c-4c61-bd47-3e7db12ffa8a"
2026-01-08 14:15:00,,4.78 s
2026-01-08 14:16:00,,4.90 s
2026-01-08 14:17:00,,4.76 s
2026-01-08 14:18:00,,4.84 s
2026-01-08 14:19:00,,4.76 s
2026-01-08 14:20:00,,4.74 s
2026-01-08 14:21:00,,4.85 s
2026-01-08 14:22:00,,4.74 s
2026-01-08 14:23:00,,4.75 s
2026-01-08 14:24:00,,4.87 s
2026-01-08 14:25:00,,4.96 s
2026-01-08 14:26:00,,4.76 s
2026-01-08 14:27:00,,4.90 s
2026-01-08 14:28:00,,4.94 s
2026-01-08 14:29:00,,4.85 s
2026-01-08 14:30:00,,4.82 s
2026-01-08 14:31:00,,4.85 s
2026-01-08 14:32:00,,4.90 s
2026-01-08 14:33:00,,4.94 s
2026-01-08 14:34:00,,4.82 s
2026-01-08 14:35:00,,4.76 s
2026-01-08 14:36:00,,4.75 s
2026-01-08 14:37:00,,4.87 s
2026-01-08 14:38:00,,4.79 s
2026-01-08 14:39:00,,4.85 s
2026-01-08 14:40:00,,4.79 s
2026-01-08 14:41:00,,4.90 s
2026-01-08 14:42:00,,4.89 s
2026-01-08 14:43:00,,4.87 s
2026-01-08 14:44:00,,4.91 s
2026-01-08 14:45:00,,4.85 s
2026-01-08 14:46:00,,4.85 s
2026-01-08 14:47:00,,4.89 s
2026-01-08 14:48:00,,4.88 s
2026-01-08 14:49:00,,4.85 s
2026-01-08 14:50:00,,4.86 s
2026-01-08 14:51:00,,4.90 s
2026-01-08 14:52:00,,4.84 s
2026-01-08 14:53:00,,4.79 s
2026-01-08 14:54:00,,4.82 s
2026-01-08 14:55:00,,4.93 s
2026-01-08 14:56:00,,4.89 s
2026-01-08 14:57:00,,4.93 s
2026-01-08 14:58:00,,4.96 s
2026-01-08 14:59:00,,5.03 s
2026-01-08 15:00:00,,5.03 s
2026-01-08 15:01:00,,5.03 s
2026-01-08 15:02:00,,5.03 s
2026-01-08 15:03:00,,5.03 s
