"Time","avg"
2026-01-08 14:15:00,8.41 ms
2026-01-08 14:16:00,8.43 ms
2026-01-08 14:17:00,8.43 ms
2026-01-08 14:18:00,8.42 ms
2026-01-08 14:19:00,8.45 ms
2026-01-08 14:20:00,8.39 ms
2026-01-08 14:21:00,8.49 ms
2026-01-08 14:22:00,8.47 ms
2026-01-08 14:23:00,8.43 ms
2026-01-08 14:24:00,8.43 ms
2026-01-08 14:25:00,8.46 ms
2026-01-08 14:26:00,8.44 ms
2026-01-08 14:27:00,8.43 ms
2026-01-08 14:28:00,8.42 ms
2026-01-08 14:29:00,8.44 ms
2026-01-08 14:30:00,8.41 ms
2026-01-08 14:31:00,8.37 ms
2026-01-08 14:32:00,8.42 ms
2026-01-08 14:33:00,8.42 ms
2026-01-08 14:34:00,8.38 ms
2026-01-08 14:35:00,8.38 ms
2026-01-08 14:36:00,8.42 ms
2026-01-08 14:37:00,8.39 ms
2026-01-08 14:38:00,8.38 ms
2026-01-08 14:39:00,8.40 ms
2026-01-08 14:40:00,8.43 ms
2026-01-08 14:41:00,8.49 ms
2026-01-08 14:42:00,8.56 ms
2026-01-08 14:43:00,8.41 ms
2026-01-08 14:44:00,8.40 ms
2026-01-08 14:45:00,8.41 ms
2026-01-08 14:46:00,8.46 ms
2026-01-08 14:47:00,8.39 ms
2026-01-08 14:48:00,8.40 ms
2026-01-08 14:49:00,8.42 ms
2026-01-08 14:50:00,8.45 ms
2026-01-08 14:51:00,8.48 ms
2026-01-08 14:52:00,8.47 ms
2026-01-08 14:53:00,8.43 ms
2026-01-08 14:54:00,8.44 ms
2026-01-08 14:55:00,8.44 ms
2026-01-08 14:56:00,8.46 ms
2026-01-08 14:57:00,8.50 ms
2026-01-08 14:58:00,8.47 ms
2026-01-08 14:59:00,8.49 ms
2026-01-08 15:00:00,8.45 ms
2026-01-08 15:01:00,8.61 ms
2026-01-08 15:02:00,8.63 ms
2026-01-08 15:03:00,8.63 ms
