"Time","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","gateway1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (hetzner) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (hetzner) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (hetzner) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","worker3 (hetzner) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker2 (yorizon) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker2 (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker2 (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker2 (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-08 14:15:00,12.4 ms,0.901 ms,6.06 ms,12.3 ms,11.8 ms,6.07 ms,11.9 ms,1.09 ms,11.2 ms,6.25 ms,11.2 ms,6.22 ms,12.0 ms,11.2 ms,0.0755 ms,12.1 ms,0.0657 ms,11.8 ms,11.2 ms,12.3 ms
2026-01-08 14:16:00,12.2 ms,0.885 ms,6.40 ms,12.5 ms,11.8 ms,5.91 ms,12.0 ms,0.942 ms,11.1 ms,5.92 ms,11.6 ms,6.20 ms,11.9 ms,11.2 ms,0.109 ms,12.1 ms,0.0852 ms,11.8 ms,11.5 ms,12.4 ms
2026-01-08 14:17:00,12.1 ms,0.991 ms,6.51 ms,12.3 ms,11.8 ms,6.05 ms,12.0 ms,1.07 ms,11.1 ms,6.05 ms,11.2 ms,6.08 ms,12.0 ms,11.6 ms,0.120 ms,12.1 ms,0.0763 ms,11.8 ms,11.2 ms,12.4 ms
2026-01-08 14:18:00,12.1 ms,0.964 ms,6.10 ms,12.3 ms,11.8 ms,5.90 ms,12.0 ms,1.13 ms,11.2 ms,5.99 ms,11.2 ms,6.34 ms,11.9 ms,11.6 ms,0.102 ms,12.3 ms,0.103 ms,11.8 ms,11.2 ms,12.3 ms
2026-01-08 14:19:00,12.1 ms,0.838 ms,6.45 ms,12.3 ms,11.8 ms,6.00 ms,12.1 ms,0.992 ms,11.1 ms,6.03 ms,11.7 ms,6.03 ms,12.0 ms,11.1 ms,0.112 ms,12.1 ms,0.153 ms,11.8 ms,11.7 ms,12.3 ms
2026-01-08 14:20:00,12.2 ms,1.07 ms,6.00 ms,12.3 ms,11.8 ms,6.01 ms,12.0 ms,1.12 ms,11.1 ms,6.10 ms,11.1 ms,6.06 ms,11.9 ms,11.3 ms,0.134 ms,12.1 ms,0.0736 ms,11.8 ms,11.3 ms,12.4 ms
2026-01-08 14:21:00,12.2 ms,0.893 ms,6.57 ms,12.3 ms,11.8 ms,5.85 ms,12.1 ms,1.06 ms,11.2 ms,5.92 ms,12.0 ms,6.17 ms,11.9 ms,11.2 ms,0.113 ms,12.2 ms,0.333 ms,11.8 ms,12.0 ms,12.4 ms
2026-01-08 14:22:00,12.1 ms,0.907 ms,6.56 ms,12.4 ms,11.8 ms,5.96 ms,12.1 ms,1.06 ms,11.2 ms,5.96 ms,11.6 ms,6.03 ms,11.9 ms,11.2 ms,0.134 ms,12.2 ms,0.0855 ms,12.4 ms,11.6 ms,12.3 ms
2026-01-08 14:23:00,12.1 ms,0.884 ms,6.53 ms,12.3 ms,11.8 ms,5.91 ms,12.1 ms,1.14 ms,11.1 ms,5.92 ms,11.1 ms,6.07 ms,12.0 ms,11.8 ms,0.0744 ms,12.1 ms,0.133 ms,11.8 ms,11.2 ms,12.3 ms
2026-01-08 14:24:00,12.2 ms,0.898 ms,6.31 ms,12.4 ms,11.8 ms,6.02 ms,12.0 ms,1.12 ms,11.4 ms,6.11 ms,11.2 ms,6.07 ms,12.0 ms,11.3 ms,0.0693 ms,12.2 ms,0.0609 ms,12.1 ms,11.2 ms,12.3 ms
