"Time","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB"
2026-01-08 15:31:00,123,227
2026-01-08 15:32:00,730,1014
2026-01-08 15:33:00,2602,2398
2026-01-08 15:34:00,2681,2877
2026-01-08 15:35:00,2821,2545
2026-01-08 15:36:00,2869,2769
2026-01-08 15:37:00,2779,3020
2026-01-08 15:38:00,3470,3914
2026-01-08 15:39:00,3489,4077
2026-01-08 15:40:00,3401,4018
2026-01-08 15:41:00,3104,4293
2026-01-08 15:42:00,4361,4668
2026-01-08 15:43:00,3602,4131
2026-01-08 15:44:00,3739,4812
2026-01-08 15:45:00,3986,4848
2026-01-08 15:46:00,4557,4978
2026-01-08 15:47:00,4255,4945
2026-01-08 15:48:00,4856,4947
2026-01-08 15:49:00,4846,4847
2026-01-08 15:50:00,4946,5032
2026-01-08 15:51:00,4923,4836
2026-01-08 15:52:00,4779,4906
2026-01-08 15:53:00,4895,4988
2026-01-08 15:54:00,5047,4852
2026-01-08 15:55:00,4937,5051
2026-01-08 15:56:00,5112,4908
2026-01-08 15:57:00,4777,4990
2026-01-08 15:58:00,4613,4916
2026-01-08 15:59:00,4820,4812
2026-01-08 16:00:00,4999,5236
2026-01-08 16:01:00,5155,5254
2026-01-08 16:02:00,4968,5124
2026-01-08 16:03:00,4964,4981
2026-01-08 16:04:00,5075,5094
2026-01-08 16:05:00,4914,5024
2026-01-08 16:06:00,4945,5085
2026-01-08 16:07:00,4930,4999
2026-01-08 16:08:00,4950,5083
2026-01-08 16:09:00,4931,5017
2026-01-08 16:10:00,5061,5248
2026-01-08 16:11:00,5093,5151
2026-01-08 16:12:00,5162,5325
2026-01-08 16:13:00,5199,5171
2026-01-08 16:14:00,5204,5199
2026-01-08 16:15:00,5070,5023
2026-01-08 16:16:00,5070,5023
2026-01-08 16:17:00,5070,5023
2026-01-08 16:18:00,5070,5023
2026-01-08 16:19:00,5070,5023
