"Time","debug","info","warn"
2026-01-08 15:31:00,2.40 K,194,
2026-01-08 15:31:30,2.28 K,168,
2026-01-08 15:32:00,2.33 K,192,
2026-01-08 15:32:30,2.19 K,169,
2026-01-08 15:33:00,2.36 K,193,
2026-01-08 15:33:30,2.32 K,169,
2026-01-08 15:34:00,2.49 K,193,
2026-01-08 15:34:30,2.22 K,167,
2026-01-08 15:35:00,2.59 K,193,
2026-01-08 15:35:30,2.48 K,168,1
2026-01-08 15:36:00,2.32 K,192,
2026-01-08 15:36:30,2.20 K,169,
2026-01-08 15:37:00,2.40 K,192,
2026-01-08 15:37:30,2.18 K,168,
2026-01-08 15:38:00,2.45 K,193,
2026-01-08 15:38:30,2.18 K,167,
2026-01-08 15:39:00,2.45 K,193,
2026-01-08 15:39:30,2.21 K,169,
2026-01-08 15:40:00,2.59 K,192,
2026-01-08 15:40:30,2.44 K,169,
2026-01-08 15:41:00,2.30 K,191,
2026-01-08 15:41:30,2.21 K,177,
2026-01-08 15:42:00,2.27 K,183,
2026-01-08 15:42:30,2.27 K,191,
2026-01-08 15:43:00,2.27 K,170,
2026-01-08 15:43:30,2.38 K,189,
2026-01-08 15:44:00,2.34 K,168,
2026-01-08 15:44:30,2.34 K,193,
2026-01-08 15:45:00,2.51 K,177,
2026-01-08 15:45:30,2.53 K,183,
2026-01-08 15:46:00,2.27 K,183,
2026-01-08 15:46:30,2.26 K,177,
2026-01-08 15:47:00,2.34 K,193,
2026-01-08 15:47:30,2.21 K,169,
2026-01-08 15:48:00,2.39 K,191,
2026-01-08 15:48:30,2.25 K,169,
2026-01-08 15:49:00,2.46 K,193,
2026-01-08 15:49:30,2.23 K,169,
2026-01-08 15:50:00,2.59 K,192,
2026-01-08 15:50:30,2.45 K,168,
2026-01-08 15:51:00,2.34 K,193,
2026-01-08 15:51:30,2.19 K,167,
2026-01-08 15:52:00,2.34 K,193,
2026-01-08 15:52:30,2.16 K,169,
2026-01-08 15:53:00,2.38 K,192,
2026-01-08 15:53:30,2.17 K,169,
2026-01-08 15:54:00,2.43 K,187,
2026-01-08 15:54:30,2.26 K,175,
2026-01-08 15:55:00,2.56 K,192,
2026-01-08 15:55:30,2.29 K,167,
2026-01-08 15:56:00,2.46 K,192,
2026-01-08 15:56:30,2.17 K,168,
2026-01-08 15:57:00,2.33 K,193,
2026-01-08 15:57:30,2.18 K,168,
2026-01-08 15:58:00,2.38 K,191,
2026-01-08 15:58:30,2.17 K,172,
2026-01-08 15:59:00,2.33 K,187,
2026-01-08 15:59:30,2.26 K,184,
2026-01-08 16:00:00,2.49 K,178,
2026-01-08 16:00:30,2.40 K,182,
2026-01-08 16:01:00,2.35 K,177,
2026-01-08 16:01:30,2.30 K,183,
2026-01-08 16:02:00,2.28 K,179,
2026-01-08 16:02:30,2.26 K,182,
2026-01-08 16:03:00,2.28 K,176,
2026-01-08 16:03:30,2.24 K,170,
2026-01-08 16:04:00,2.44 K,193,
2026-01-08 16:04:30,2.20 K,168,
2026-01-08 16:05:00,2.61 K,193,
2026-01-08 16:05:30,2.29 K,168,1
2026-01-08 16:06:00,2.44 K,191,
2026-01-08 16:06:30,2.31 K,191,
2026-01-08 16:07:00,2.26 K,171,
2026-01-08 16:07:30,2.30 K,184,
2026-01-08 16:08:00,2.28 K,178,
2026-01-08 16:08:30,2.33 K,192,
2026-01-08 16:09:00,2.31 K,168,
2026-01-08 16:09:30,2.30 K,183,
2026-01-08 16:10:00,2.55 K,177,
2026-01-08 16:10:30,2.32 K,178,
2026-01-08 16:11:00,2.40 K,182,
2026-01-08 16:11:30,2.31 K,194,
2026-01-08 16:12:00,2.16 K,167,
2026-01-08 16:12:30,2.37 K,193,
2026-01-08 16:13:00,2.19 K,170,
2026-01-08 16:13:30,2.35 K,192,
2026-01-08 16:14:00,2.29 K,168,
2026-01-08 16:14:30,2.36 K,192,
2026-01-08 16:15:00,2.49 K,169,
2026-01-08 16:15:30,1.24 K,231,
2026-01-08 16:16:00,583,240,
2026-01-08 16:16:30,479,240,
2026-01-08 16:17:00,510,122,
2026-01-08 16:17:30,430,2,
2026-01-08 16:18:00,100,1,
2026-01-08 16:18:30,60,,
2026-01-08 16:19:00,257,,
