"Time","Weighted Average (65d436c3-5efb-4dc0-8702-d472665548c5)","Average  (65d436c3-5efb-4dc0-8702-d472665548c5)"
2026-01-08 15:31:00,0.00688,0.00682
2026-01-08 15:32:00,-0.00744,-0.00779
2026-01-08 15:33:00,-0.0182,-0.0168
2026-01-08 15:34:00,-0.0218,-0.0211
2026-01-08 15:35:00,-0.0173,-0.0177
2026-01-08 15:36:00,-0.0193,-0.0190
2026-01-08 15:37:00,-0.0166,-0.0154
2026-01-08 15:38:00,-0.0115,-0.0139
2026-01-08 15:39:00,-0.00760,-0.00829
2026-01-08 15:40:00,-0.00739,-0.00603
2026-01-08 15:41:00,-0.00739,-0.00972
2026-01-08 15:42:00,-0.00543,-0.00535
2026-01-08 15:43:00,-0.000237,0.000835
2026-01-08 15:44:00,-0.00424,-0.00385
2026-01-08 15:45:00,-0.00344,-0.00378
2026-01-08 15:46:00,-0.00645,-0.00611
2026-01-08 15:47:00,0.000867,0.000541
2026-01-08 15:48:00,-0.000844,-0.0000898
2026-01-08 15:49:00,-0.00456,-0.00335
2026-01-08 15:50:00,-0.000416,-0.000521
2026-01-08 15:51:00,-0.00505,-0.00491
2026-01-08 15:52:00,-0.00244,-0.00403
2026-01-08 15:53:00,-0.00187,-0.00155
2026-01-08 15:54:00,-0.000193,-0.00102
2026-01-08 15:55:00,-0.00349,-0.00285
2026-01-08 15:56:00,-0.00226,-0.00137
2026-01-08 15:57:00,0.000822,-0.0000123
2026-01-08 15:58:00,-0.0000385,0.0000173
2026-01-08 15:59:00,0.00225,0.00157
2026-01-08 16:00:00,-0.00227,-0.00166
2026-01-08 16:01:00,0.00461,0.00441
2026-01-08 16:02:00,-0.00209,-0.00321
2026-01-08 16:03:00,-0.000914,-0.000723
2026-01-08 16:04:00,0.00203,0.00234
2026-01-08 16:05:00,0.00634,0.00667
2026-01-08 16:06:00,0.00473,0.00491
2026-01-08 16:07:00,0.00788,0.00758
2026-01-08 16:08:00,0.00245,0.00332
2026-01-08 16:09:00,0.00895,0.00904
2026-01-08 16:10:00,0.00197,0.00149
2026-01-08 16:11:00,0.00900,0.00854
2026-01-08 16:12:00,0.00931,0.00936
2026-01-08 16:13:00,0.0138,0.0136
2026-01-08 16:14:00,0.0116,0.0107
2026-01-08 16:15:00,0.0154,0.0136
2026-01-08 16:16:00,0.0154,0.0136
2026-01-08 16:17:00,0.0154,0.0136
2026-01-08 16:18:00,0.0154,0.0136
2026-01-08 16:19:00,0.0154,0.0136
