"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""ppo_d964df25""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""ppo_d964df25""}[4m0s])
)  * 8 "
2026-01-08 15:31:00,79.1 kb/s
2026-01-08 15:32:00,172 kb/s
2026-01-08 15:33:00,260 kb/s
2026-01-08 15:34:00,305 kb/s
2026-01-08 15:35:00,306 kb/s
2026-01-08 15:36:00,310 kb/s
2026-01-08 15:37:00,309 kb/s
2026-01-08 15:38:00,310 kb/s
2026-01-08 15:39:00,309 kb/s
2026-01-08 15:40:00,309 kb/s
2026-01-08 15:41:00,308 kb/s
2026-01-08 15:42:00,307 kb/s
2026-01-08 15:43:00,308 kb/s
2026-01-08 15:44:00,307 kb/s
2026-01-08 15:45:00,307 kb/s
2026-01-08 15:46:00,308 kb/s
2026-01-08 15:47:00,307 kb/s
2026-01-08 15:48:00,306 kb/s
2026-01-08 15:49:00,305 kb/s
2026-01-08 15:50:00,305 kb/s
2026-01-08 15:51:00,307 kb/s
2026-01-08 15:52:00,307 kb/s
2026-01-08 15:53:00,306 kb/s
2026-01-08 15:54:00,304 kb/s
2026-01-08 15:55:00,304 kb/s
2026-01-08 15:56:00,307 kb/s
2026-01-08 15:57:00,308 kb/s
2026-01-08 15:58:00,309 kb/s
2026-01-08 15:59:00,311 kb/s
2026-01-08 16:00:00,311 kb/s
2026-01-08 16:01:00,313 kb/s
2026-01-08 16:02:00,308 kb/s
2026-01-08 16:03:00,307 kb/s
2026-01-08 16:04:00,300 kb/s
2026-01-08 16:05:00,302 kb/s
2026-01-08 16:06:00,306 kb/s
2026-01-08 16:07:00,311 kb/s
2026-01-08 16:08:00,309 kb/s
2026-01-08 16:09:00,305 kb/s
2026-01-08 16:10:00,305 kb/s
2026-01-08 16:11:00,306 kb/s
2026-01-08 16:12:00,307 kb/s
2026-01-08 16:13:00,305 kb/s
2026-01-08 16:14:00,305 kb/s
2026-01-08 16:15:00,305 kb/s
2026-01-08 16:16:00,258 kb/s
2026-01-08 16:17:00,158 kb/s
2026-01-08 16:18:00,57.3 kb/s
2026-01-08 16:19:00,998 b/s
