"Time","sum:ppo_d964df25/gateway1","sum:ppo_d964df25/scheduler","sum:ppo_d964df25/worker1","sum:ppo_d964df25/worker2","sum:ppo_d964df25/worker3"
2026-01-08 15:31:00,124 kB,128 kB,448 kB,51.0 MB,646 kB
2026-01-08 15:32:00,149 kB,218 kB,1.01 MB,52.1 MB,1.19 MB
2026-01-08 15:33:00,153 kB,299 kB,1.56 MB,53.2 MB,1.74 MB
2026-01-08 15:34:00,156 kB,378 kB,2.11 MB,54.3 MB,2.29 MB
2026-01-08 15:35:00,162 kB,464 kB,2.66 MB,55.4 MB,2.85 MB
2026-01-08 15:36:00,175 kB,561 kB,3.22 MB,56.5 MB,3.42 MB
2026-01-08 15:37:00,179 kB,645 kB,3.77 MB,57.6 MB,3.97 MB
2026-01-08 15:38:00,181 kB,726 kB,4.31 MB,58.7 MB,4.52 MB
2026-01-08 15:39:00,184 kB,806 kB,4.89 MB,59.9 MB,5.10 MB
2026-01-08 15:40:00,190 kB,890 kB,5.42 MB,60.9 MB,5.65 MB
2026-01-08 15:41:00,203 kB,986 kB,6.00 MB,62.0 MB,6.20 MB
2026-01-08 15:42:00,206 kB,1.07 MB,6.55 MB,63.2 MB,6.75 MB
2026-01-08 15:43:00,209 kB,1.15 MB,7.12 MB,64.3 MB,7.29 MB
2026-01-08 15:44:00,212 kB,1.23 MB,7.67 MB,65.4 MB,7.85 MB
2026-01-08 15:45:00,218 kB,1.31 MB,8.22 MB,66.5 MB,8.41 MB
2026-01-08 15:46:00,232 kB,1.41 MB,8.78 MB,67.6 MB,8.96 MB
2026-01-08 15:47:00,235 kB,1.49 MB,9.33 MB,68.7 MB,9.51 MB
2026-01-08 15:48:00,238 kB,1.57 MB,9.87 MB,69.8 MB,10.1 MB
2026-01-08 15:49:00,241 kB,1.66 MB,10.4 MB,70.9 MB,10.6 MB
2026-01-08 15:50:00,246 kB,1.74 MB,11.0 MB,72.0 MB,11.2 MB
2026-01-08 15:51:00,260 kB,1.84 MB,11.5 MB,73.1 MB,11.7 MB
2026-01-08 15:52:00,262 kB,1.92 MB,12.1 MB,74.2 MB,12.3 MB
2026-01-08 15:53:00,265 kB,2.00 MB,12.6 MB,75.3 MB,12.8 MB
2026-01-08 15:54:00,268 kB,2.08 MB,13.2 MB,76.4 MB,13.4 MB
2026-01-08 15:55:00,273 kB,2.16 MB,13.7 MB,77.5 MB,13.9 MB
2026-01-08 15:56:00,287 kB,2.26 MB,14.3 MB,78.6 MB,14.5 MB
2026-01-08 15:57:00,289 kB,2.34 MB,14.8 MB,79.7 MB,15.0 MB
2026-01-08 15:58:00,292 kB,2.42 MB,15.4 MB,80.8 MB,15.6 MB
2026-01-08 15:59:00,295 kB,2.51 MB,16.0 MB,82.0 MB,16.2 MB
2026-01-08 16:00:00,301 kB,2.59 MB,16.5 MB,83.1 MB,16.7 MB
2026-01-08 16:01:00,314 kB,2.69 MB,17.1 MB,84.2 MB,17.3 MB
2026-01-08 16:02:00,317 kB,2.77 MB,17.6 MB,85.3 MB,17.8 MB
2026-01-08 16:03:00,319 kB,2.85 MB,18.2 MB,86.4 MB,18.4 MB
2026-01-08 16:04:00,322 kB,2.93 MB,18.7 MB,87.4 MB,18.9 MB
2026-01-08 16:05:00,328 kB,3.01 MB,19.3 MB,88.5 MB,19.5 MB
2026-01-08 16:06:00,341 kB,3.11 MB,19.8 MB,89.7 MB,20.0 MB
2026-01-08 16:07:00,343 kB,3.19 MB,20.4 MB,90.8 MB,20.6 MB
2026-01-08 16:08:00,346 kB,3.27 MB,20.9 MB,91.9 MB,21.1 MB
2026-01-08 16:09:00,349 kB,3.35 MB,21.5 MB,93.0 MB,21.7 MB
2026-01-08 16:10:00,355 kB,3.44 MB,22.0 MB,94.1 MB,22.2 MB
2026-01-08 16:11:00,369 kB,3.53 MB,22.6 MB,95.2 MB,22.8 MB
2026-01-08 16:12:00,371 kB,3.61 MB,23.2 MB,96.3 MB,23.3 MB
2026-01-08 16:13:00,374 kB,3.69 MB,23.7 MB,97.4 MB,23.9 MB
2026-01-08 16:14:00,377 kB,3.78 MB,24.2 MB,98.5 MB,24.4 MB
2026-01-08 16:15:00,383 kB,3.86 MB,24.8 MB,99.6 MB,25.0 MB
2026-01-08 16:16:00,396 kB,3.86 MB,25.2 MB,100 MB,25.1 MB
2026-01-08 16:17:00,398 kB,3.86 MB,25.2 MB,100 MB,25.1 MB
2026-01-08 16:18:00,399 kB,3.86 MB,25.2 MB,100 MB,25.1 MB
2026-01-08 16:19:00,399 kB,3.86 MB,25.2 MB,100 MB,25.1 MB
