"Time","65d436c3-5efb-4dc0-8702-d472665548c5"
2026-01-08 15:31:00,4.91 s
2026-01-08 15:32:00,4.89 s
2026-01-08 15:33:00,4.67 s
2026-01-08 15:34:00,4.72 s
2026-01-08 15:35:00,4.83 s
2026-01-08 15:36:00,4.79 s
2026-01-08 15:37:00,4.81 s
2026-01-08 15:38:00,4.88 s
2026-01-08 15:39:00,4.84 s
2026-01-08 15:40:00,4.82 s
2026-01-08 15:41:00,4.81 s
2026-01-08 15:42:00,4.80 s
2026-01-08 15:43:00,4.75 s
2026-01-08 15:44:00,4.81 s
2026-01-08 15:45:00,4.79 s
2026-01-08 15:46:00,4.76 s
2026-01-08 15:47:00,4.85 s
2026-01-08 15:48:00,4.78 s
2026-01-08 15:49:00,4.83 s
2026-01-08 15:50:00,4.81 s
2026-01-08 15:51:00,4.83 s
2026-01-08 15:52:00,4.87 s
2026-01-08 15:53:00,4.87 s
2026-01-08 15:54:00,4.82 s
2026-01-08 15:55:00,4.82 s
2026-01-08 15:56:00,4.86 s
2026-01-08 15:57:00,4.87 s
2026-01-08 15:58:00,4.93 s
2026-01-08 15:59:00,4.80 s
2026-01-08 16:00:00,4.91 s
2026-01-08 16:01:00,4.89 s
2026-01-08 16:02:00,4.78 s
2026-01-08 16:03:00,4.96 s
2026-01-08 16:04:00,4.85 s
2026-01-08 16:05:00,4.82 s
2026-01-08 16:06:00,4.90 s
2026-01-08 16:07:00,4.78 s
2026-01-08 16:08:00,4.70 s
2026-01-08 16:09:00,4.66 s
2026-01-08 16:10:00,4.94 s
2026-01-08 16:11:00,4.86 s
2026-01-08 16:12:00,4.72 s
2026-01-08 16:13:00,4.87 s
2026-01-08 16:14:00,4.77 s
2026-01-08 16:15:00,4.75 s
2026-01-08 16:16:00,4.75 s
2026-01-08 16:17:00,4.75 s
2026-01-08 16:18:00,4.75 s
2026-01-08 16:19:00,4.75 s
