"Time","Weighted Average","Average"
2026-01-03 18:05:00,55.5,84.5
2026-01-03 18:10:00,6.96,6.96
2026-01-03 18:15:00,7.06,6.90
2026-01-03 18:20:00,6.75,6.89
2026-01-03 18:25:00,6.89,6.89
2026-01-03 18:30:00,6.86,6.87
2026-01-03 18:35:00,6.82,6.81
2026-01-03 18:40:00,6.79,6.80
2026-01-03 18:45:00,6.75,6.76
2026-01-03 18:50:00,6.52,6.73
2026-01-03 18:55:00,6.40,6.70
2026-01-03 19:00:00,6.63,6.65
2026-01-03 19:05:00,6.84,6.60
2026-01-03 19:10:00,6.55,6.55
2026-01-03 19:15:00,6.52,6.51
2026-01-03 19:20:00,6.53,6.52
2026-01-03 19:25:00,6.02,6.48
2026-01-03 19:30:00,6.31,6.36
2026-01-03 19:35:00,6.31,6.38
2026-01-03 19:40:00,5.69,6.22
2026-01-03 19:45:00,6.04,6.13
2026-01-03 19:50:00,6.14,6.14
2026-01-03 19:55:00,6.14,6.12
2026-01-03 20:00:00,6.08,6.07
2026-01-03 20:05:00,6.02,6.02
2026-01-03 20:10:00,5.94,5.93
2026-01-03 20:15:00,5.89,5.87
2026-01-03 20:20:00,5.86,5.96
2026-01-03 20:25:00,6.24,5.92
2026-01-03 20:30:00,5.84,5.84
2026-01-03 20:35:00,5.90,5.87
2026-01-03 20:40:00,5.58,5.85
2026-01-03 20:45:00,5.69,5.69
2026-01-03 20:50:00,5.74,5.74
2026-01-03 20:55:00,5.77,5.69
2026-01-03 21:00:00,5.50,5.49
2026-01-03 21:05:00,5.47,5.53
2026-01-03 21:10:00,5.70,5.69
2026-01-03 21:15:00,5.47,5.55
2026-01-03 21:20:00,5.48,5.48
2026-01-03 21:25:00,5.74,5.55
2026-01-03 21:30:00,5.41,5.57
2026-01-03 21:35:00,5.25,5.37
2026-01-03 21:40:00,5.16,5.25
2026-01-03 21:45:00,5.38,5.36
2026-01-03 21:50:00,5.30,5.23
2026-01-03 21:55:00,5.23,5.22
2026-01-03 22:00:00,5.33,5.32
2026-01-03 22:05:00,5.23,5.23
2026-01-03 22:10:00,5.34,5.38
2026-01-03 22:15:00,5.24,5.18
2026-01-03 22:20:00,5.04,5.06
2026-01-03 22:25:00,5.14,5.07
2026-01-03 22:30:00,5.12,5.13
2026-01-03 22:35:00,5.18,5.19
2026-01-03 22:40:00,5.08,5.11
2026-01-03 22:45:00,4.89,4.89
2026-01-03 22:50:00,4.94,5.03
2026-01-03 22:55:00,4.88,4.88
2026-01-03 23:00:00,4.95,4.97
2026-01-03 23:05:00,4.91,5.00
2026-01-03 23:10:00,4.75,4.76
2026-01-03 23:15:00,4.92,4.93
2026-01-03 23:20:00,4.79,4.73
