"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G"
2026-01-03 18:05:00,156,51.2,46.2
2026-01-03 18:10:00,6.98,6.95,6.95
2026-01-03 18:15:00,6.90,6.90,6.89
2026-01-03 18:20:00,6.90,6.88,6.90
2026-01-03 18:25:00,6.90,6.88,6.89
2026-01-03 18:30:00,6.86,6.89,6.84
2026-01-03 18:35:00,6.79,6.82,6.82
2026-01-03 18:40:00,6.80,6.79,6.79
2026-01-03 18:45:00,6.76,6.75,6.76
2026-01-03 18:50:00,6.72,6.73,6.73
2026-01-03 18:55:00,6.70,6.68,6.71
2026-01-03 19:00:00,6.68,6.65,6.60
2026-01-03 19:05:00,6.62,6.59,6.59
2026-01-03 19:10:00,6.57,6.55,6.54
2026-01-03 19:15:00,6.48,6.55,6.51
2026-01-03 19:20:00,6.49,6.53,6.55
2026-01-03 19:25:00,6.48,6.50,6.47
2026-01-03 19:30:00,6.40,6.33,6.34
2026-01-03 19:35:00,6.34,6.41,6.39
2026-01-03 19:40:00,6.15,6.27,6.23
2026-01-03 19:45:00,6.16,6.12,6.10
2026-01-03 19:50:00,6.16,6.12,6.15
2026-01-03 19:55:00,6.06,6.05,6.23
2026-01-03 20:00:00,5.98,6.15,6.08
2026-01-03 20:05:00,5.91,6.12,6.03
2026-01-03 20:10:00,5.93,5.86,6.01
2026-01-03 20:15:00,5.80,5.99,5.82
2026-01-03 20:20:00,5.94,5.97,5.97
2026-01-03 20:25:00,5.90,5.97,5.90
2026-01-03 20:30:00,5.84,5.82,5.85
2026-01-03 20:35:00,5.72,5.89,5.99
2026-01-03 20:40:00,5.86,5.86,5.83
2026-01-03 20:45:00,5.73,5.71,5.63
2026-01-03 20:50:00,5.57,5.79,5.86
2026-01-03 20:55:00,5.53,5.68,5.85
2026-01-03 21:00:00,5.42,5.50,5.55
2026-01-03 21:05:00,5.45,5.66,5.47
2026-01-03 21:10:00,5.65,5.59,5.83
2026-01-03 21:15:00,5.65,5.36,5.66
2026-01-03 21:20:00,5.54,5.46,5.44
2026-01-03 21:25:00,5.44,5.54,5.68
2026-01-03 21:30:00,5.39,5.50,5.80
2026-01-03 21:35:00,5.38,5.20,5.52
2026-01-03 21:40:00,5.40,5.09,5.26
2026-01-03 21:45:00,5.29,5.35,5.44
2026-01-03 21:50:00,5.08,5.16,5.44
2026-01-03 21:55:00,5.01,5.33,5.31
2026-01-03 22:00:00,5.07,5.30,5.59
2026-01-03 22:05:00,5.23,5.17,5.28
2026-01-03 22:10:00,5.50,5.26,5.36
2026-01-03 22:15:00,5.17,5.26,5.11
2026-01-03 22:20:00,4.83,5.14,5.21
2026-01-03 22:25:00,4.81,5.21,5.18
2026-01-03 22:30:00,5.06,4.99,5.33
2026-01-03 22:35:00,5.31,5.27,4.99
2026-01-03 22:40:00,4.76,5.38,5.18
2026-01-03 22:45:00,4.83,4.87,4.97
2026-01-03 22:50:00,4.89,5.09,5.11
2026-01-03 22:55:00,4.76,4.98,4.90
2026-01-03 23:00:00,4.84,5.00,5.07
2026-01-03 23:05:00,5.00,4.83,5.16
2026-01-03 23:10:00,4.51,4.91,4.85
2026-01-03 23:15:00,5.00,4.95,4.83
2026-01-03 23:20:00,4.55,4.90,4.75
2026-01-03 23:25:00,4.62,4.94,4.57
2026-01-03 23:30:00,4.32,4.98,4.44
2026-01-03 23:35:00,4.41,4.69,4.75
2026-01-03 23:40:00,4.33,4.19,4.60
2026-01-03 23:45:00,4.19,4.73,4.62
2026-01-03 23:50:00,4.35,4.76,4.93
2026-01-03 23:55:00,4.63,4.45,4.66
2026-01-04 00:00:00,3.93,4.59,5.06
2026-01-04 00:05:00,5.51,4.63,4.45
2026-01-04 00:10:00,4.66,4.24,4.50
2026-01-04 00:15:00,4.39,4.36,4.66
2026-01-04 00:20:00,4.36,4.26,4.51
2026-01-04 00:25:00,4.26,4.66,4.70
2026-01-04 00:30:00,4.60,4.27,4.50
2026-01-04 00:35:00,4.34,4.03,4.10
2026-01-04 00:40:00,4.69,4.80,4.24
2026-01-04 00:45:00,4.15,4.13,4.46
2026-01-04 00:50:00,4.18,4.09,4.26
2026-01-04 00:55:00,4.30,4.41,4.56
2026-01-04 01:00:00,3.79,3.97,4.04
2026-01-04 01:05:00,3.81,4.56,4.12
2026-01-04 01:10:00,4.06,3.86,4.52
2026-01-04 01:15:00,3.94,4.18,3.92
2026-01-04 01:20:00,3.86,4.20,4.23
2026-01-04 01:25:00,4.21,4.16,4.26
2026-01-04 01:30:00,3.87,3.88,4.39
2026-01-04 01:35:00,5.05,3.80,4.13
2026-01-04 01:40:00,4.28,4.10,4.24
2026-01-04 01:45:00,4.03,4.24,4.14
2026-01-04 01:50:00,4.14,3.63,3.76
2026-01-04 01:55:00,3.91,4.19,3.76
2026-01-04 02:00:00,4.28,3.93,3.91
2026-01-04 02:05:00,4.57,3.69,4.11
2026-01-04 02:10:00,4.04,4.21,4.04
2026-01-04 02:15:00,3.41,4.03,3.64
2026-01-04 02:20:00,3.62,4.03,4.22
2026-01-04 02:25:00,3.36,3.89,4.03
2026-01-04 02:30:00,3.21,3.76,3.95
2026-01-04 02:35:00,3.66,3.65,3.58
2026-01-04 02:40:00,3.86,3.92,3.83
2026-01-04 02:45:00,3.91,4.15,4.05
2026-01-04 02:50:00,3.38,3.63,3.86
2026-01-04 02:55:00,4.25,3.39,3.41
2026-01-04 03:00:00,4.02,3.58,3.78
2026-01-04 03:05:00,3.24,3.35,4.04
2026-01-04 03:10:00,3.65,3.36,3.51
2026-01-04 03:15:00,3.52,3.62,3.33
2026-01-04 03:20:00,3.84,3.51,3.38
2026-01-04 03:25:00,3.85,3.45,3.46
2026-01-04 03:30:00,3.00,3.50,3.60
2026-01-04 03:35:00,3.36,3.57,3.48
2026-01-04 03:40:00,3.22,3.71,3.52
2026-01-04 03:45:00,3.56,3.40,3.49
2026-01-04 03:50:00,3.53,3.33,3.80
2026-01-04 03:55:00,3.15,3.23,3.51
2026-01-04 04:00:00,2.93,3.20,3.49
2026-01-04 04:05:00,3.66,4.05,3.35
2026-01-04 04:10:00,3.04,3.53,3.48
2026-01-04 04:15:00,3.23,3.02,3.20
2026-01-04 04:20:00,3.48,3.60,3.86
2026-01-04 04:25:00,2.91,3.18,3.03
2026-01-04 04:30:00,3.01,3.43,2.79
2026-01-04 04:35:00,3.17,3.23,3.06
2026-01-04 04:40:00,3.44,3.02,3.20
2026-01-04 04:45:00,2.97,3.37,3.64
2026-01-04 04:50:00,2.63,3.13,3.25
2026-01-04 04:55:00,3.06,3.01,3.06
2026-01-04 05:00:00,3.22,2.65,3.76
2026-01-04 05:05:00,3.14,2.75,3.06
2026-01-04 05:10:00,3.25,3.20,3.47
2026-01-04 05:15:00,3.62,3.21,2.81
2026-01-04 05:20:00,3.33,3.17,3.29
2026-01-04 05:25:00,3.10,2.95,3.12
2026-01-04 05:30:00,2.80,2.83,2.98
2026-01-04 05:35:00,2.83,2.63,3.08
2026-01-04 05:40:00,2.72,2.75,3.08
2026-01-04 05:45:00,2.48,2.55,3.21
2026-01-04 05:50:00,3.25,2.41,2.84
2026-01-04 05:55:00,2.91,2.97,3.14
2026-01-04 06:00:00,2.73,2.76,2.80
2026-01-04 06:05:00,3.14,2.91,2.20
2026-01-04 06:10:00,2.63,2.78,3.05
2026-01-04 06:15:00,3.07,2.61,3.48
2026-01-04 06:20:00,2.63,2.65,3.08
2026-01-04 06:25:00,2.67,2.69,3.21
2026-01-04 06:30:00,2.90,2.77,2.63
2026-01-04 06:35:00,2.41,2.89,3.14
2026-01-04 06:40:00,2.34,2.79,2.27
2026-01-04 06:45:00,2.52,3.12,3.01
2026-01-04 06:50:00,2.76,2.32,3.02
2026-01-04 06:55:00,2.29,2.22,2.99
2026-01-04 07:00:00,2.69,2.93,2.94
2026-01-04 07:05:00,2.46,3.00,2.68
