"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""resnet_americas_03e4b61""}[6m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""resnet_americas_03e4b61""}[6m0s])
)  * 8 "
2026-01-03 18:05:00,586 Mb/s
2026-01-03 18:10:00,1.29 Gb/s
2026-01-03 18:15:00,1.37 Gb/s
2026-01-03 18:20:00,1.28 Gb/s
2026-01-03 18:25:00,1.27 Gb/s
2026-01-03 18:30:00,1.26 Gb/s
2026-01-03 18:35:00,1.21 Gb/s
2026-01-03 18:40:00,1.24 Gb/s
2026-01-03 18:45:00,1.33 Gb/s
2026-01-03 18:50:00,894 Mb/s
2026-01-03 18:55:00,598 Mb/s
2026-01-03 19:00:00,461 Mb/s
2026-01-03 19:05:00,359 Mb/s
2026-01-03 19:10:00,390 Mb/s
2026-01-03 19:15:00,320 Mb/s
2026-01-03 19:20:00,385 Mb/s
2026-01-03 19:25:00,488 Mb/s
2026-01-03 19:30:00,673 Mb/s
2026-01-03 19:35:00,587 Mb/s
2026-01-03 19:40:00,598 Mb/s
2026-01-03 19:45:00,615 Mb/s
2026-01-03 19:50:00,424 Mb/s
2026-01-03 19:55:00,248 Mb/s
2026-01-03 20:00:00,490 Mb/s
2026-01-03 20:05:00,628 Mb/s
2026-01-03 20:10:00,607 Mb/s
2026-01-03 20:15:00,508 Mb/s
2026-01-03 20:20:00,231 Mb/s
2026-01-03 20:25:00,311 Mb/s
2026-01-03 20:30:00,303 Mb/s
2026-01-03 20:35:00,564 Mb/s
2026-01-03 20:40:00,642 Mb/s
2026-01-03 20:45:00,619 Mb/s
2026-01-03 20:50:00,643 Mb/s
2026-01-03 20:55:00,358 Mb/s
2026-01-03 21:00:00,341 Mb/s
2026-01-03 21:05:00,614 Mb/s
2026-01-03 21:10:00,645 Mb/s
2026-01-03 21:15:00,632 Mb/s
2026-01-03 21:20:00,618 Mb/s
2026-01-03 21:25:00,475 Mb/s
2026-01-03 21:30:00,630 Mb/s
2026-01-03 21:35:00,647 Mb/s
2026-01-03 21:40:00,612 Mb/s
2026-01-03 21:45:00,371 Mb/s
2026-01-03 21:50:00,427 Mb/s
2026-01-03 21:55:00,627 Mb/s
2026-01-03 22:00:00,644 Mb/s
2026-01-03 22:05:00,657 Mb/s
2026-01-03 22:10:00,500 Mb/s
2026-01-03 22:15:00,601 Mb/s
2026-01-03 22:20:00,667 Mb/s
2026-01-03 22:25:00,649 Mb/s
2026-01-03 22:30:00,649 Mb/s
2026-01-03 22:35:00,445 Mb/s
2026-01-03 22:40:00,621 Mb/s
2026-01-03 22:45:00,638 Mb/s
2026-01-03 22:50:00,632 Mb/s
2026-01-03 22:55:00,668 Mb/s
2026-01-03 23:00:00,645 Mb/s
2026-01-03 23:05:00,643 Mb/s
2026-01-03 23:10:00,644 Mb/s
2026-01-03 23:15:00,395 Mb/s
2026-01-03 23:20:00,660 Mb/s
2026-01-03 23:25:00,629 Mb/s
2026-01-03 23:30:00,646 Mb/s
2026-01-03 23:35:00,699 Mb/s
2026-01-03 23:40:00,645 Mb/s
2026-01-03 23:45:00,658 Mb/s
2026-01-03 23:50:00,614 Mb/s
2026-01-03 23:55:00,399 Mb/s
2026-01-04 00:00:00,597 Mb/s
2026-01-04 00:05:00,539 Mb/s
2026-01-04 00:10:00,612 Mb/s
2026-01-04 00:15:00,514 Mb/s
2026-01-04 00:20:00,651 Mb/s
2026-01-04 00:25:00,1.09 Gb/s
2026-01-04 00:30:00,928 Mb/s
2026-01-04 00:35:00,572 Mb/s
2026-01-04 00:40:00,476 Mb/s
2026-01-04 00:45:00,338 Mb/s
2026-01-04 00:50:00,393 Mb/s
2026-01-04 00:55:00,376 Mb/s
2026-01-04 01:00:00,465 Mb/s
2026-01-04 01:05:00,555 Mb/s
2026-01-04 01:10:00,636 Mb/s
2026-01-04 01:15:00,571 Mb/s
2026-01-04 01:20:00,600 Mb/s
2026-01-04 01:25:00,569 Mb/s
2026-01-04 01:30:00,297 Mb/s
2026-01-04 01:35:00,330 Mb/s
2026-01-04 01:40:00,311 Mb/s
2026-01-04 01:45:00,523 Mb/s
2026-01-04 01:50:00,575 Mb/s
2026-01-04 01:55:00,629 Mb/s
2026-01-04 02:00:00,616 Mb/s
2026-01-04 02:05:00,357 Mb/s
2026-01-04 02:10:00,359 Mb/s
2026-01-04 02:15:00,563 Mb/s
2026-01-04 02:20:00,643 Mb/s
2026-01-04 02:25:00,631 Mb/s
2026-01-04 02:30:00,435 Mb/s
2026-01-04 02:35:00,273 Mb/s
2026-01-04 02:40:00,337 Mb/s
2026-01-04 02:45:00,575 Mb/s
2026-01-04 02:50:00,617 Mb/s
2026-01-04 02:55:00,628 Mb/s
2026-01-04 03:00:00,628 Mb/s
2026-01-04 03:05:00,361 Mb/s
2026-01-04 03:10:00,511 Mb/s
2026-01-04 03:15:00,614 Mb/s
2026-01-04 03:20:00,643 Mb/s
2026-01-04 03:25:00,644 Mb/s
2026-01-04 03:30:00,344 Mb/s
2026-01-04 03:35:00,392 Mb/s
2026-01-04 03:40:00,637 Mb/s
2026-01-04 03:45:00,650 Mb/s
2026-01-04 03:50:00,645 Mb/s
2026-01-04 03:55:00,460 Mb/s
2026-01-04 04:00:00,625 Mb/s
2026-01-04 04:05:00,657 Mb/s
2026-01-04 04:10:00,633 Mb/s
2026-01-04 04:15:00,647 Mb/s
2026-01-04 04:20:00,631 Mb/s
2026-01-04 04:25:00,658 Mb/s
2026-01-04 04:30:00,676 Mb/s
2026-01-04 04:35:00,609 Mb/s
2026-01-04 04:40:00,613 Mb/s
2026-01-04 04:45:00,597 Mb/s
2026-01-04 04:50:00,635 Mb/s
2026-01-04 04:55:00,626 Mb/s
2026-01-04 05:00:00,652 Mb/s
2026-01-04 05:05:00,661 Mb/s
2026-01-04 05:10:00,646 Mb/s
2026-01-04 05:15:00,608 Mb/s
2026-01-04 05:20:00,367 Mb/s
2026-01-04 05:25:00,617 Mb/s
2026-01-04 05:30:00,618 Mb/s
2026-01-04 05:35:00,628 Mb/s
2026-01-04 05:40:00,639 Mb/s
2026-01-04 05:45:00,617 Mb/s
2026-01-04 05:50:00,623 Mb/s
2026-01-04 05:55:00,622 Mb/s
2026-01-04 06:00:00,654 Mb/s
2026-01-04 06:05:00,624 Mb/s
2026-01-04 06:10:00,623 Mb/s
2026-01-04 06:15:00,630 Mb/s
2026-01-04 06:20:00,615 Mb/s
2026-01-04 06:25:00,609 Mb/s
2026-01-04 06:30:00,637 Mb/s
2026-01-04 06:35:00,648 Mb/s
2026-01-04 06:40:00,632 Mb/s
2026-01-04 06:45:00,644 Mb/s
2026-01-04 06:50:00,631 Mb/s
2026-01-04 06:55:00,630 Mb/s
2026-01-04 07:00:00,613 Mb/s
2026-01-04 07:05:00,653 Mb/s
2026-01-04 07:10:00,641 Mb/s
2026-01-04 07:15:00,612 Mb/s
2026-01-04 07:20:00,625 Mb/s
2026-01-04 07:25:00,625 Mb/s
2026-01-04 07:30:00,631 Mb/s
2026-01-04 07:35:00,630 Mb/s
2026-01-04 07:40:00,644 Mb/s
2026-01-04 07:45:00,586 Mb/s
2026-01-04 07:50:00,629 Mb/s
2026-01-04 07:55:00,634 Mb/s
2026-01-04 08:00:00,636 Mb/s
2026-01-04 08:05:00,621 Mb/s
2026-01-04 08:10:00,671 Mb/s
2026-01-04 08:15:00,630 Mb/s
2026-01-04 08:20:00,674 Mb/s
2026-01-04 08:25:00,623 Mb/s
2026-01-04 08:30:00,643 Mb/s
2026-01-04 08:35:00,632 Mb/s
2026-01-04 08:40:00,644 Mb/s
2026-01-04 08:45:00,655 Mb/s
2026-01-04 08:50:00,640 Mb/s
2026-01-04 08:55:00,659 Mb/s
2026-01-04 09:00:00,641 Mb/s
2026-01-04 09:05:00,506 Mb/s
2026-01-04 09:10:00,629 Mb/s
2026-01-04 09:15:00,614 Mb/s
2026-01-04 09:20:00,628 Mb/s
2026-01-04 09:25:00,634 Mb/s
2026-01-04 09:30:00,643 Mb/s
2026-01-04 09:35:00,638 Mb/s
2026-01-04 09:40:00,660 Mb/s
2026-01-04 09:45:00,625 Mb/s
2026-01-04 09:50:00,658 Mb/s
2026-01-04 09:55:00,674 Mb/s
2026-01-04 10:00:00,632 Mb/s
2026-01-04 10:05:00,600 Mb/s
2026-01-04 10:10:00,606 Mb/s
2026-01-04 10:15:00,652 Mb/s
2026-01-04 10:20:00,637 Mb/s
2026-01-04 10:25:00,645 Mb/s
2026-01-04 10:30:00,645 Mb/s
2026-01-04 10:35:00,623 Mb/s
2026-01-04 10:40:00,669 Mb/s
2026-01-04 10:45:00,639 Mb/s
2026-01-04 10:50:00,643 Mb/s
2026-01-04 10:55:00,662 Mb/s
2026-01-04 11:00:00,613 Mb/s
2026-01-04 11:05:00,614 Mb/s
2026-01-04 11:10:00,642 Mb/s
2026-01-04 11:15:00,632 Mb/s
2026-01-04 11:20:00,627 Mb/s
2026-01-04 11:25:00,687 Mb/s
2026-01-04 11:30:00,629 Mb/s
2026-01-04 11:35:00,642 Mb/s
2026-01-04 11:40:00,634 Mb/s
2026-01-04 11:45:00,646 Mb/s
2026-01-04 11:50:00,589 Mb/s
2026-01-04 11:55:00,649 Mb/s
2026-01-04 12:00:00,642 Mb/s
2026-01-04 12:05:00,622 Mb/s
2026-01-04 12:10:00,630 Mb/s
2026-01-04 12:15:00,637 Mb/s
2026-01-04 12:20:00,631 Mb/s
2026-01-04 12:25:00,651 Mb/s
2026-01-04 12:30:00,656 Mb/s
2026-01-04 12:35:00,666 Mb/s
2026-01-04 12:40:00,637 Mb/s
2026-01-04 12:45:00,650 Mb/s
2026-01-04 12:50:00,632 Mb/s
2026-01-04 12:55:00,619 Mb/s
2026-01-04 13:00:00,640 Mb/s
2026-01-04 13:05:00,627 Mb/s
2026-01-04 13:10:00,660 Mb/s
2026-01-04 13:15:00,629 Mb/s
2026-01-04 13:20:00,648 Mb/s
2026-01-04 13:25:00,604 Mb/s
2026-01-04 13:30:00,646 Mb/s
2026-01-04 13:35:00,616 Mb/s
2026-01-04 13:40:00,627 Mb/s
2026-01-04 13:45:00,632 Mb/s
2026-01-04 13:50:00,644 Mb/s
2026-01-04 13:55:00,641 Mb/s
2026-01-04 14:00:00,659 Mb/s
2026-01-04 14:05:00,626 Mb/s
2026-01-04 14:10:00,636 Mb/s
2026-01-04 14:15:00,631 Mb/s
2026-01-04 14:20:00,644 Mb/s
2026-01-04 14:25:00,653 Mb/s
2026-01-04 14:30:00,633 Mb/s
2026-01-04 14:35:00,627 Mb/s
2026-01-04 14:40:00,661 Mb/s
2026-01-04 14:45:00,666 Mb/s
2026-01-04 14:50:00,661 Mb/s
2026-01-04 14:55:00,634 Mb/s
2026-01-04 15:00:00,626 Mb/s
2026-01-04 15:05:00,643 Mb/s
2026-01-04 15:10:00,645 Mb/s
2026-01-04 15:15:00,658 Mb/s
2026-01-04 15:20:00,643 Mb/s
2026-01-04 15:25:00,650 Mb/s
2026-01-04 15:30:00,650 Mb/s
2026-01-04 15:35:00,615 Mb/s
2026-01-04 15:40:00,644 Mb/s
2026-01-04 15:45:00,645 Mb/s
2026-01-04 15:50:00,642 Mb/s
2026-01-04 15:55:00,632 Mb/s
2026-01-04 16:00:00,629 Mb/s
2026-01-04 16:05:00,614 Mb/s
2026-01-04 16:10:00,614 Mb/s
2026-01-04 16:15:00,613 Mb/s
2026-01-04 16:20:00,619 Mb/s
2026-01-04 16:25:00,630 Mb/s
2026-01-04 16:30:00,644 Mb/s
