"Time","gateway1","scheduler","worker1","worker3","worker4","worker6"
2026-01-03 18:05:00,20.4 kb/s,12.4 kb/s,229 Mb/s,51.0 Mb/s,99.4 Mb/s,207 Mb/s
2026-01-03 18:10:00,4.66 kb/s,19.1 kb/s,517 Mb/s,148 Mb/s,161 Mb/s,459 Mb/s
2026-01-03 18:15:00,4.76 kb/s,17.7 kb/s,586 Mb/s,165 Mb/s,166 Mb/s,453 Mb/s
2026-01-03 18:20:00,4.17 kb/s,18.3 kb/s,553 Mb/s,143 Mb/s,165 Mb/s,422 Mb/s
2026-01-03 18:25:00,4.92 kb/s,18.7 kb/s,562 Mb/s,148 Mb/s,144 Mb/s,418 Mb/s
2026-01-03 18:30:00,4.42 kb/s,17.3 kb/s,533 Mb/s,145 Mb/s,168 Mb/s,413 Mb/s
2026-01-03 18:35:00,4.17 kb/s,18.3 kb/s,522 Mb/s,137 Mb/s,164 Mb/s,382 Mb/s
2026-01-03 18:40:00,4.41 kb/s,18.1 kb/s,485 Mb/s,150 Mb/s,166 Mb/s,442 Mb/s
2026-01-03 18:45:00,4.42 kb/s,18.6 kb/s,588 Mb/s,150 Mb/s,164 Mb/s,426 Mb/s
2026-01-03 18:50:00,4.68 kb/s,18.6 kb/s,293 Mb/s,200 Mb/s,135 Mb/s,265 Mb/s
2026-01-03 18:55:00,5.21 kb/s,18.9 kb/s,100 Mb/s,300 Mb/s,97.8 Mb/s,100 Mb/s
2026-01-03 19:00:00,4.99 kb/s,19.5 kb/s,66.8 Mb/s,200 Mb/s,127 Mb/s,66.8 Mb/s
2026-01-03 19:05:00,4.89 kb/s,20.8 kb/s,42.9 Mb/s,129 Mb/s,145 Mb/s,42.9 Mb/s
2026-01-03 19:10:00,4.20 kb/s,18.4 kb/s,45.3 Mb/s,136 Mb/s,161 Mb/s,47.7 Mb/s
2026-01-03 19:15:00,4.35 kb/s,21.6 kb/s,35.8 Mb/s,107 Mb/s,144 Mb/s,33.4 Mb/s
2026-01-03 19:20:00,4.23 kb/s,20.9 kb/s,45.3 Mb/s,134 Mb/s,143 Mb/s,63.5 Mb/s
