"Time","c2a273f9-7e36-4a03-8f2a-ec8cdc2a8eea"
2026-01-03 18:05:00,23.6 s
2026-01-03 18:10:00,26.9 s
2026-01-03 18:15:00,19.8 s
2026-01-03 18:20:00,18.3 s
2026-01-03 18:25:00,26.5 s
2026-01-03 18:30:00,22.9 s
2026-01-03 18:35:00,21.8 s
2026-01-03 18:40:00,16.8 s
2026-01-03 18:45:00,13.8 s
2026-01-03 18:50:00,11.9 s
2026-01-03 18:55:00,7.92 s
2026-01-03 19:00:00,19.6 s
2026-01-03 19:05:00,15.4 s
2026-01-03 19:10:00,17.8 s
2026-01-03 19:15:00,10.0 s
2026-01-03 19:20:00,11.3 s
2026-01-03 19:25:00,42.0 s
2026-01-03 19:30:00,10.5 s
2026-01-03 19:35:00,10.8 s
2026-01-03 19:40:00,11.3 s
2026-01-03 19:45:00,8.18 s
2026-01-03 19:50:00,44.6 s
2026-01-03 19:55:00,1.41 mins
2026-01-03 20:00:00,10.8 s
2026-01-03 20:05:00,8.37 s
2026-01-03 20:10:00,11.3 s
2026-01-03 20:15:00,29.9 s
2026-01-03 20:20:00,46.9 s
2026-01-03 20:25:00,44.2 s
2026-01-03 20:30:00,20.8 s
2026-01-03 20:35:00,9.26 s
2026-01-03 20:40:00,9.23 s
2026-01-03 20:45:00,9.40 s
2026-01-03 20:50:00,11.0 s
2026-01-03 20:55:00,38.0 s
2026-01-03 21:00:00,22.7 s
2026-01-03 21:05:00,9.89 s
2026-01-03 21:10:00,10.7 s
2026-01-03 21:15:00,10.00 s
2026-01-03 21:20:00,8.44 s
2026-01-03 21:25:00,11.6 s
2026-01-03 21:30:00,8.84 s
2026-01-03 21:35:00,9.06 s
2026-01-03 21:40:00,8.68 s
2026-01-03 21:45:00,1.53 mins
2026-01-03 21:50:00,15.7 s
2026-01-03 21:55:00,10.6 s
2026-01-03 22:00:00,8.63 s
2026-01-03 22:05:00,11.3 s
2026-01-03 22:10:00,31.5 s
2026-01-03 22:15:00,11.9 s
2026-01-03 22:20:00,7.63 s
2026-01-03 22:25:00,10.8 s
2026-01-03 22:30:00,7.52 s
2026-01-03 22:35:00,8.67 s
2026-01-03 22:40:00,9.26 s
2026-01-03 22:45:00,10.3 s
2026-01-03 22:50:00,9.24 s
2026-01-03 22:55:00,9.34 s
2026-01-03 23:00:00,7.45 s
2026-01-03 23:05:00,9.18 s
2026-01-03 23:10:00,8.18 s
2026-01-03 23:15:00,8.34 s
2026-01-03 23:20:00,8.90 s
2026-01-03 23:25:00,9.71 s
2026-01-03 23:30:00,9.19 s
2026-01-03 23:35:00,9.14 s
2026-01-03 23:40:00,8.41 s
2026-01-03 23:45:00,11.7 s
2026-01-03 23:50:00,9.47 s
2026-01-03 23:55:00,57.3 s
2026-01-04 00:00:00,10.6 s
2026-01-04 00:05:00,35.8 s
2026-01-04 00:10:00,17.7 s
2026-01-04 00:15:00,13.4 s
2026-01-04 00:20:00,21.2 s
2026-01-04 00:25:00,20.0 s
2026-01-04 00:30:00,20.3 s
2026-01-04 00:35:00,11.8 s
2026-01-04 00:40:00,11.7 s
2026-01-04 00:45:00,19.7 s
2026-01-04 00:50:00,32.4 s
2026-01-04 00:55:00,12.1 s
2026-01-04 01:00:00,12.7 s
2026-01-04 01:05:00,11.5 s
2026-01-04 01:10:00,9.88 s
2026-01-04 01:15:00,11.7 s
2026-01-04 01:20:00,12.3 s
2026-01-04 01:25:00,54.1 s
2026-01-04 01:30:00,37.7 s
2026-01-04 01:35:00,11.0 s
2026-01-04 01:40:00,1.46 mins
2026-01-04 01:45:00,10.8 s
2026-01-04 01:50:00,9.59 s
2026-01-04 01:55:00,9.49 s
2026-01-04 02:00:00,7.95 s
2026-01-04 02:05:00,33.0 s
2026-01-04 02:10:00,1.60 mins
2026-01-04 02:15:00,8.78 s
2026-01-04 02:20:00,9.17 s
2026-01-04 02:25:00,7.87 s
2026-01-04 02:30:00,31.9 s
2026-01-04 02:35:00,17.3 s
2026-01-04 02:40:00,12.2 s
2026-01-04 02:45:00,9.67 s
2026-01-04 02:50:00,8.40 s
2026-01-04 02:55:00,10.9 s
2026-01-04 03:00:00,8.22 s
2026-01-04 03:05:00,30.2 s
2026-01-04 03:10:00,8.14 s
2026-01-04 03:15:00,8.78 s
2026-01-04 03:20:00,8.12 s
2026-01-04 03:25:00,11.7 s
2026-01-04 03:30:00,24.7 s
2026-01-04 03:35:00,8.60 s
2026-01-04 03:40:00,8.42 s
2026-01-04 03:45:00,10.6 s
2026-01-04 03:50:00,8.16 s
2026-01-04 03:55:00,35.3 s
2026-01-04 04:00:00,8.32 s
2026-01-04 04:05:00,9.25 s
2026-01-04 04:10:00,8.23 s
2026-01-04 04:15:00,11.6 s
2026-01-04 04:20:00,12.2 s
2026-01-04 04:25:00,9.06 s
2026-01-04 04:30:00,7.88 s
2026-01-04 04:35:00,8.59 s
2026-01-04 04:40:00,9.93 s
2026-01-04 04:45:00,11.3 s
2026-01-04 04:50:00,9.65 s
2026-01-04 04:55:00,8.87 s
2026-01-04 05:00:00,9.15 s
2026-01-04 05:05:00,10.4 s
2026-01-04 05:10:00,8.17 s
2026-01-04 05:15:00,10.4 s
2026-01-04 05:20:00,8.99 s
2026-01-04 05:25:00,9.03 s
2026-01-04 05:30:00,12.5 s
2026-01-04 05:35:00,11.0 s
2026-01-04 05:40:00,9.65 s
2026-01-04 05:45:00,11.1 s
2026-01-04 05:50:00,9.70 s
2026-01-04 05:55:00,8.69 s
2026-01-04 06:00:00,7.74 s
2026-01-04 06:05:00,10.1 s
2026-01-04 06:10:00,9.93 s
2026-01-04 06:15:00,10.8 s
2026-01-04 06:20:00,8.14 s
2026-01-04 06:25:00,8.55 s
2026-01-04 06:30:00,11.3 s
2026-01-04 06:35:00,9.29 s
2026-01-04 06:40:00,7.80 s
2026-01-04 06:45:00,7.16 s
2026-01-04 06:50:00,9.25 s
2026-01-04 06:55:00,10.9 s
2026-01-04 07:00:00,12.4 s
2026-01-04 07:05:00,9.39 s
2026-01-04 07:10:00,7.64 s
2026-01-04 07:15:00,11.3 s
2026-01-04 07:20:00,9.42 s
2026-01-04 07:25:00,8.05 s
2026-01-04 07:30:00,9.16 s
2026-01-04 07:35:00,9.44 s
2026-01-04 07:40:00,9.16 s
2026-01-04 07:45:00,11.1 s
2026-01-04 07:50:00,9.09 s
2026-01-04 07:55:00,9.02 s
2026-01-04 08:00:00,10.3 s
2026-01-04 08:05:00,10.2 s
2026-01-04 08:10:00,10.4 s
2026-01-04 08:15:00,10.7 s
2026-01-04 08:20:00,8.99 s
2026-01-04 08:25:00,10.4 s
2026-01-04 08:30:00,8.45 s
2026-01-04 08:35:00,8.86 s
2026-01-04 08:40:00,9.36 s
2026-01-04 08:45:00,10.7 s
2026-01-04 08:50:00,7.94 s
2026-01-04 08:55:00,8.67 s
2026-01-04 09:00:00,10.2 s
2026-01-04 09:05:00,9.85 s
2026-01-04 09:10:00,10.1 s
2026-01-04 09:15:00,8.03 s
2026-01-04 09:20:00,9.94 s
2026-01-04 09:25:00,13.6 s
2026-01-04 09:30:00,7.38 s
2026-01-04 09:35:00,9.41 s
2026-01-04 09:40:00,8.36 s
2026-01-04 09:45:00,9.09 s
2026-01-04 09:50:00,7.62 s
2026-01-04 09:55:00,10.4 s
2026-01-04 10:00:00,8.43 s
2026-01-04 10:05:00,8.52 s
2026-01-04 10:10:00,9.49 s
2026-01-04 10:15:00,11.2 s
2026-01-04 10:20:00,8.54 s
2026-01-04 10:25:00,9.23 s
2026-01-04 10:30:00,11.1 s
2026-01-04 10:35:00,9.08 s
2026-01-04 10:40:00,9.82 s
2026-01-04 10:45:00,8.63 s
2026-01-04 10:50:00,8.87 s
2026-01-04 10:55:00,7.42 s
2026-01-04 11:00:00,10.7 s
2026-01-04 11:05:00,9.86 s
2026-01-04 11:10:00,8.43 s
2026-01-04 11:15:00,10.5 s
2026-01-04 11:20:00,8.39 s
2026-01-04 11:25:00,8.71 s
2026-01-04 11:30:00,7.46 s
2026-01-04 11:35:00,8.42 s
2026-01-04 11:40:00,10.1 s
2026-01-04 11:45:00,8.78 s
2026-01-04 11:50:00,22.4 s
2026-01-04 11:55:00,8.66 s
2026-01-04 12:00:00,8.59 s
2026-01-04 12:05:00,9.57 s
2026-01-04 12:10:00,7.92 s
2026-01-04 12:15:00,9.25 s
2026-01-04 12:20:00,10.5 s
2026-01-04 12:25:00,7.57 s
2026-01-04 12:30:00,10.2 s
2026-01-04 12:35:00,8.74 s
2026-01-04 12:40:00,9.48 s
2026-01-04 12:45:00,9.03 s
2026-01-04 12:50:00,10.7 s
2026-01-04 12:55:00,9.23 s
2026-01-04 13:00:00,10.4 s
2026-01-04 13:05:00,10.5 s
2026-01-04 13:10:00,9.55 s
2026-01-04 13:15:00,9.16 s
2026-01-04 13:20:00,9.10 s
2026-01-04 13:25:00,9.07 s
2026-01-04 13:30:00,9.54 s
2026-01-04 13:35:00,8.88 s
2026-01-04 13:40:00,10.4 s
2026-01-04 13:45:00,9.34 s
2026-01-04 13:50:00,9.06 s
2026-01-04 13:55:00,9.30 s
2026-01-04 14:00:00,10.1 s
2026-01-04 14:05:00,10.7 s
2026-01-04 14:10:00,8.65 s
2026-01-04 14:15:00,7.73 s
2026-01-04 14:20:00,9.57 s
2026-01-04 14:25:00,9.18 s
2026-01-04 14:30:00,8.86 s
2026-01-04 14:35:00,7.37 s
2026-01-04 14:40:00,9.35 s
2026-01-04 14:45:00,9.60 s
2026-01-04 14:50:00,10.1 s
2026-01-04 14:55:00,8.08 s
2026-01-04 15:00:00,8.43 s
2026-01-04 15:05:00,9.58 s
2026-01-04 15:10:00,9.83 s
2026-01-04 15:15:00,8.24 s
2026-01-04 15:20:00,8.59 s
2026-01-04 15:25:00,8.13 s
2026-01-04 15:30:00,8.62 s
2026-01-04 15:35:00,9.03 s
2026-01-04 15:40:00,8.07 s
2026-01-04 15:45:00,8.69 s
2026-01-04 15:50:00,8.95 s
2026-01-04 15:55:00,8.66 s
2026-01-04 16:00:00,10.1 s
2026-01-04 16:05:00,10.2 s
2026-01-04 16:10:00,11.5 s
2026-01-04 16:15:00,11.5 s
2026-01-04 16:20:00,12.7 s
2026-01-04 16:25:00,9.72 s
2026-01-04 16:30:00,8.67 s
2026-01-04 16:35:00,8.78 s
2026-01-04 16:40:00,11.7 s
2026-01-04 16:45:00,9.04 s
2026-01-04 16:50:00,8.94 s
2026-01-04 16:55:00,8.85 s
2026-01-04 17:00:00,9.93 s
2026-01-04 17:05:00,8.91 s
2026-01-04 17:10:00,9.62 s
2026-01-04 17:15:00,8.34 s
2026-01-04 17:20:00,9.42 s
2026-01-04 17:25:00,8.08 s
2026-01-04 17:30:00,10.2 s
2026-01-04 17:35:00,9.00 s
2026-01-04 17:40:00,9.41 s
2026-01-04 17:45:00,10.1 s
2026-01-04 17:50:00,11.3 s
2026-01-04 17:55:00,10.8 s
2026-01-04 18:00:00,9.61 s
2026-01-04 18:05:00,9.67 s
2026-01-04 18:10:00,9.73 s
2026-01-04 18:15:00,9.83 s
2026-01-04 18:20:00,12.2 s
2026-01-04 18:25:00,8.72 s
2026-01-04 18:30:00,11.2 s
2026-01-04 18:35:00,9.84 s
2026-01-04 18:40:00,9.26 s
2026-01-04 18:45:00,10.7 s
2026-01-04 18:50:00,11.8 s
2026-01-04 18:55:00,10.2 s
2026-01-04 19:00:00,9.78 s
2026-01-04 19:05:00,7.83 s
2026-01-04 19:10:00,8.73 s
2026-01-04 19:15:00,8.46 s
2026-01-04 19:20:00,9.29 s
2026-01-04 19:25:00,9.46 s
2026-01-04 19:30:00,8.77 s
2026-01-04 19:35:00,9.16 s
2026-01-04 19:40:00,7.59 s
2026-01-04 19:45:00,9.87 s
2026-01-04 19:50:00,9.77 s
2026-01-04 19:55:00,9.62 s
2026-01-04 20:00:00,10.0 s
2026-01-04 20:05:00,8.41 s
2026-01-04 20:10:00,11.5 s
2026-01-04 20:15:00,8.25 s
2026-01-04 20:20:00,11.3 s
2026-01-04 20:25:00,8.62 s
2026-01-04 20:30:00,7.81 s
2026-01-04 20:35:00,8.88 s
2026-01-04 20:40:00,10.7 s
2026-01-04 20:45:00,8.30 s
2026-01-04 20:50:00,7.74 s
2026-01-04 20:55:00,9.16 s
