"Time","data1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","data1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","data1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","data1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","data1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","data1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","data1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","gateway1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","gateway1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker3 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker3 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker3 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker3 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker4 (digital_ocean) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker4 (digital_ocean) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker4 (digital_ocean) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker4 (digital_ocean) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker4 (digital_ocean) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker4 (digital_ocean) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker6 (hyperstacks) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker6 (hyperstacks) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker6 (hyperstacks) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker6 (hyperstacks) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker6 (hyperstacks) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker6 (hyperstacks) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","scheduler (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","scheduler (yorizon) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-03 18:05:00,19.8 ms,97.8 ms,14.9 ms,,1.41 ms,0.382 ms,0.697 ms,22.7 ms,98.9 ms,14.9 ms,,1.47 ms,0.504 ms,0.605 ms,23.8 ms,98.6 ms,14.7 ms,,1.10 ms,1.14 ms,1.39 ms,23.0 ms,98.0 ms,14.7 ms,,1.08 ms,0.417 ms,0.837 ms,109 ms,45.5 ms,23.6 ms,1.33 s,23.0 ms,22.6 ms,45.1 ms,99.0 ms,14.7 ms,14.6 ms,15.0 ms,15.0 ms,109 ms,98.7 ms,,98.8 ms,97.9 ms,97.7 ms,98.8 ms
2026-01-03 18:10:00,20.8 ms,97.8 ms,14.6 ms,,0.986 ms,0.478 ms,0.716 ms,22.7 ms,98.9 ms,15.0 ms,,1.49 ms,0.620 ms,0.603 ms,23.8 ms,98.5 ms,15.1 ms,,1.24 ms,1.16 ms,1.30 ms,23.0 ms,97.8 ms,14.2 ms,,1.45 ms,0.517 ms,0.522 ms,109 ms,37.7 ms,23.8 ms,6.68 s,23.2 ms,22.9 ms,37.5 ms,98.7 ms,14.8 ms,16.8 ms,16.4 ms,15.4 ms,109 ms,99.0 ms,,98.7 ms,97.9 ms,97.8 ms,98.9 ms
2026-01-03 18:15:00,19.5 ms,97.8 ms,14.6 ms,,1.27 ms,0.659 ms,0.676 ms,22.8 ms,98.8 ms,15.0 ms,,1.32 ms,0.573 ms,0.846 ms,26.0 ms,98.8 ms,79.0 ms,,1.20 ms,1.36 ms,1.33 ms,26.0 ms,97.8 ms,14.2 ms,,1.34 ms,0.361 ms,0.800 ms,109 ms,38.0 ms,24.5 ms,19.6 ms,23.7 ms,22.6 ms,38.1 ms,98.5 ms,14.9 ms,15.1 ms,14.0 ms,15.1 ms,109 ms,98.6 ms,,98.6 ms,98.0 ms,97.8 ms,98.8 ms
2026-01-03 18:20:00,18.7 ms,97.8 ms,15.2 ms,,1.47 ms,0.490 ms,0.706 ms,22.7 ms,98.8 ms,14.9 ms,,1.45 ms,0.597 ms,0.616 ms,23.6 ms,98.7 ms,17.8 ms,,1.49 ms,1.08 ms,1.47 ms,23.5 ms,97.7 ms,15.1 ms,,1.16 ms,0.359 ms,0.971 ms,109 ms,38.0 ms,23.9 ms,19.0 ms,23.3 ms,22.7 ms,38.0 ms,98.5 ms,17.2 ms,15.3 ms,14.7 ms,16.1 ms,109 ms,98.4 ms,,98.7 ms,98.0 ms,97.7 ms,98.7 ms
2026-01-03 18:25:00,19.4 ms,97.8 ms,15.3 ms,,0.991 ms,0.428 ms,0.694 ms,22.7 ms,98.9 ms,15.0 ms,,1.24 ms,0.608 ms,0.744 ms,23.8 ms,98.6 ms,15.4 ms,,1.04 ms,1.14 ms,1.23 ms,23.1 ms,97.7 ms,15.4 ms,,1.04 ms,0.409 ms,0.687 ms,109 ms,40.4 ms,23.8 ms,19.2 ms,23.0 ms,22.6 ms,39.9 ms,98.7 ms,15.4 ms,14.5 ms,15.7 ms,15.2 ms,109 ms,133 ms,,98.6 ms,98.0 ms,97.7 ms,99.0 ms
2026-01-03 18:30:00,20.7 ms,97.8 ms,15.0 ms,,1.19 ms,0.408 ms,0.813 ms,22.7 ms,99.0 ms,14.9 ms,,1.27 ms,0.667 ms,0.654 ms,23.7 ms,99.7 ms,14.6 ms,,0.996 ms,1.22 ms,1.37 ms,23.0 ms,97.8 ms,15.0 ms,,1.36 ms,0.593 ms,0.707 ms,109 ms,37.4 ms,23.9 ms,1.33 s,23.2 ms,22.5 ms,37.8 ms,98.6 ms,14.8 ms,15.3 ms,14.3 ms,15.0 ms,109 ms,131 ms,,99.6 ms,97.8 ms,97.7 ms,98.9 ms
2026-01-03 18:35:00,18.8 ms,97.8 ms,14.8 ms,,1.44 ms,0.911 ms,0.842 ms,22.7 ms,98.8 ms,14.8 ms,,1.30 ms,0.603 ms,0.759 ms,23.7 ms,98.7 ms,14.6 ms,,1.31 ms,0.991 ms,1.38 ms,23.0 ms,97.8 ms,14.4 ms,,1.09 ms,0.375 ms,0.694 ms,109 ms,37.6 ms,23.6 ms,18.8 ms,23.2 ms,22.7 ms,37.7 ms,98.4 ms,14.7 ms,15.6 ms,14.6 ms,14.9 ms,109 ms,99.0 ms,,98.6 ms,97.9 ms,97.7 ms,98.7 ms
2026-01-03 18:40:00,18.9 ms,97.8 ms,14.9 ms,,1.00 ms,0.485 ms,0.943 ms,22.8 ms,98.8 ms,14.8 ms,,1.45 ms,0.569 ms,0.613 ms,23.7 ms,98.6 ms,15.3 ms,,1.06 ms,1.02 ms,1.41 ms,23.1 ms,97.8 ms,14.5 ms,,1.28 ms,0.374 ms,0.813 ms,109 ms,37.7 ms,23.6 ms,19.1 ms,23.3 ms,22.9 ms,37.5 ms,98.4 ms,17.4 ms,14.5 ms,14.3 ms,14.9 ms,109 ms,99.1 ms,,98.8 ms,97.8 ms,97.7 ms,98.8 ms
2026-01-03 18:45:00,20.8 ms,97.8 ms,14.6 ms,,1.20 ms,0.629 ms,0.694 ms,22.5 ms,98.9 ms,14.9 ms,,1.28 ms,0.817 ms,0.650 ms,23.7 ms,98.9 ms,82.9 ms,,1.18 ms,0.991 ms,1.35 ms,23.2 ms,97.7 ms,14.5 ms,,1.14 ms,0.436 ms,0.760 ms,109 ms,37.8 ms,23.7 ms,20.7 ms,23.4 ms,22.8 ms,37.7 ms,98.7 ms,15.3 ms,14.7 ms,14.7 ms,14.9 ms,109 ms,99.2 ms,,98.6 ms,97.9 ms,97.7 ms,98.9 ms
2026-01-03 18:50:00,18.8 ms,97.9 ms,14.4 ms,,1.08 ms,0.351 ms,0.907 ms,22.7 ms,98.9 ms,15.1 ms,,1.26 ms,0.626 ms,0.652 ms,24.1 ms,98.7 ms,15.0 ms,,0.999 ms,1.19 ms,1.53 ms,23.1 ms,97.8 ms,14.9 ms,,1.10 ms,0.583 ms,0.705 ms,109 ms,37.8 ms,23.6 ms,18.8 ms,23.4 ms,22.9 ms,37.9 ms,98.4 ms,15.2 ms,14.5 ms,14.5 ms,15.3 ms,109 ms,98.5 ms,,98.7 ms,97.8 ms,97.7 ms,98.9 ms
2026-01-03 18:55:00,19.0 ms,98.0 ms,14.5 ms,,0.999 ms,0.501 ms,0.793 ms,22.8 ms,98.8 ms,18.3 ms,,1.42 ms,0.796 ms,0.605 ms,23.8 ms,98.7 ms,15.0 ms,,1.08 ms,1.21 ms,1.63 ms,23.2 ms,97.8 ms,14.7 ms,,1.37 ms,0.577 ms,0.707 ms,109 ms,37.8 ms,23.7 ms,19.2 ms,23.3 ms,22.8 ms,37.7 ms,98.7 ms,15.4 ms,14.3 ms,14.6 ms,15.4 ms,109 ms,98.5 ms,,98.7 ms,97.9 ms,97.7 ms,98.7 ms
