"Time","debug","error","info","warn"
2026-01-03 18:05:00,29.7 K,1,2.07 K,2
2026-01-03 18:10:00,37.5 K,,4.03 K,
2026-01-03 18:15:00,36.1 K,,3.45 K,
2026-01-03 18:20:00,37.6 K,,4.06 K,
2026-01-03 18:25:00,37.1 K,,3.71 K,
2026-01-03 18:30:00,37.0 K,,3.74 K,
2026-01-03 18:35:00,36.7 K,,3.86 K,
2026-01-03 18:40:00,36.4 K,,3.69 K,
2026-01-03 18:45:00,38.0 K,,4.01 K,
2026-01-03 18:50:00,37.3 K,,3.35 K,
2026-01-03 18:55:00,38.6 K,,2.47 K,
2026-01-03 19:00:00,38.4 K,,3.57 K,
2026-01-03 19:05:00,36.5 K,,3.59 K,
2026-01-03 19:10:00,35.0 K,,3.12 K,
2026-01-03 19:15:00,38.1 K,,4.30 K,
2026-01-03 19:20:00,36.0 K,,3.58 K,
2026-01-03 19:25:00,31.7 K,,2.69 K,
2026-01-03 19:30:00,38.8 K,,4.02 K,
2026-01-03 19:35:00,38.5 K,,2.66 K,
2026-01-03 19:40:00,39.0 K,,2.56 K,
2026-01-03 19:45:00,38.5 K,,2.47 K,
2026-01-03 19:50:00,38.5 K,,3.94 K,
2026-01-03 19:55:00,38.8 K,,5.03 K,
2026-01-03 20:00:00,36.3 K,,3.06 K,
2026-01-03 20:05:00,38.1 K,,2.32 K,
2026-01-03 20:10:00,38.1 K,,2.36 K,
2026-01-03 20:15:00,38.7 K,,3.27 K,
2026-01-03 20:20:00,31.0 K,,2.45 K,
2026-01-03 20:25:00,34.5 K,,3.34 K,
2026-01-03 20:30:00,32.3 K,,2.65 K,
2026-01-03 20:35:00,37.3 K,,3.41 K,
2026-01-03 20:40:00,38.7 K,,2.34 K,
2026-01-03 20:45:00,38.3 K,,2.30 K,
2026-01-03 20:50:00,39.1 K,,2.28 K,
2026-01-03 20:55:00,31.1 K,,1.87 K,
2026-01-03 21:00:00,39.1 K,,4.59 K,
2026-01-03 21:05:00,38.5 K,,2.66 K,
2026-01-03 21:10:00,38.0 K,,2.25 K,
2026-01-03 21:15:00,38.5 K,,2.19 K,
2026-01-03 21:20:00,39.4 K,,2.63 K,
2026-01-03 21:25:00,38.3 K,,3.71 K,
2026-01-03 21:30:00,39.1 K,,2.38 K,
2026-01-03 21:35:00,38.2 K,,2.20 K,
2026-01-03 21:40:00,39.3 K,,2.44 K,
2026-01-03 21:45:00,39.6 K,,4.34 K,
2026-01-03 21:50:00,38.1 K,,4.07 K,
2026-01-03 21:55:00,38.8 K,,2.42 K,
2026-01-03 22:00:00,38.4 K,,2.27 K,
2026-01-03 22:05:00,39.0 K,,2.21 K,
2026-01-03 22:10:00,38.8 K,,3.37 K,
2026-01-03 22:15:00,37.8 K,,2.58 K,
2026-01-03 22:20:00,38.9 K,,2.24 K,
2026-01-03 22:25:00,38.8 K,,2.32 K,
2026-01-03 22:30:00,39.0 K,,2.32 K,
2026-01-03 22:35:00,38.8 K,,3.71 K,
2026-01-03 22:40:00,38.3 K,,2.32 K,
2026-01-03 22:45:00,38.4 K,,2.24 K,
2026-01-03 22:50:00,38.6 K,,2.18 K,
2026-01-03 22:55:00,38.7 K,,2.24 K,
2026-01-03 23:00:00,38.6 K,,2.29 K,
2026-01-03 23:05:00,38.9 K,,2.34 K,
2026-01-03 23:10:00,39.1 K,,2.27 K,
2026-01-03 23:15:00,40.1 K,,4.44 K,
2026-01-03 23:20:00,38.9 K,,2.37 K,
2026-01-03 23:25:00,38.2 K,,2.31 K,
2026-01-03 23:30:00,39.2 K,,2.22 K,
2026-01-03 23:35:00,38.7 K,,2.39 K,
2026-01-03 23:40:00,38.7 K,,2.32 K,
2026-01-03 23:45:00,38.2 K,,2.24 K,
2026-01-03 23:50:00,38.3 K,,2.37 K,
2026-01-03 23:55:00,36.9 K,14,2.78 K,3
2026-01-04 00:00:00,35.1 K,1,2.56 K,
2026-01-04 00:05:00,38.4 K,,3.38 K,
2026-01-04 00:10:00,37.9 K,,3.01 K,
2026-01-04 00:15:00,38.6 K,,3.54 K,
2026-01-04 00:20:00,38.6 K,,3.42 K,
2026-01-04 00:25:00,37.6 K,,4.24 K,
2026-01-04 00:30:00,37.8 K,,4.12 K,
2026-01-04 00:35:00,37.8 K,,2.86 K,
2026-01-04 00:40:00,38.8 K,,3.48 K,
2026-01-04 00:45:00,38.7 K,,4.50 K,
2026-01-04 00:50:00,38.6 K,,4.27 K,
2026-01-04 00:55:00,32.6 K,,2.38 K,
2026-01-04 01:00:00,34.4 K,,2.23 K,
2026-01-04 01:05:00,37.3 K,,3.22 K,
2026-01-04 01:10:00,38.2 K,,3.16 K,
2026-01-04 01:15:00,38.4 K,,2.65 K,
2026-01-04 01:20:00,38.3 K,,2.55 K,
2026-01-04 01:25:00,38.3 K,,2.84 K,
2026-01-04 01:30:00,36.7 K,,3.87 K,
2026-01-04 01:35:00,38.6 K,,4.50 K,
2026-01-04 01:40:00,39.6 K,,5.06 K,
2026-01-04 01:45:00,38.0 K,,3.21 K,
2026-01-04 01:50:00,37.7 K,,2.51 K,
2026-01-04 01:55:00,38.4 K,,2.41 K,
2026-01-04 02:00:00,39.4 K,,2.76 K,
2026-01-04 02:05:00,37.7 K,,4.25 K,
2026-01-04 02:10:00,37.2 K,,4.39 K,
2026-01-04 02:15:00,38.1 K,,2.85 K,
2026-01-04 02:20:00,38.4 K,,2.30 K,
2026-01-04 02:25:00,39.0 K,,2.25 K,
2026-01-04 02:30:00,38.8 K,,3.85 K,
2026-01-04 02:35:00,38.8 K,,4.73 K,
2026-01-04 02:40:00,36.0 K,,3.76 K,
2026-01-04 02:45:00,36.7 K,,2.72 K,
2026-01-04 02:50:00,38.2 K,,2.40 K,
2026-01-04 02:55:00,38.1 K,,2.27 K,
2026-01-04 03:00:00,38.9 K,,2.19 K,
2026-01-04 03:05:00,36.5 K,,3.74 K,
2026-01-04 03:10:00,37.7 K,,3.13 K,
2026-01-04 03:15:00,38.5 K,,2.37 K,
2026-01-04 03:20:00,38.8 K,,2.32 K,
2026-01-04 03:25:00,38.7 K,,2.22 K,
2026-01-04 03:30:00,37.8 K,,4.31 K,
2026-01-04 03:35:00,39.3 K,,4.27 K,
2026-01-04 03:40:00,38.8 K,,2.38 K,
2026-01-04 03:45:00,38.6 K,,2.15 K,
2026-01-04 03:50:00,38.9 K,,2.24 K,
2026-01-04 03:55:00,35.5 K,,2.54 K,
2026-01-04 04:00:00,38.3 K,,2.29 K,
2026-01-04 04:05:00,38.1 K,,2.17 K,
2026-01-04 04:10:00,39.0 K,,2.32 K,
2026-01-04 04:15:00,39.4 K,,2.35 K,
2026-01-04 04:20:00,38.6 K,,2.33 K,
2026-01-04 04:25:00,38.6 K,,2.27 K,
2026-01-04 04:30:00,39.5 K,,2.13 K,
2026-01-04 04:35:00,39.1 K,,2.80 K,
2026-01-04 04:40:00,38.2 K,,2.31 K,
2026-01-04 04:45:00,37.5 K,,2.42 K,
2026-01-04 04:50:00,39.0 K,,2.28 K,
2026-01-04 04:55:00,39.3 K,,2.43 K,
2026-01-04 05:00:00,39.1 K,,2.45 K,
2026-01-04 05:05:00,38.8 K,,2.30 K,
2026-01-04 05:10:00,39.1 K,,2.29 K,
2026-01-04 05:15:00,39.2 K,,2.88 K,
2026-01-04 05:20:00,39.2 K,,4.37 K,
2026-01-04 05:25:00,38.3 K,,2.19 K,
2026-01-04 05:30:00,38.0 K,,2.29 K,
2026-01-04 05:35:00,38.5 K,,2.30 K,
2026-01-04 05:40:00,39.0 K,,2.42 K,
2026-01-04 05:45:00,38.6 K,,2.32 K,
2026-01-04 05:50:00,37.8 K,,2.17 K,
2026-01-04 05:55:00,38.4 K,,2.33 K,
2026-01-04 06:00:00,39.0 K,,2.24 K,
2026-01-04 06:05:00,38.8 K,,2.40 K,
2026-01-04 06:10:00,37.6 K,,2.17 K,
2026-01-04 06:15:00,38.6 K,,2.12 K,
2026-01-04 06:20:00,38.9 K,,2.74 K,
2026-01-04 06:25:00,38.0 K,,2.26 K,
2026-01-04 06:30:00,37.8 K,,2.26 K,
2026-01-04 06:35:00,38.4 K,,2.21 K,
2026-01-04 06:40:00,39.8 K,,2.42 K,
2026-01-04 06:45:00,38.4 K,,2.19 K,
2026-01-04 06:50:00,37.8 K,,2.19 K,
2026-01-04 06:55:00,38.9 K,,2.26 K,
2026-01-04 07:00:00,38.8 K,,2.30 K,
2026-01-04 07:05:00,38.9 K,,2.38 K,
2026-01-04 07:10:00,37.8 K,,2.21 K,
2026-01-04 07:15:00,38.3 K,,2.27 K,
2026-01-04 07:20:00,38.8 K,,2.26 K,
2026-01-04 07:25:00,38.0 K,,2.30 K,
2026-01-04 07:30:00,38.2 K,,2.27 K,
2026-01-04 07:35:00,39.1 K,,2.32 K,
2026-01-04 07:40:00,39.3 K,,2.41 K,
2026-01-04 07:45:00,38.4 K,,2.70 K,
2026-01-04 07:50:00,38.4 K,,2.33 K,
2026-01-04 07:55:00,38.4 K,,2.16 K,
2026-01-04 08:00:00,39.2 K,,2.30 K,
2026-01-04 08:05:00,38.2 K,,2.37 K,
2026-01-04 08:10:00,38.9 K,,2.22 K,
2026-01-04 08:15:00,38.5 K,,2.13 K,
2026-01-04 08:20:00,39.0 K,,2.13 K,
2026-01-04 08:25:00,38.0 K,,2.35 K,
2026-01-04 08:30:00,38.7 K,,2.27 K,
2026-01-04 08:35:00,38.9 K,,2.26 K,
2026-01-04 08:40:00,39.5 K,,2.33 K,
2026-01-04 08:45:00,38.8 K,,2.40 K,
2026-01-04 08:50:00,38.9 K,,2.31 K,
2026-01-04 08:55:00,39.3 K,,2.20 K,
2026-01-04 09:00:00,38.8 K,,2.37 K,
2026-01-04 09:05:00,36.5 K,,2.45 K,
2026-01-04 09:10:00,38.2 K,,2.25 K,
2026-01-04 09:15:00,38.4 K,,2.34 K,
2026-01-04 09:20:00,38.7 K,,2.30 K,
2026-01-04 09:25:00,38.5 K,,2.38 K,
2026-01-04 09:30:00,38.8 K,,2.24 K,
2026-01-04 09:35:00,38.2 K,,2.22 K,
2026-01-04 09:40:00,39.2 K,,2.18 K,
2026-01-04 09:45:00,38.7 K,,2.30 K,
2026-01-04 09:50:00,38.9 K,,2.19 K,
