"Time","debug","error","info","warn"
2026-01-05 18:30:00,9.80 K,,,
2026-01-05 18:35:00,9.88 K,,,
2026-01-05 18:40:00,10.0 K,,3,
2026-01-05 18:45:00,19.0 K,,547,3
2026-01-05 18:50:00,37.6 K,1,4.03 K,
2026-01-05 18:55:00,40.0 K,,4.34 K,
2026-01-05 19:00:00,39.7 K,,4.59 K,
2026-01-05 19:05:00,40.5 K,,4.69 K,
2026-01-05 19:10:00,39.2 K,,4.00 K,
2026-01-05 19:15:00,37.3 K,,3.76 K,
2026-01-05 19:20:00,39.6 K,,4.42 K,
2026-01-05 19:25:00,39.1 K,,4.06 K,
2026-01-05 19:30:00,39.6 K,,3.58 K,
2026-01-05 19:35:00,43.9 K,,2.58 K,
2026-01-05 19:40:00,32.6 K,,2.32 K,
2026-01-05 19:45:00,30.6 K,,1.59 K,
2026-01-05 19:50:00,36.2 K,,3.25 K,
2026-01-05 19:55:00,32.5 K,,2.44 K,
2026-01-05 20:00:00,33.5 K,,2.79 K,
2026-01-05 20:05:00,41.9 K,,3.59 K,
2026-01-05 20:10:00,46.4 K,,2.92 K,
2026-01-05 20:15:00,39.8 K,,2.22 K,
2026-01-05 20:20:00,29.3 K,,1.46 K,
2026-01-05 20:25:00,32.4 K,,2.38 K,
2026-01-05 20:30:00,38.5 K,,2.17 K,
2026-01-05 20:35:00,46.1 K,,2.59 K,
2026-01-05 20:40:00,41.0 K,,2.16 K,
2026-01-05 20:45:00,29.8 K,,1.46 K,
2026-01-05 20:50:00,33.7 K,,1.82 K,
2026-01-05 20:55:00,46.1 K,,2.69 K,
2026-01-05 21:00:00,46.0 K,,2.56 K,
2026-01-05 21:05:00,31.3 K,,1.49 K,
2026-01-05 21:10:00,38.9 K,,2.36 K,
2026-01-05 21:15:00,46.8 K,,2.61 K,
2026-01-05 21:20:00,39.9 K,,2.13 K,
2026-01-05 21:25:00,27.9 K,,1.25 K,
2026-01-05 21:30:00,29.5 K,,1.49 K,
2026-01-05 21:35:00,42.4 K,,2.77 K,
2026-01-05 21:40:00,46.9 K,,2.69 K,
2026-01-05 21:45:00,38.9 K,,2.05 K,
2026-01-05 21:50:00,30.6 K,,1.72 K,
2026-01-05 21:55:00,44.0 K,,2.41 K,
2026-01-05 22:00:00,40.8 K,3,2.06 K,1
2026-01-05 22:05:00,25.8 K,310,1.02 K,6
2026-01-05 22:10:00,26.0 K,20,1.07 K,25
2026-01-05 22:15:00,20.5 K,31,964,
2026-01-05 22:20:00,20.4 K,31,960,
2026-01-05 22:25:00,20.5 K,30,974,
2026-01-05 22:30:00,19.7 K,31,962,
2026-01-05 22:35:00,19.9 K,31,960,
2026-01-05 22:40:00,20.5 K,32,984,
2026-01-05 22:45:00,20.1 K,30,963,
2026-01-05 22:50:00,20.8 K,31,969,
2026-01-05 22:55:00,19.8 K,31,956,
2026-01-05 23:00:00,22.0 K,16,1.05 K,2
2026-01-05 23:05:00,35.6 K,1,2.37 K,
2026-01-05 23:10:00,37.7 K,,1.75 K,
2026-01-05 23:15:00,37.5 K,,1.78 K,
2026-01-05 23:20:00,34.8 K,,2.30 K,
2026-01-05 23:25:00,32.2 K,,2.80 K,
2026-01-05 23:30:00,35.6 K,,1.84 K,
2026-01-05 23:35:00,37.7 K,,1.86 K,
2026-01-05 23:40:00,37.1 K,,1.77 K,
2026-01-05 23:45:00,36.3 K,,2.08 K,
2026-01-05 23:50:00,37.1 K,,1.74 K,
2026-01-05 23:55:00,38.1 K,,1.76 K,
2026-01-06 00:00:00,37.7 K,,1.81 K,
2026-01-06 00:05:00,37.5 K,,1.84 K,
2026-01-06 00:10:00,38.1 K,,1.65 K,
2026-01-06 00:15:00,37.4 K,,1.74 K,
2026-01-06 00:20:00,37.1 K,,1.73 K,
2026-01-06 00:25:00,34.8 K,,1.52 K,
2026-01-06 00:30:00,36.9 K,,2.32 K,
2026-01-06 00:35:00,38.9 K,,2.57 K,
2026-01-06 00:40:00,35.1 K,,2.08 K,
2026-01-06 00:45:00,38.8 K,,2.54 K,
2026-01-06 00:50:00,36.4 K,,1.90 K,
2026-01-06 00:55:00,26.7 K,,1.21 K,
2026-01-06 01:00:00,28.0 K,,1.32 K,
2026-01-06 01:05:00,30.3 K,,1.45 K,
2026-01-06 01:10:00,29.9 K,,1.39 K,
2026-01-06 01:15:00,33.0 K,,1.90 K,
2026-01-06 01:20:00,36.7 K,,2.39 K,
2026-01-06 01:25:00,40.2 K,,2.75 K,
2026-01-06 01:30:00,45.1 K,,2.80 K,
2026-01-06 01:35:00,36.4 K,,1.88 K,
2026-01-06 01:40:00,27.2 K,,1.20 K,
2026-01-06 01:45:00,29.0 K,,1.40 K,
2026-01-06 01:50:00,28.6 K,,1.34 K,
2026-01-06 01:55:00,41.7 K,,2.41 K,
2026-01-06 02:00:00,43.6 K,,2.37 K,
2026-01-06 02:05:00,27.6 K,,1.27 K,
2026-01-06 02:10:00,29.5 K,,1.42 K,
2026-01-06 02:15:00,27.8 K,,1.25 K,
2026-01-06 02:20:00,27.7 K,,1.30 K,
2026-01-06 02:25:00,31.8 K,,1.65 K,
2026-01-06 02:30:00,45.0 K,,2.64 K,
2026-01-06 02:35:00,46.4 K,,2.73 K,
2026-01-06 02:40:00,29.7 K,,1.39 K,
2026-01-06 02:45:00,27.1 K,1,1.30 K,
2026-01-06 02:50:00,41.3 K,,2.71 K,
2026-01-06 02:55:00,46.4 K,,2.64 K,
2026-01-06 03:00:00,38.3 K,,1.99 K,
2026-01-06 03:05:00,28.3 K,,1.30 K,
2026-01-06 03:10:00,37.5 K,,2.08 K,
2026-01-06 03:15:00,45.4 K,,2.49 K,
2026-01-06 03:20:00,43.5 K,,2.45 K,
2026-01-06 03:25:00,31.5 K,,1.52 K,
2026-01-06 03:30:00,45.5 K,,2.57 K,
2026-01-06 03:35:00,46.7 K,,2.55 K,
2026-01-06 03:40:00,26.6 K,,1.20 K,
2026-01-06 03:45:00,27.7 K,1,1.32 K,
2026-01-06 03:50:00,40.9 K,,2.21 K,
2026-01-06 03:55:00,45.7 K,,2.46 K,
2026-01-06 04:00:00,40.5 K,,2.16 K,
2026-01-06 04:05:00,44.3 K,,2.75 K,
2026-01-06 04:10:00,48.6 K,,2.90 K,
2026-01-06 04:15:00,37.4 K,,2.04 K,
2026-01-06 04:20:00,37.3 K,,2.01 K,
2026-01-06 04:25:00,47.4 K,,2.72 K,
2026-01-06 04:30:00,45.3 K,,2.55 K,
2026-01-06 04:35:00,36.0 K,,1.86 K,
2026-01-06 04:40:00,47.3 K,,2.69 K,
2026-01-06 04:45:00,47.4 K,,2.81 K,
2026-01-06 04:50:00,42.8 K,,2.39 K,
2026-01-06 04:55:00,47.2 K,,2.97 K,
2026-01-06 05:00:00,47.7 K,,2.86 K,
2026-01-06 05:05:00,45.9 K,6,2.65 K,
2026-01-06 05:10:00,47.4 K,,2.72 K,
2026-01-06 05:15:00,46.7 K,,2.74 K,
2026-01-06 05:20:00,47.3 K,,2.73 K,
2026-01-06 05:25:00,46.5 K,,2.79 K,
2026-01-06 05:30:00,46.8 K,,2.78 K,
2026-01-06 05:35:00,47.7 K,,2.76 K,
2026-01-06 05:40:00,44.8 K,,2.65 K,
2026-01-06 05:45:00,47.5 K,,2.60 K,
2026-01-06 05:50:00,42.3 K,,2.43 K,
2026-01-06 05:55:00,46.6 K,,2.64 K,
2026-01-06 06:00:00,48.3 K,,2.69 K,
2026-01-06 06:05:00,46.4 K,,2.93 K,
2026-01-06 06:10:00,46.9 K,,2.73 K,
2026-01-06 06:15:00,44.5 K,,2.61 K,
2026-01-06 06:20:00,41.7 K,,2.33 K,
2026-01-06 06:25:00,47.2 K,,2.80 K,
2026-01-06 06:30:00,47.1 K,,2.77 K,
2026-01-06 06:35:00,46.7 K,,2.84 K,
2026-01-06 06:40:00,47.5 K,,2.79 K,
2026-01-06 06:45:00,46.0 K,,2.69 K,
2026-01-06 06:50:00,47.6 K,,2.77 K,
2026-01-06 06:55:00,47.1 K,,2.83 K,
2026-01-06 07:00:00,47.2 K,,2.77 K,
2026-01-06 07:05:00,47.2 K,,2.69 K,
2026-01-06 07:10:00,44.9 K,,2.54 K,
2026-01-06 07:15:00,46.9 K,,2.74 K,
2026-01-06 07:20:00,47.3 K,,2.95 K,
2026-01-06 07:25:00,46.5 K,,2.69 K,
2026-01-06 07:30:00,47.4 K,,2.86 K,
2026-01-06 07:35:00,41.1 K,,2.28 K,
2026-01-06 07:40:00,47.3 K,,2.70 K,
2026-01-06 07:45:00,47.1 K,,2.83 K,
2026-01-06 07:50:00,46.9 K,,2.71 K,
2026-01-06 07:55:00,47.6 K,,2.75 K,
2026-01-06 08:00:00,46.2 K,,2.92 K,
2026-01-06 08:05:00,47.5 K,,2.77 K,
2026-01-06 08:10:00,47.2 K,11,2.69 K,
2026-01-06 08:15:00,46.9 K,,2.73 K,
2026-01-06 08:20:00,47.8 K,,2.64 K,
2026-01-06 08:25:00,46.8 K,,2.83 K,
2026-01-06 08:30:00,47.7 K,,2.84 K,
2026-01-06 08:35:00,46.7 K,,2.65 K,
2026-01-06 08:40:00,46.5 K,,2.69 K,
2026-01-06 08:45:00,47.7 K,,2.65 K,
2026-01-06 08:50:00,45.7 K,,2.66 K,
2026-01-06 08:55:00,46.3 K,,2.74 K,
2026-01-06 09:00:00,45.9 K,,2.83 K,
2026-01-06 09:05:00,39.0 K,,2.24 K,
2026-01-06 09:10:00,46.9 K,,2.72 K,
2026-01-06 09:15:00,45.6 K,,2.52 K,
2026-01-06 09:20:00,47.0 K,,2.76 K,
2026-01-06 09:25:00,48.3 K,,2.82 K,
2026-01-06 09:30:00,34.5 K,,1.76 K,
2026-01-06 09:35:00,46.9 K,,2.94 K,
2026-01-06 09:40:00,47.9 K,,2.70 K,
2026-01-06 09:45:00,47.2 K,,2.84 K,
2026-01-06 09:50:00,46.1 K,,2.62 K,
2026-01-06 09:55:00,47.1 K,,2.76 K,
2026-01-06 10:00:00,47.0 K,,2.82 K,
2026-01-06 10:05:00,47.3 K,,2.72 K,
2026-01-06 10:10:00,47.2 K,,2.75 K,
2026-01-06 10:15:00,47.2 K,,2.70 K,
2026-01-06 10:20:00,47.7 K,,3.02 K,
2026-01-06 10:25:00,47.4 K,,2.72 K,
2026-01-06 10:30:00,48.0 K,,2.65 K,
2026-01-06 10:35:00,46.7 K,,2.75 K,
2026-01-06 10:40:00,48.3 K,,2.85 K,
2026-01-06 10:45:00,46.8 K,,2.74 K,
2026-01-06 10:50:00,47.4 K,,2.66 K,
2026-01-06 10:55:00,47.5 K,,2.68 K,
2026-01-06 11:00:00,46.5 K,,2.68 K,
2026-01-06 11:05:00,47.2 K,,2.63 K,
2026-01-06 11:10:00,47.0 K,,2.64 K,
2026-01-06 11:15:00,46.8 K,,2.61 K,
2026-01-06 11:20:00,48.2 K,,2.75 K,
2026-01-06 11:25:00,45.5 K,,3.26 K,
2026-01-06 11:30:00,45.8 K,,3.57 K,
2026-01-06 11:35:00,45.8 K,,3.50 K,
2026-01-06 11:40:00,45.8 K,,3.40 K,
2026-01-06 11:45:00,45.1 K,,3.47 K,
2026-01-06 11:50:00,46.3 K,,3.51 K,
2026-01-06 11:55:00,46.0 K,,3.44 K,
2026-01-06 12:00:00,45.3 K,,3.50 K,
2026-01-06 12:05:00,45.4 K,,3.51 K,
2026-01-06 12:10:00,45.8 K,,3.40 K,
2026-01-06 12:15:00,45.7 K,,3.52 K,
2026-01-06 12:20:00,45.5 K,,3.58 K,
2026-01-06 12:25:00,45.4 K,,3.35 K,
2026-01-06 12:30:00,45.3 K,,3.50 K,
2026-01-06 12:35:00,45.6 K,,3.46 K,
2026-01-06 12:40:00,45.4 K,,3.41 K,
2026-01-06 12:45:00,45.4 K,,3.48 K,
2026-01-06 12:50:00,45.8 K,,3.59 K,
2026-01-06 12:55:00,46.0 K,,3.57 K,
2026-01-06 13:00:00,45.3 K,,3.32 K,
2026-01-06 13:05:00,44.2 K,,3.54 K,
2026-01-06 13:10:00,45.8 K,,3.51 K,
2026-01-06 13:15:00,45.6 K,,3.49 K,
2026-01-06 13:20:00,45.4 K,,3.55 K,
2026-01-06 13:25:00,46.3 K,,3.58 K,
2026-01-06 13:30:00,45.2 K,,3.47 K,
2026-01-06 13:35:00,45.7 K,,3.49 K,
2026-01-06 13:40:00,45.6 K,,3.58 K,
2026-01-06 13:45:00,45.7 K,,3.52 K,
2026-01-06 13:50:00,45.5 K,,3.52 K,
2026-01-06 13:55:00,45.3 K,,3.55 K,
2026-01-06 14:00:00,45.8 K,,3.56 K,
2026-01-06 14:05:00,45.0 K,,3.32 K,
2026-01-06 14:10:00,44.5 K,8,3.32 K,
2026-01-06 14:15:00,45.2 K,,3.50 K,
2026-01-06 14:20:00,45.8 K,,3.38 K,
2026-01-06 14:25:00,44.9 K,,3.34 K,
2026-01-06 14:30:00,45.7 K,,3.56 K,
2026-01-06 14:35:00,45.6 K,,3.48 K,
2026-01-06 14:40:00,45.6 K,,3.54 K,
2026-01-06 14:45:00,45.7 K,1,3.60 K,
2026-01-06 14:50:00,45.9 K,,3.40 K,
2026-01-06 14:55:00,45.5 K,,3.52 K,
2026-01-06 15:00:00,45.7 K,,3.67 K,
2026-01-06 15:05:00,45.2 K,,3.30 K,
2026-01-06 15:10:00,45.1 K,,3.54 K,
2026-01-06 15:15:00,45.0 K,,3.50 K,
2026-01-06 15:20:00,45.3 K,,3.40 K,
2026-01-06 15:25:00,44.9 K,,3.39 K,
2026-01-06 15:30:00,40.0 K,2,5.26 K,
2026-01-06 15:35:00,47.1 K,4,2.67 K,
2026-01-06 15:40:00,43.5 K,,3.96 K,
2026-01-06 15:45:00,41.8 K,4,3.98 K,
2026-01-06 15:50:00,47.1 K,,2.70 K,
2026-01-06 15:55:00,42.4 K,,4.36 K,
2026-01-06 16:00:00,39 K,,5.03 K,
2026-01-06 16:05:00,39.3 K,,4.81 K,
2026-01-06 16:10:00,44.1 K,,3.03 K,
2026-01-06 16:15:00,47.6 K,,2.70 K,
2026-01-06 16:20:00,46.9 K,,2.69 K,
2026-01-06 16:25:00,46.6 K,,2.64 K,
2026-01-06 16:30:00,45.8 K,,3.01 K,
2026-01-06 16:35:00,39.4 K,,5.56 K,
2026-01-06 16:40:00,44.1 K,,3.78 K,
2026-01-06 16:45:00,47.2 K,,2.79 K,
2026-01-06 16:50:00,47.9 K,,2.69 K,
2026-01-06 16:55:00,38.4 K,,3.14 K,
2026-01-06 17:00:00,46.8 K,,2.72 K,2
2026-01-06 17:05:00,46.9 K,,2.69 K,
2026-01-06 17:10:00,47.1 K,,2.83 K,
2026-01-06 17:15:00,47.0 K,,2.74 K,
2026-01-06 17:20:00,46.7 K,,2.78 K,
2026-01-06 17:25:00,47.2 K,,2.72 K,
2026-01-06 17:30:00,45.9 K,,3.38 K,
2026-01-06 17:35:00,45.4 K,,3.44 K,
2026-01-06 17:40:00,45.3 K,,3.49 K,
2026-01-06 17:45:00,45.5 K,,3.57 K,
2026-01-06 17:50:00,45.8 K,,3.39 K,
2026-01-06 17:55:00,45.6 K,,3.54 K,
2026-01-06 18:00:00,45.8 K,,3.42 K,
2026-01-06 18:05:00,45.3 K,,3.45 K,
2026-01-06 18:10:00,45.4 K,,3.47 K,
2026-01-06 18:15:00,45.6 K,,3.48 K,
2026-01-06 18:20:00,45.6 K,,3.54 K,
2026-01-06 18:25:00,45.1 K,,3.33 K,
2026-01-06 18:30:00,45.6 K,,3.64 K,
2026-01-06 18:35:00,46.0 K,,3.53 K,
