"Time","sum:resnet_americas_03e4b61/gateway1","sum:resnet_americas_03e4b61/scheduler","sum:resnet_americas_03e4b61/worker1","sum:resnet_americas_03e4b61/worker3","sum:resnet_americas_03e4b61/worker4","sum:resnet_americas_03e4b61/worker6"
2026-01-05 18:30:00,103 MB,,2.35 TB,6.44 TB,2.39 TB,2.33 TB
2026-01-05 18:35:00,103 MB,,2.35 TB,6.44 TB,2.39 TB,2.33 TB
2026-01-05 18:40:00,103 MB,,2.35 TB,6.44 TB,2.39 TB,2.33 TB
2026-01-05 18:45:00,104 MB,268 kB,2.36 TB,6.44 TB,2.39 TB,2.34 TB
2026-01-05 18:50:00,104 MB,1.03 MB,2.38 TB,6.44 TB,2.40 TB,2.35 TB
2026-01-05 18:55:00,104 MB,1.77 MB,2.40 TB,6.44 TB,2.40 TB,2.37 TB
2026-01-05 19:00:00,104 MB,2.56 MB,2.43 TB,6.45 TB,2.41 TB,2.38 TB
2026-01-05 19:05:00,105 MB,3.40 MB,2.45 TB,6.45 TB,2.41 TB,2.39 TB
2026-01-05 19:10:00,105 MB,4.15 MB,2.47 TB,6.45 TB,2.42 TB,2.41 TB
2026-01-05 19:15:00,105 MB,4.85 MB,2.50 TB,6.46 TB,2.42 TB,2.42 TB
2026-01-05 19:20:00,105 MB,5.57 MB,2.52 TB,6.46 TB,2.43 TB,2.43 TB
2026-01-05 19:25:00,105 MB,6.36 MB,2.55 TB,6.46 TB,2.43 TB,2.45 TB
2026-01-05 19:30:00,105 MB,7.13 MB,2.55 TB,6.47 TB,2.44 TB,2.45 TB
2026-01-05 19:35:00,105 MB,7.95 MB,2.56 TB,6.48 TB,2.44 TB,2.46 TB
2026-01-05 19:40:00,105 MB,8.65 MB,2.56 TB,6.48 TB,2.45 TB,2.46 TB
2026-01-05 19:45:00,105 MB,9.20 MB,2.56 TB,6.48 TB,2.45 TB,2.46 TB
2026-01-05 19:50:00,106 MB,9.89 MB,2.56 TB,6.49 TB,2.46 TB,2.46 TB
2026-01-05 19:55:00,106 MB,10.5 MB,2.56 TB,6.49 TB,2.46 TB,2.48 TB
2026-01-05 20:00:00,106 MB,11.1 MB,2.56 TB,6.49 TB,2.47 TB,2.48 TB
