"Time","in:resnet_americas_03e4b61","out:resnet_americas_03e4b61","sum:resnet_americas_03e4b61"
2026-01-05 18:30:00,7.08 TB,6.44 TB,13.5 TB
2026-01-05 18:32:00,7.08 TB,6.44 TB,13.5 TB
2026-01-05 18:34:00,7.08 TB,6.44 TB,13.5 TB
2026-01-05 18:36:00,7.08 TB,6.44 TB,13.5 TB
2026-01-05 18:38:00,7.08 TB,6.44 TB,13.5 TB
2026-01-05 18:40:00,7.08 TB,6.44 TB,13.5 TB
2026-01-05 18:42:00,7.08 TB,6.44 TB,13.5 TB
2026-01-05 18:44:00,7.08 TB,6.44 TB,13.5 TB
2026-01-05 18:46:00,7.09 TB,6.44 TB,13.5 TB
2026-01-05 18:48:00,7.11 TB,6.44 TB,13.6 TB
2026-01-05 18:50:00,7.13 TB,6.44 TB,13.6 TB
2026-01-05 18:52:00,7.15 TB,6.44 TB,13.6 TB
2026-01-05 18:54:00,7.16 TB,6.44 TB,13.6 TB
2026-01-05 18:56:00,7.18 TB,6.44 TB,13.6 TB
2026-01-05 18:58:00,7.20 TB,6.45 TB,13.6 TB
2026-01-05 19:00:00,7.22 TB,6.45 TB,13.7 TB
2026-01-05 19:02:00,7.23 TB,6.45 TB,13.7 TB
2026-01-05 19:04:00,7.25 TB,6.45 TB,13.7 TB
2026-01-05 19:06:00,7.26 TB,6.45 TB,13.7 TB
2026-01-05 19:08:00,7.28 TB,6.45 TB,13.7 TB
2026-01-05 19:10:00,7.30 TB,6.45 TB,13.8 TB
2026-01-05 19:12:00,7.31 TB,6.46 TB,13.8 TB
2026-01-05 19:14:00,7.33 TB,6.46 TB,13.8 TB
2026-01-05 19:16:00,7.35 TB,6.46 TB,13.8 TB
2026-01-05 19:18:00,7.37 TB,6.46 TB,13.8 TB
2026-01-05 19:20:00,7.38 TB,6.46 TB,13.8 TB
2026-01-05 19:22:00,7.40 TB,6.46 TB,13.9 TB
2026-01-05 19:24:00,7.42 TB,6.46 TB,13.9 TB
2026-01-05 19:26:00,7.43 TB,6.47 TB,13.9 TB
2026-01-05 19:28:00,7.44 TB,6.47 TB,13.9 TB
2026-01-05 19:30:00,7.45 TB,6.47 TB,13.9 TB
2026-01-05 19:32:00,7.45 TB,6.47 TB,13.9 TB
