"Time","db462338-c776-4d76-a31e-91c195592a51"
2026-01-05 18:46:00,31.3 s
2026-01-05 18:48:00,6.74 s
2026-01-05 18:50:00,27.0 s
2026-01-05 18:52:00,10.4 s
2026-01-05 18:54:00,21.5 s
2026-01-05 18:56:00,18.5 s
2026-01-05 18:58:00,20.5 s
2026-01-05 19:00:00,33.2 s
2026-01-05 19:02:00,16.8 s
2026-01-05 19:04:00,19.8 s
2026-01-05 19:06:00,26.9 s
2026-01-05 19:08:00,15.3 s
2026-01-05 19:10:00,47.5 s
2026-01-05 19:12:00,17.9 s
2026-01-05 19:14:00,14.3 s
2026-01-05 19:16:00,15.8 s
2026-01-05 19:18:00,17.6 s
2026-01-05 19:20:00,8.06 s
2026-01-05 19:22:00,17.4 s
2026-01-05 19:24:00,10.8 s
2026-01-05 19:26:00,6.54 s
2026-01-05 19:28:00,23.7 s
2026-01-05 19:30:00,12.5 s
2026-01-05 19:32:00,7.50 s
2026-01-05 19:34:00,5.68 s
2026-01-05 19:36:00,7.97 s
2026-01-05 19:38:00,1.02 mins
2026-01-05 19:40:00,40.0 s
2026-01-05 19:42:00,11.7 s
2026-01-05 19:44:00,33.8 s
2026-01-05 19:46:00,14.7 s
2026-01-05 19:48:00,6.51 s
2026-01-05 19:50:00,11.4 s
2026-01-05 19:52:00,26.6 s
2026-01-05 19:54:00,25.0 s
2026-01-05 19:56:00,10.2 s
2026-01-05 19:58:00,9.91 s
2026-01-05 20:00:00,55.0 s
2026-01-05 20:02:00,51.7 s
2026-01-05 20:04:00,8.68 s
2026-01-05 20:06:00,6.30 s
2026-01-05 20:08:00,6.38 s
2026-01-05 20:10:00,6.36 s
2026-01-05 20:12:00,6.55 s
2026-01-05 20:14:00,5.59 s
2026-01-05 20:16:00,21.0 s
2026-01-05 20:18:00,13.7 s
2026-01-05 20:20:00,5.55 s
2026-01-05 20:22:00,7.45 s
2026-01-05 20:24:00,5.96 s
2026-01-05 20:26:00,16.2 s
2026-01-05 20:28:00,16.0 s
2026-01-05 20:30:00,5.54 s
2026-01-05 20:32:00,5.56 s
2026-01-05 20:34:00,5.75 s
2026-01-05 20:36:00,8.14 s
2026-01-05 20:38:00,6.28 s
2026-01-05 20:40:00,6.53 s
2026-01-05 20:42:00,12.3 s
2026-01-05 20:44:00,8.82 s
2026-01-05 20:46:00,12.2 s
2026-01-05 20:48:00,22.5 s
2026-01-05 20:50:00,5.75 s
2026-01-05 20:52:00,7.48 s
2026-01-05 20:54:00,8.84 s
2026-01-05 20:56:00,6.24 s
2026-01-05 20:58:00,5.47 s
2026-01-05 21:00:00,5.74 s
2026-01-05 21:02:00,6.30 s
2026-01-05 21:04:00,46.9 s
2026-01-05 21:06:00,43.6 s
2026-01-05 21:08:00,20.5 s
2026-01-05 21:10:00,6.19 s
2026-01-05 21:12:00,6.39 s
2026-01-05 21:14:00,5.78 s
2026-01-05 21:16:00,6.27 s
2026-01-05 21:18:00,7.70 s
2026-01-05 21:20:00,25.8 s
2026-01-05 21:22:00,43.4 s
2026-01-05 21:24:00,7.23 s
2026-01-05 21:26:00,45.1 s
2026-01-05 21:28:00,11.9 s
2026-01-05 21:30:00,40.6 s
2026-01-05 21:32:00,11.4 s
2026-01-05 21:34:00,6.49 s
2026-01-05 21:36:00,6.70 s
2026-01-05 21:38:00,6.86 s
2026-01-05 21:40:00,6.64 s
2026-01-05 21:42:00,5.34 s
2026-01-05 21:44:00,6.67 s
2026-01-05 21:46:00,7.21 s
2026-01-05 21:48:00,10.1 s
2026-01-05 21:50:00,25.9 s
2026-01-05 21:52:00,11.7 s
2026-01-05 21:54:00,5.79 s
2026-01-05 21:56:00,5.58 s
2026-01-05 21:58:00,5.65 s
2026-01-05 22:00:00,7.32 s
2026-01-05 22:02:00,36.6 s
2026-01-05 22:04:00,36.8 s
2026-01-05 22:06:00,1.09 mins
2026-01-05 22:08:00,11.3 s
2026-01-05 22:10:00,11.3 s
2026-01-05 22:12:00,1.21 mins
2026-01-05 22:14:00,1.21 mins
2026-01-05 22:16:00,1.21 mins
2026-01-05 22:18:00,1.21 mins
2026-01-05 22:20:00,1.21 mins
2026-01-05 22:22:00,1.20 mins
2026-01-05 22:24:00,51.8 s
2026-01-05 22:26:00,51.8 s
2026-01-05 22:28:00,1.07 mins
2026-01-05 22:30:00,1.07 mins
2026-01-05 22:32:00,1.20 mins
2026-01-05 22:34:00,1.20 mins
2026-01-05 22:36:00,1.20 mins
2026-01-05 22:38:00,1.20 mins
2026-01-05 22:40:00,1.20 mins
2026-01-05 22:42:00,1.20 mins
2026-01-05 22:44:00,1.20 mins
2026-01-05 22:46:00,1.20 mins
2026-01-05 22:48:00,1.20 mins
2026-01-05 22:50:00,51.8 s
2026-01-05 22:52:00,51.8 s
2026-01-05 22:54:00,1.08 mins
2026-01-05 22:56:00,1.08 mins
2026-01-05 22:58:00,1.16 mins
2026-01-05 23:00:00,1.16 mins
2026-01-05 23:02:00,6.46 s
2026-01-05 23:04:00,8.65 s
2026-01-05 23:06:00,7.91 s
2026-01-05 23:08:00,6.71 s
2026-01-05 23:10:00,7.19 s
2026-01-05 23:12:00,6.48 s
2026-01-05 23:14:00,7.67 s
2026-01-05 23:16:00,7.74 s
2026-01-05 23:18:00,7.63 s
2026-01-05 23:20:00,17.0 s
2026-01-05 23:22:00,21.8 s
2026-01-05 23:24:00,16.0 s
2026-01-05 23:26:00,26.6 s
2026-01-05 23:28:00,7.85 s
2026-01-05 23:30:00,9.57 s
2026-01-05 23:32:00,6.47 s
