"Time","Value"
2026-01-05 18:30:00,113
2026-01-05 18:35:00,90
2026-01-05 18:40:00,67
2026-01-05 18:45:00,47
2026-01-05 18:50:00,36
2026-01-05 18:55:00,26
2026-01-05 19:00:00,34
2026-01-05 19:05:00,44
2026-01-05 19:10:00,56
2026-01-05 19:15:00,67
2026-01-05 19:20:00,78
2026-01-05 19:25:00,90
2026-01-05 19:30:00,107
2026-01-05 19:35:00,136
2026-01-05 19:40:00,144
2026-01-05 19:45:00,152
2026-01-05 19:50:00,153
2026-01-05 19:55:00,149
2026-01-05 20:00:00,146
2026-01-05 20:05:00,156
2026-01-05 20:10:00,175
2026-01-05 20:15:00,187
2026-01-05 20:20:00,184
2026-01-05 20:25:00,180
2026-01-05 20:30:00,184
2026-01-05 20:35:00,187
2026-01-05 20:40:00,204
2026-01-05 20:45:00,203
2026-01-05 20:50:00,206
2026-01-05 20:55:00,230
2026-01-05 21:00:00,254
2026-01-05 21:05:00,244
2026-01-05 21:10:00,234
2026-01-05 21:15:00,243
2026-01-05 21:20:00,257
2026-01-05 21:25:00,254
2026-01-05 21:30:00,240
2026-01-05 21:35:00,232
2026-01-05 21:40:00,241
2026-01-05 21:45:00,253
2026-01-05 21:50:00,247
2026-01-05 21:55:00,245
2026-01-05 22:00:00,238
2026-01-05 22:05:00,230
2026-01-05 22:10:00,211
2026-01-05 22:15:00,180
2026-01-05 22:20:00,159
2026-01-05 22:25:00,155
2026-01-05 22:30:00,149
2026-01-05 22:35:00,126
2026-01-05 22:40:00,94
2026-01-05 22:45:00,75
2026-01-05 22:50:00,68
2026-01-05 22:55:00,39
2026-01-05 23:00:00,15
2026-01-05 23:05:00,35
2026-01-05 23:10:00,59
2026-01-05 23:15:00,84
2026-01-05 23:20:00,102
2026-01-05 23:25:00,112
2026-01-05 23:30:00,135
2026-01-05 23:35:00,159
2026-01-05 23:40:00,182
2026-01-05 23:45:00,203
2026-01-05 23:50:00,228
2026-01-05 23:55:00,253
2026-01-06 00:00:00,278
2026-01-06 00:05:00,283
2026-01-06 00:10:00,284
2026-01-06 00:15:00,283
2026-01-06 00:20:00,291
2026-01-06 00:25:00,298
2026-01-06 00:30:00,292
2026-01-06 00:35:00,287
2026-01-06 00:40:00,278
2026-01-06 00:45:00,276
2026-01-06 00:50:00,269
2026-01-06 00:55:00,247
2026-01-06 01:00:00,228
2026-01-06 01:05:00,210
2026-01-06 01:10:00,192
2026-01-06 01:15:00,180
2026-01-06 01:20:00,171
2026-01-06 01:25:00,174
2026-01-06 01:30:00,185
2026-01-06 01:35:00,184
2026-01-06 01:40:00,173
2026-01-06 01:45:00,160
2026-01-06 01:50:00,148
2026-01-06 01:55:00,171
2026-01-06 02:00:00,192
2026-01-06 02:05:00,189
2026-01-06 02:10:00,188
2026-01-06 02:15:00,181
2026-01-06 02:20:00,169
2026-01-06 02:25:00,160
2026-01-06 02:30:00,161
2026-01-06 02:35:00,174
2026-01-06 02:40:00,178
2026-01-06 02:45:00,176
2026-01-06 02:50:00,193
2026-01-06 02:55:00,197
2026-01-06 03:00:00,190
2026-01-06 03:05:00,191
2026-01-06 03:10:00,204
2026-01-06 03:15:00,228
2026-01-06 03:20:00,251
2026-01-06 03:25:00,251
2026-01-06 03:30:00,253
2026-01-06 03:35:00,254
2026-01-06 03:40:00,248
2026-01-06 03:45:00,249
2026-01-06 03:50:00,251
2026-01-06 03:55:00,251
2026-01-06 04:00:00,254
2026-01-06 04:05:00,275
2026-01-06 04:10:00,287
2026-01-06 04:15:00,276
2026-01-06 04:20:00,267
2026-01-06 04:25:00,287
2026-01-06 04:30:00,285
2026-01-06 04:35:00,269
2026-01-06 04:40:00,299
2026-01-06 04:45:00,326
2026-01-06 04:50:00,327
2026-01-06 04:55:00,326
2026-01-06 05:00:00,335
2026-01-06 05:05:00,338
2026-01-06 05:10:00,338
2026-01-06 05:15:00,352
2026-01-06 05:20:00,365
2026-01-06 05:25:00,365
2026-01-06 05:30:00,367
2026-01-06 05:35:00,383
2026-01-06 05:40:00,381
2026-01-06 05:45:00,381
2026-01-06 05:50:00,380
2026-01-06 05:55:00,383
2026-01-06 06:00:00,383
2026-01-06 06:05:00,384
2026-01-06 06:10:00,383
2026-01-06 06:15:00,379
2026-01-06 06:20:00,373
2026-01-06 06:25:00,372
2026-01-06 06:30:00,373
2026-01-06 06:35:00,373
2026-01-06 06:40:00,374
2026-01-06 06:45:00,373
2026-01-06 06:50:00,379
2026-01-06 06:55:00,379
2026-01-06 07:00:00,379
2026-01-06 07:05:00,380
2026-01-06 07:10:00,379
2026-01-06 07:15:00,382
2026-01-06 07:20:00,387
2026-01-06 07:25:00,388
2026-01-06 07:30:00,387
2026-01-06 07:35:00,379
2026-01-06 07:40:00,380
2026-01-06 07:45:00,380
2026-01-06 07:50:00,381
2026-01-06 07:55:00,381
2026-01-06 08:00:00,379
2026-01-06 08:05:00,378
2026-01-06 08:10:00,378
2026-01-06 08:15:00,378
2026-01-06 08:20:00,380
2026-01-06 08:25:00,381
2026-01-06 08:30:00,382
2026-01-06 08:35:00,389
2026-01-06 08:40:00,388
2026-01-06 08:45:00,390
2026-01-06 08:50:00,388
2026-01-06 08:55:00,386
2026-01-06 09:00:00,385
2026-01-06 09:05:00,375
2026-01-06 09:10:00,377
2026-01-06 09:15:00,376
2026-01-06 09:20:00,375
2026-01-06 09:25:00,375
2026-01-06 09:30:00,358
2026-01-06 09:35:00,357
2026-01-06 09:40:00,359
2026-01-06 09:45:00,358
2026-01-06 09:50:00,359
2026-01-06 09:55:00,360
2026-01-06 10:00:00,362
2026-01-06 10:05:00,373
2026-01-06 10:10:00,373
2026-01-06 10:15:00,375
2026-01-06 10:20:00,374
2026-01-06 10:25:00,374
2026-01-06 10:30:00,392
2026-01-06 10:35:00,394
2026-01-06 10:40:00,393
2026-01-06 10:45:00,393
2026-01-06 10:50:00,394
2026-01-06 10:55:00,395
2026-01-06 11:00:00,396
2026-01-06 11:05:00,395
2026-01-06 11:10:00,396
2026-01-06 11:15:00,397
2026-01-06 11:20:00,398
2026-01-06 11:25:00,392
2026-01-06 11:30:00,383
2026-01-06 11:35:00,375
2026-01-06 11:40:00,369
2026-01-06 11:45:00,361
2026-01-06 11:50:00,353
2026-01-06 11:55:00,347
2026-01-06 12:00:00,338
2026-01-06 12:05:00,331
2026-01-06 12:10:00,323
2026-01-06 12:15:00,314
2026-01-06 12:20:00,305
2026-01-06 12:25:00,304
2026-01-06 12:30:00,305
2026-01-06 12:35:00,305
2026-01-06 12:40:00,303
2026-01-06 12:45:00,304
2026-01-06 12:50:00,304
2026-01-06 12:55:00,301
2026-01-06 13:00:00,304
2026-01-06 13:05:00,302
2026-01-06 13:10:00,301
2026-01-06 13:15:00,302
2026-01-06 13:20:00,302
2026-01-06 13:25:00,301
2026-01-06 13:30:00,301
2026-01-06 13:35:00,301
2026-01-06 13:40:00,301
2026-01-06 13:45:00,300
2026-01-06 13:50:00,300
2026-01-06 13:55:00,301
2026-01-06 14:00:00,298
2026-01-06 14:05:00,301
2026-01-06 14:10:00,301
2026-01-06 14:15:00,300
2026-01-06 14:20:00,302
2026-01-06 14:25:00,303
2026-01-06 14:30:00,301
2026-01-06 14:35:00,303
2026-01-06 14:40:00,302
2026-01-06 14:45:00,302
2026-01-06 14:50:00,304
2026-01-06 14:55:00,304
2026-01-06 15:00:00,304
2026-01-06 15:05:00,305
2026-01-06 15:10:00,304
2026-01-06 15:15:00,304
2026-01-06 15:20:00,302
2026-01-06 15:25:00,303
2026-01-06 15:30:00,283
2026-01-06 15:35:00,289
2026-01-06 15:40:00,284
2026-01-06 15:45:00,276
2026-01-06 15:50:00,283
2026-01-06 15:55:00,272
2026-01-06 16:00:00,253
2026-01-06 16:05:00,233
2026-01-06 16:10:00,235
2026-01-06 16:15:00,244
2026-01-06 16:20:00,252
2026-01-06 16:25:00,258
2026-01-06 16:30:00,282
2026-01-06 16:35:00,251
2026-01-06 16:40:00,254
2026-01-06 16:45:00,270
2026-01-06 16:50:00,269
2026-01-06 16:55:00,271
2026-01-06 17:00:00,299
2026-01-06 17:05:00,324
2026-01-06 17:10:00,331
2026-01-06 17:15:00,329
2026-01-06 17:20:00,329
2026-01-06 17:25:00,329
2026-01-06 17:30:00,327
2026-01-06 17:35:00,352
2026-01-06 17:40:00,354
2026-01-06 17:45:00,346
2026-01-06 17:50:00,340
2026-01-06 17:55:00,349
2026-01-06 18:00:00,341
2026-01-06 18:05:00,334
2026-01-06 18:10:00,327
2026-01-06 18:15:00,320
2026-01-06 18:20:00,313
2026-01-06 18:25:00,307
2026-01-06 18:30:00,305
2026-01-06 18:35:00,303
2026-01-06 18:40:00,305
2026-01-06 18:45:00,305
2026-01-06 18:50:00,302
2026-01-06 18:55:00,303
2026-01-06 19:00:00,303
2026-01-06 19:05:00,302
2026-01-06 19:10:00,303
2026-01-06 19:15:00,303
2026-01-06 19:20:00,303
2026-01-06 19:25:00,301
2026-01-06 19:30:00,303
2026-01-06 19:35:00,303
2026-01-06 19:40:00,302
2026-01-06 19:45:00,303
2026-01-06 19:50:00,304
2026-01-06 19:55:00,303
2026-01-06 20:00:00,305
2026-01-06 20:05:00,306
2026-01-06 20:10:00,303
2026-01-06 20:15:00,297
2026-01-06 20:20:00,302
2026-01-06 20:25:00,301
2026-01-06 20:30:00,301
2026-01-06 20:35:00,301
2026-01-06 20:40:00,301
2026-01-06 20:45:00,299
2026-01-06 20:50:00,301
2026-01-06 20:55:00,300
2026-01-06 21:00:00,298
2026-01-06 21:05:00,299
2026-01-06 21:10:00,300
2026-01-06 21:15:00,306
2026-01-06 21:20:00,302
2026-01-06 21:25:00,303
2026-01-06 21:30:00,302
2026-01-06 21:35:00,304
2026-01-06 21:40:00,304
2026-01-06 21:45:00,305
2026-01-06 21:50:00,304
2026-01-06 21:55:00,305
2026-01-06 22:00:00,305
2026-01-06 22:05:00,304
2026-01-06 22:10:00,306
2026-01-06 22:15:00,305
2026-01-06 22:20:00,304
2026-01-06 22:25:00,303
2026-01-06 22:30:00,306
2026-01-06 22:35:00,304
