"Time","Value"
2026-01-05 18:30:00,35
2026-01-05 18:35:00,35
2026-01-05 18:40:00,35
2026-01-05 18:45:00,35
2026-01-05 19:40:00,32
2026-01-05 19:45:00,83
2026-01-05 19:50:00,176
2026-01-05 19:55:00,349
2026-01-05 20:00:00,496
2026-01-05 20:05:00,561
2026-01-05 20:10:00,561
2026-01-05 20:15:00,596
2026-01-05 20:20:00,665
2026-01-05 20:25:00,789
2026-01-05 20:30:00,833
2026-01-05 20:35:00,833
2026-01-05 20:40:00,820
2026-01-05 20:45:00,857
2026-01-05 20:50:00,842
2026-01-05 20:55:00,669
2026-01-05 21:00:00,522
2026-01-05 21:05:00,504
2026-01-05 21:10:00,565
2026-01-05 21:15:00,530
2026-01-05 21:20:00,489
2026-01-05 21:25:00,412
2026-01-05 21:30:00,446
2026-01-05 21:35:00,471
2026-01-05 21:40:00,452
2026-01-05 21:45:00,388
2026-01-05 21:50:00,380
2026-01-05 21:55:00,382
2026-01-05 22:00:00,382
2026-01-05 22:05:00,335
2026-01-05 22:10:00,274
2026-01-05 22:15:00,274
2026-01-05 22:20:00,246
2026-01-05 22:25:00,199
2026-01-05 22:30:00,121
2026-01-05 22:35:00,96
2026-01-05 22:40:00,96
2026-01-05 22:45:00,72
2026-01-05 22:50:00,2
2026-01-05 23:05:00,431
2026-01-05 23:10:00,431
2026-01-05 23:15:00,431
2026-01-05 23:20:00,659
2026-01-05 23:25:00,1.11 K
2026-01-05 23:30:00,1.21 K
2026-01-05 23:35:00,1.21 K
2026-01-05 23:40:00,1.21 K
2026-01-05 23:45:00,1.33 K
2026-01-05 23:50:00,1.33 K
2026-01-05 23:55:00,1.33 K
2026-01-06 00:00:00,1.33 K
2026-01-06 00:05:00,946
2026-01-06 00:10:00,946
2026-01-06 00:15:00,946
2026-01-06 00:20:00,742
2026-01-06 00:25:00,305
2026-01-06 00:30:00,260
2026-01-06 00:35:00,309
2026-01-06 00:40:00,352
2026-01-06 00:45:00,364
2026-01-06 00:50:00,404
2026-01-06 00:55:00,449
2026-01-06 01:00:00,485
2026-01-06 01:05:00,491
2026-01-06 01:10:00,534
2026-01-06 01:15:00,585
2026-01-06 01:20:00,761
2026-01-06 01:25:00,773
2026-01-06 01:30:00,716
2026-01-06 01:35:00,695
2026-01-06 01:40:00,686
2026-01-06 01:45:00,610
2026-01-06 01:50:00,660
2026-01-06 01:55:00,615
2026-01-06 02:00:00,586
2026-01-06 02:05:00,580
2026-01-06 02:10:00,585
2026-01-06 02:15:00,567
2026-01-06 02:20:00,413
2026-01-06 02:25:00,512
2026-01-06 02:30:00,512
2026-01-06 02:35:00,484
2026-01-06 02:40:00,501
2026-01-06 02:45:00,507
2026-01-06 02:50:00,476
2026-01-06 02:55:00,476
2026-01-06 03:00:00,486
2026-01-06 03:05:00,487
2026-01-06 03:10:00,489
2026-01-06 03:15:00,456
2026-01-06 03:20:00,424
2026-01-06 03:25:00,334
2026-01-06 03:30:00,334
2026-01-06 03:35:00,334
2026-01-06 03:40:00,335
2026-01-06 03:45:00,354
2026-01-06 03:50:00,301
2026-01-06 03:55:00,301
2026-01-06 04:00:00,308
2026-01-06 04:05:00,271
2026-01-06 04:10:00,221
2026-01-06 04:15:00,249
2026-01-06 04:20:00,261
2026-01-06 04:25:00,225
2026-01-06 04:30:00,230
2026-01-06 04:35:00,265
2026-01-06 04:40:00,213
2026-01-06 04:45:00,133
2026-01-06 04:50:00,140
2026-01-06 04:55:00,140
2026-01-06 05:00:00,155
2026-01-06 05:05:00,146
2026-01-06 05:10:00,146
2026-01-06 05:15:00,149
2026-01-06 05:20:00,123
2026-01-06 05:25:00,148
2026-01-06 05:30:00,143
2026-01-06 05:35:00,108
2026-01-06 05:40:00,129
2026-01-06 05:45:00,129
2026-01-06 05:50:00,134
2026-01-06 05:55:00,134
2026-01-06 06:00:00,95
2026-01-06 06:05:00,114
2026-01-06 06:10:00,114
2026-01-06 06:15:00,92
2026-01-06 06:20:00,112
2026-01-06 06:25:00,87
2026-01-06 06:30:00,166
2026-01-06 06:35:00,166
2026-01-06 06:40:00,145
2026-01-06 06:45:00,192
2026-01-06 06:50:00,174
2026-01-06 06:55:00,203
2026-01-06 07:00:00,203
2026-01-06 07:05:00,184
2026-01-06 07:10:00,217
2026-01-06 07:15:00,208
2026-01-06 07:20:00,232
2026-01-06 07:25:00,232
2026-01-06 07:30:00,153
2026-01-06 07:35:00,205
2026-01-06 07:40:00,205
2026-01-06 07:45:00,185
2026-01-06 07:50:00,185
2026-01-06 07:55:00,156
2026-01-06 08:00:00,176
2026-01-06 08:05:00,176
2026-01-06 08:10:00,151
2026-01-06 08:15:00,161
2026-01-06 08:20:00,117
2026-01-06 08:25:00,136
2026-01-06 08:30:00,136
2026-01-06 08:35:00,93
2026-01-06 08:40:00,93
2026-01-06 08:45:00,66
2026-01-06 08:50:00,73
2026-01-06 08:55:00,73
2026-01-06 09:00:00,53
2026-01-06 09:05:00,135
2026-01-06 09:10:00,127
2026-01-06 09:15:00,233
2026-01-06 09:20:00,256
2026-01-06 09:25:00,237
2026-01-06 09:30:00,316
2026-01-06 09:35:00,308
2026-01-06 09:40:00,308
2026-01-06 09:45:00,334
2026-01-06 09:50:00,327
2026-01-06 09:55:00,437
2026-01-06 10:00:00,439
2026-01-06 10:05:00,357
2026-01-06 10:10:00,423
2026-01-06 10:15:00,307
2026-01-06 10:20:00,349
2026-01-06 10:25:00,349
2026-01-06 10:30:00,270
2026-01-06 10:35:00,276
2026-01-06 10:40:00,276
2026-01-06 10:45:00,252
2026-01-06 10:50:00,252
2026-01-06 10:55:00,142
2026-01-06 11:00:00,182
2026-01-06 11:05:00,182
2026-01-06 11:10:00,138
2026-01-06 11:15:00,138
2026-01-06 11:20:00,73
2026-01-06 11:25:00,86
2026-01-06 11:30:00,86
2026-01-06 11:35:00,79
2026-01-06 11:40:00,108
2026-01-06 11:45:00,106
2026-01-06 11:50:00,106
2026-01-06 11:55:00,126
2026-01-06 12:00:00,84
2026-01-06 12:05:00,84
2026-01-06 12:10:00,112
2026-01-06 12:15:00,112
2026-01-06 12:20:00,112
2026-01-06 12:25:00,136
2026-01-06 12:30:00,136
2026-01-06 12:35:00,136
2026-01-06 12:40:00,107
2026-01-06 12:45:00,158
2026-01-06 12:50:00,158
2026-01-06 12:55:00,138
2026-01-06 13:00:00,195
2026-01-06 13:05:00,195
2026-01-06 13:10:00,145
2026-01-06 13:15:00,253
2026-01-06 13:20:00,253
2026-01-06 13:25:00,216
2026-01-06 13:30:00,292
2026-01-06 13:35:00,292
2026-01-06 13:40:00,292
2026-01-06 13:45:00,241
2026-01-06 13:50:00,245
2026-01-06 13:55:00,245
2026-01-06 14:00:00,188
2026-01-06 14:05:00,208
2026-01-06 14:10:00,208
2026-01-06 14:15:00,100
2026-01-06 14:20:00,110
2026-01-06 14:25:00,110
2026-01-06 14:30:00,34
2026-01-06 14:35:00,84
2026-01-06 14:40:00,84
2026-01-06 14:45:00,84
2026-01-06 14:50:00,107
2026-01-06 14:55:00,107
2026-01-06 15:00:00,107
2026-01-06 15:05:00,87
2026-01-06 15:10:00,106
2026-01-06 15:15:00,106
2026-01-06 15:20:00,96
2026-01-06 15:25:00,138
2026-01-06 15:30:00,138
2026-01-06 15:35:00,88
2026-01-06 15:40:00,88
2026-01-06 15:45:00,171
2026-01-06 15:50:00,144
2026-01-06 15:55:00,144
2026-01-06 16:00:00,144
2026-01-06 16:05:00,144
2026-01-06 16:10:00,194
2026-01-06 16:15:00,194
2026-01-06 16:20:00,315
2026-01-06 16:25:00,300
2026-01-06 16:30:00,300
2026-01-06 16:35:00,300
2026-01-06 16:40:00,348
2026-01-06 16:45:00,265
2026-01-06 16:50:00,265
2026-01-06 16:55:00,344
2026-01-06 17:00:00,344
2026-01-06 17:05:00,344
2026-01-06 17:10:00,367
2026-01-06 17:15:00,367
2026-01-06 17:20:00,257
2026-01-06 17:25:00,230
2026-01-06 17:30:00,230
2026-01-06 17:35:00,269
2026-01-06 17:40:00,221
2026-01-06 17:45:00,221
2026-01-06 17:50:00,275
2026-01-06 17:55:00,196
2026-01-06 18:00:00,196
2026-01-06 18:05:00,196
2026-01-06 18:10:00,157
2026-01-06 18:15:00,157
2026-01-06 18:20:00,146
2026-01-06 18:25:00,170
2026-01-06 18:30:00,170
2026-01-06 18:35:00,131
2026-01-06 18:40:00,149
2026-01-06 18:45:00,149
2026-01-06 18:50:00,95
2026-01-06 18:55:00,142
2026-01-06 19:00:00,142
2026-01-06 19:05:00,142
2026-01-06 19:10:00,116
2026-01-06 19:15:00,116
2026-01-06 19:20:00,116
2026-01-06 19:25:00,92
2026-01-06 19:30:00,131
2026-01-06 19:35:00,131
2026-01-06 19:40:00,113
2026-01-06 19:45:00,185
2026-01-06 19:50:00,185
2026-01-06 19:55:00,138
2026-01-06 20:00:00,197
2026-01-06 20:05:00,197
2026-01-06 20:10:00,170
2026-01-06 20:15:00,275
2026-01-06 20:20:00,275
2026-01-06 20:25:00,275
2026-01-06 20:30:00,251
2026-01-06 20:35:00,266
2026-01-06 20:40:00,266
2026-01-06 20:45:00,194
2026-01-06 20:50:00,270
2026-01-06 20:55:00,270
2026-01-06 21:00:00,211
2026-01-06 21:05:00,226
2026-01-06 21:10:00,226
2026-01-06 21:15:00,121
2026-01-06 21:20:00,131
2026-01-06 21:25:00,131
2026-01-06 21:30:00,116
2026-01-06 21:35:00,110
2026-01-06 21:40:00,110
2026-01-06 21:45:00,110
2026-01-06 21:50:00,56
2026-01-06 21:55:00,56
2026-01-06 22:00:00,56
2026-01-06 22:05:00,41
2026-01-06 22:10:00,91
2026-01-06 22:15:00,91
2026-01-06 22:20:00,81
2026-01-06 22:25:00,93
2026-01-06 22:30:00,93
2026-01-06 22:35:00,84
2026-01-06 22:40:00,86
2026-01-06 22:45:00,86
