"Time","data1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","data1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","data1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","data1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","data1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","data1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","data1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","gateway1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","gateway1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","gateway1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","gateway1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","gateway1 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","gateway1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","gateway1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker1 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker1 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker1 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker1 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker1 (aws) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker1 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker3 (aws) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker3 (aws) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker3 (aws) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker3 (aws) -> 12D3KooWH1CW6qBF4wSa92YKye2Y4xScXgF4opg4mx5JtGYBApsB","worker3 (aws) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker3 (aws) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker3 (aws) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker4 (digital_ocean) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker4 (digital_ocean) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","worker4 (digital_ocean) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker4 (digital_ocean) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker4 (digital_ocean) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker4 (digital_ocean) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","worker6 (hyperstacks) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","worker6 (hyperstacks) -> 12D3KooWCbybUXB3btxCmPiuZ3gXoCSTC7gxhgq8wEj3AGhAjfvX","worker6 (hyperstacks) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","worker6 (hyperstacks) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","worker6 (hyperstacks) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","worker6 (hyperstacks) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z","scheduler (yorizon) -> 12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","scheduler (yorizon) -> 12D3KooWEtNTTuDa9bYLyYqcmd89tdraDxRGZVz6GRY5Zci7uuzy","scheduler (yorizon) -> 12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","scheduler (yorizon) -> 12D3KooWKj7Qh4bkVjLKZqtjNxQgMCMGQKrU5jh4oUGai1dweKwv","scheduler (yorizon) -> 12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB","scheduler (yorizon) -> 12D3KooWSEQccCzm1WERGRHyfbEdD7fJBZkv4bnMPMPJf1eWYM6z"
2026-01-05 18:30:00,19.0 ms,97.8 ms,15.5 ms,111 ms,1.28 ms,0.411 ms,0.685 ms,23.1 ms,99.1 ms,18.8 ms,110 ms,1.46 ms,0.595 ms,0.625 ms,24.0 ms,99.6 ms,15.0 ms,136 ms,1.01 ms,1.23 ms,1.53 ms,23.1 ms,97.8 ms,14.9 ms,108 ms,1.23 ms,0.463 ms,0.745 ms,109 ms,38.3 ms,24.3 ms,18.9 ms,22.9 ms,23.1 ms,38.2 ms,98.7 ms,15.2 ms,16.6 ms,14.3 ms,14.7 ms,,,,,,
2026-01-05 18:32:00,19.0 ms,97.8 ms,14.2 ms,111 ms,1.07 ms,0.503 ms,0.730 ms,22.9 ms,99.1 ms,14.7 ms,110 ms,1.45 ms,0.609 ms,0.681 ms,24.0 ms,99.6 ms,15.2 ms,136 ms,1.15 ms,1.10 ms,1.42 ms,23.3 ms,97.8 ms,14.9 ms,108 ms,1.13 ms,0.445 ms,0.736 ms,109 ms,38.6 ms,24.2 ms,18.9 ms,23.2 ms,23.3 ms,38.1 ms,98.7 ms,15.2 ms,14.2 ms,14.4 ms,14.8 ms,,,,,,
2026-01-05 18:34:00,19.2 ms,97.8 ms,14.1 ms,111 ms,1.16 ms,0.413 ms,0.710 ms,23.2 ms,99.1 ms,14.9 ms,110 ms,1.41 ms,0.632 ms,0.631 ms,24.1 ms,99.6 ms,14.9 ms,136 ms,1.23 ms,1.13 ms,1.51 ms,23.4 ms,97.8 ms,15.2 ms,108 ms,1.12 ms,0.475 ms,0.850 ms,109 ms,38.4 ms,24.3 ms,19.0 ms,23.2 ms,23.1 ms,37.9 ms,98.7 ms,15.7 ms,14.8 ms,17.2 ms,14.6 ms,,,,,,
2026-01-05 18:36:00,18.6 ms,97.8 ms,14.3 ms,111 ms,1.44 ms,0.359 ms,0.709 ms,23.1 ms,99.1 ms,14.4 ms,110 ms,1.55 ms,0.715 ms,0.649 ms,24.1 ms,99.6 ms,14.9 ms,136 ms,1.24 ms,1.07 ms,1.53 ms,23.2 ms,97.8 ms,14.5 ms,108 ms,1.06 ms,0.428 ms,0.753 ms,109 ms,96.3 ms,23.9 ms,19.1 ms,23.5 ms,22.9 ms,95.5 ms,98.7 ms,15.3 ms,14.4 ms,14.4 ms,14.4 ms,,,,,,
2026-01-05 18:38:00,19.1 ms,97.8 ms,14.2 ms,111 ms,1.36 ms,0.397 ms,0.650 ms,23.1 ms,99.1 ms,14.6 ms,110 ms,1.37 ms,0.600 ms,0.646 ms,24.1 ms,99.6 ms,15.0 ms,136 ms,1.17 ms,1.21 ms,1.51 ms,23.5 ms,97.8 ms,14.4 ms,108 ms,1.19 ms,0.455 ms,0.883 ms,109 ms,37.7 ms,24.3 ms,18.7 ms,23.4 ms,23.3 ms,37.4 ms,98.7 ms,15.1 ms,14.4 ms,14.5 ms,14.6 ms,,,,,,
2026-01-05 18:40:00,18.8 ms,97.8 ms,14.3 ms,111 ms,1.30 ms,0.380 ms,0.697 ms,23.3 ms,99.1 ms,14.5 ms,110 ms,1.40 ms,0.569 ms,0.616 ms,24.3 ms,99.6 ms,15.0 ms,136 ms,1.11 ms,1.20 ms,1.51 ms,23.4 ms,97.8 ms,14.4 ms,108 ms,1.20 ms,0.401 ms,0.732 ms,109 ms,37.7 ms,24.3 ms,18.8 ms,23.4 ms,23.3 ms,37.4 ms,98.7 ms,15.1 ms,14.7 ms,14.3 ms,14.5 ms,,,,,,
2026-01-05 18:42:00,18.8 ms,97.8 ms,14.3 ms,111 ms,1.19 ms,0.488 ms,0.666 ms,23.1 ms,99.1 ms,14.3 ms,110 ms,1.40 ms,0.566 ms,0.648 ms,24.1 ms,99.6 ms,14.9 ms,136 ms,1.21 ms,1.12 ms,1.49 ms,23.6 ms,97.8 ms,14.5 ms,108 ms,1.15 ms,0.447 ms,0.760 ms,109 ms,37.9 ms,24.5 ms,18.9 ms,23.4 ms,23.1 ms,37.7 ms,98.7 ms,15.1 ms,14.2 ms,14.4 ms,14.5 ms,,,,,,
2026-01-05 18:44:00,19.0 ms,97.8 ms,15.5 ms,111 ms,1.10 ms,0.409 ms,0.677 ms,23.1 ms,98.8 ms,14.4 ms,110 ms,1.41 ms,0.646 ms,0.681 ms,24.0 ms,328 ms,14.8 ms,136 ms,1.37 ms,1.05 ms,1.54 ms,23.0 ms,99.4 ms,14.2 ms,108 ms,1.64 ms,0.379 ms,0.760 ms,122 ms,37.9 ms,23.9 ms,4.17 s,23.1 ms,22.8 ms,37.6 ms,97.8 ms,15.1 ms,14.5 ms,14.2 ms,14.4 ms,,,,,,
2026-01-05 18:46:00,19.9 ms,97.9 ms,14.3 ms,111 ms,1.08 ms,0.598 ms,0.876 ms,22.6 ms,98.7 ms,14.2 ms,110 ms,1.49 ms,0.617 ms,0.551 ms,23.9 ms,98.6 ms,14.8 ms,136 ms,1.11 ms,1.29 ms,1.42 ms,23.0 ms,97.7 ms,13.9 ms,108 ms,1.24 ms,0.412 ms,0.575 ms,109 ms,37.2 ms,23.9 ms,78.2 ms,22.9 ms,22.9 ms,37.0 ms,97.8 ms,14.9 ms,15.0 ms,14.0 ms,14.6 ms,122 ms,97.7 ms,98.7 ms,97.8 ms,99.3 ms,98.8 ms
2026-01-05 18:48:00,19.1 ms,97.9 ms,14.3 ms,111 ms,1.46 ms,0.481 ms,0.849 ms,22.7 ms,98.7 ms,14.3 ms,110 ms,1.31 ms,0.529 ms,0.676 ms,23.8 ms,98.6 ms,15.4 ms,136 ms,1.41 ms,118 ms,1.50 ms,22.9 ms,97.7 ms,16.9 ms,108 ms,119 ms,0.510 ms,0.834 ms,109 ms,37.5 ms,23.9 ms,19.2 ms,22.9 ms,22.7 ms,37.2 ms,97.7 ms,15.1 ms,14.5 ms,15.6 ms,14.4 ms,109 ms,98.2 ms,98.6 ms,97.8 ms,97.9 ms,98.7 ms
