"Time","{}"
2025-12-17 21:23:35,1
2025-12-17 21:23:40,1
2025-12-17 21:23:45,1
2025-12-17 21:23:50,1
2025-12-17 21:23:55,1
2025-12-17 21:24:00,1
2025-12-17 21:24:05,1
2025-12-17 21:24:10,1
2025-12-17 21:24:15,1
2025-12-17 21:24:20,1
2025-12-17 21:24:25,1
2025-12-17 21:24:30,1
2025-12-17 21:24:35,1
2025-12-17 21:24:40,1
2025-12-17 21:24:45,1
2025-12-17 21:24:50,2
2025-12-17 21:24:55,2
2025-12-17 21:25:00,2
2025-12-17 21:25:05,2
2025-12-17 21:25:10,2
2025-12-17 21:25:15,2
2025-12-17 21:25:20,2
2025-12-17 21:25:25,2
2025-12-17 21:25:30,2
2025-12-17 21:25:35,2
2025-12-17 21:25:40,2
2025-12-17 21:25:45,2
2025-12-17 21:25:50,2
2025-12-17 21:25:55,2
2025-12-17 21:26:00,2
2025-12-17 21:26:05,2
2025-12-17 21:26:10,2
2025-12-17 21:26:15,2
2025-12-17 21:26:20,2
2025-12-17 21:26:25,3
2025-12-17 21:26:30,3
2025-12-17 21:26:35,3
2025-12-17 21:26:40,3
2025-12-17 21:26:45,3
2025-12-17 21:26:50,3
2025-12-17 21:26:55,3
2025-12-17 21:27:00,3
2025-12-17 21:27:05,3
2025-12-17 21:27:10,3
2025-12-17 21:27:15,3
2025-12-17 21:27:20,4
2025-12-17 21:27:25,4
2025-12-17 21:27:30,4
2025-12-17 21:27:35,4
2025-12-17 21:27:40,4
2025-12-17 21:27:45,4
2025-12-17 21:27:50,4
2025-12-17 21:27:55,4
2025-12-17 21:28:00,4
2025-12-17 21:28:05,4
2025-12-17 21:28:10,4
2025-12-17 21:28:15,4
2025-12-17 21:28:20,4
2025-12-17 21:28:25,5
2025-12-17 21:28:30,5
2025-12-17 21:28:35,5
2025-12-17 21:28:40,5
2025-12-17 21:28:45,5
2025-12-17 21:28:50,5
2025-12-17 21:28:55,5
2025-12-17 21:29:00,5
2025-12-17 21:29:05,5
2025-12-17 21:29:10,5
2025-12-17 21:29:15,5
2025-12-17 21:29:20,5
2025-12-17 21:29:25,6
2025-12-17 21:29:30,6
2025-12-17 21:29:35,6
2025-12-17 21:29:40,6
2025-12-17 21:29:45,6
2025-12-17 21:29:50,6
2025-12-17 21:29:55,6
2025-12-17 21:30:00,6
2025-12-17 21:30:05,6
2025-12-17 21:30:10,6
2025-12-17 21:30:15,6
