"Time","data_points"
2026-01-05 19:48:00,13600
2026-01-05 19:49:00,12400
2026-01-05 19:50:00,12800
2026-01-05 19:51:00,12400
2026-01-05 19:52:00,12800
2026-01-05 19:53:00,14000
2026-01-05 19:54:00,12400
2026-01-05 19:55:00,13200
2026-01-05 19:56:00,12800
2026-01-05 19:57:00,12000
2026-01-05 19:58:00,12800
2026-01-05 19:59:00,11600
2026-01-05 20:00:00,13200
2026-01-05 20:01:00,12800
2026-01-05 20:02:00,12000
2026-01-05 20:03:00,12800
2026-01-05 20:04:00,12800
2026-01-05 20:05:00,12800
2026-01-05 20:06:00,13200
2026-01-05 20:07:00,12800
2026-01-05 20:08:00,13600
2026-01-05 20:09:00,13600
2026-01-05 20:10:00,13200
2026-01-05 20:11:00,13200
2026-01-05 20:12:00,13200
2026-01-05 20:13:00,12800
2026-01-05 20:14:00,13600
2026-01-05 20:15:00,13200
2026-01-05 20:16:00,12800
2026-01-05 20:17:00,12800
2026-01-05 20:18:00,12800
2026-01-05 20:19:00,12800
2026-01-05 20:20:00,12800
2026-01-05 20:21:00,12800
2026-01-05 20:22:00,12400
2026-01-05 20:23:00,11600
2026-01-05 20:24:00,13600
2026-01-05 20:25:00,12000
2026-01-05 20:26:00,11600
2026-01-05 20:27:00,12800
2026-01-05 20:28:00,14000
2026-01-05 20:29:00,13600
2026-01-05 20:30:00,13600
2026-01-05 20:31:00,13600
2026-01-05 20:32:00,12800
2026-01-05 20:33:00,13600
2026-01-05 20:34:00,12800
2026-01-05 20:35:00,13200
2026-01-05 20:36:00,12000
2026-01-05 20:37:00,13600
2026-01-05 20:38:00,12800
2026-01-05 20:39:00,13600
2026-01-05 20:40:00,13600
2026-01-05 20:41:00,14400
2026-01-05 20:42:00,12800
2026-01-05 20:43:00,12400
2026-01-05 20:44:00,12400
2026-01-05 20:45:00,13600
2026-01-05 20:46:00,13200
2026-01-05 20:47:00,12800
2026-01-05 20:48:00,13600
2026-01-05 20:49:00,12000
2026-01-05 20:50:00,12800
2026-01-05 20:51:00,13600
2026-01-05 20:52:00,13200
2026-01-05 20:53:00,13600
2026-01-05 20:54:00,13600
2026-01-05 20:55:00,13600
2026-01-05 20:56:00,13600
2026-01-05 20:57:00,13600
2026-01-05 20:58:00,13600
2026-01-05 20:59:00,14000
2026-01-05 21:00:00,13600
2026-01-05 21:01:00,13600
2026-01-05 21:02:00,14000
2026-01-05 21:03:00,14400
2026-01-05 21:04:00,12400
2026-01-05 21:05:00,13600
2026-01-05 21:06:00,12000
2026-01-05 21:07:00,12000
2026-01-05 21:08:00,11600
2026-01-05 21:09:00,13600
2026-01-05 21:10:00,13200
2026-01-05 21:11:00,13600
2026-01-05 21:12:00,13600
2026-01-05 21:13:00,14400
2026-01-05 21:14:00,13600
2026-01-05 21:15:00,14000
2026-01-05 21:16:00,13600
2026-01-05 21:17:00,13600
2026-01-05 21:18:00,14400
2026-01-05 21:19:00,13600
2026-01-05 21:20:00,13600
2026-01-05 21:21:00,13600
2026-01-05 21:22:00,13600
2026-01-05 21:23:00,14400
2026-01-05 21:24:00,12800
2026-01-05 21:25:00,12000
2026-01-05 21:26:00,13200
2026-01-05 21:27:00,13200
2026-01-05 21:28:00,14000
2026-01-05 21:29:00,12800
2026-01-05 21:30:00,12000
2026-01-05 21:31:00,13600
2026-01-05 21:32:00,12400
2026-01-05 21:33:00,14400
2026-01-05 21:34:00,14400
2026-01-05 21:35:00,13600
2026-01-05 21:36:00,14400
2026-01-05 21:37:00,14000
2026-01-05 21:38:00,13600
2026-01-05 21:39:00,14000
2026-01-05 21:40:00,14400
2026-01-05 21:41:00,14400
2026-01-05 21:42:00,13200
2026-01-05 21:43:00,13600
2026-01-05 21:44:00,15200
2026-01-05 21:45:00,14400
2026-01-05 21:46:00,14000
2026-01-05 21:47:00,12800
2026-01-05 21:48:00,12800
2026-01-05 21:49:00,12800
2026-01-05 21:50:00,12800
2026-01-05 21:51:00,12000
2026-01-05 21:52:00,14400
2026-01-05 21:53:00,14000
2026-01-05 21:54:00,14400
2026-01-05 21:55:00,13600
2026-01-05 21:56:00,13600
2026-01-05 21:57:00,14400
2026-01-05 21:58:00,14000
2026-01-05 21:59:00,14400
2026-01-05 22:00:00,13600
2026-01-05 22:01:00,13600
2026-01-05 22:02:00,14000
